Group,site,species,intercept,slope,Persistence,Mean,Median,RA,Pcat,rare
Birds,EasternWood,Cuckoo,0.008592714,-166.6331634,0.866666667,1.333333333,1,0.007742344,P,R
Birds,EasternWood,Goldcrest,0.009382612,-149.7746069,0.366666667,0.6,0,0.003211111,P,R
Birds,EasternWood,Treecreeper,0.012160634,-61.58653125,0.966666667,2.033333333,2,0.012125376,P,R
Birds,EasternWood,MistleThrush,0.010339819,-56.68646953,0.733333333,1.266666667,1.5,0.007243051,P,R
Birds,EasternWood,TurtleDove,0.009361778,-53.95379906,0.566666667,0.966666667,1,0.005530029,P,R
Birds,EasternWood,Nuthatch,0.02293445,-47.85826326,0.966666667,3.633333333,4,0.021171036,P,R
Birds,EasternWood,Whitethroat,0.008810074,-41.79465628,0.5,0.633333333,0.5,0.004093049,P,R
Birds,EasternWood,GreenWoodpecker,0.007403033,-40.12824672,0.8,1.1,1,0.006534793,P,R
Birds,EasternWood,Magpie,0.00862729,-37.21886306,0.966666667,1.366666667,1,0.008113028,P,R
Birds,EasternWood,Chiffchaff,0.020201666,-36.74033703,1,3.3,3,0.019999128,P,R
Birds,EasternWood,GreatSpottedWoodpecker,0.014347685,-36.63884417,1,2.366666667,2,0.014228876,P,R
Birds,EasternWood,Dunnock,0.019425773,-33.77207401,0.9,2.948275862,2,0.05158867,P,R
Birds,EasternWood,CarrionCrow,0.007953219,-28.27146834,1,1.333333333,1,0.007839521,P,R
Birds,EasternWood,Long.tailedTit,0.011156307,-27.99360415,0.9,1.533333333,2,0.009058744,P,R
Birds,EasternWood,Starling,0.039229813,-23.03651193,0.7,4.516666667,5.75,0.024578654,P,R
Birds,EasternWood,CoalTit,0.026880701,-21.3590948,1,4.4,4,0.025564368,P,R
Birds,EasternWood,SongThrush,0.033087209,-20.46404568,1,5.333333333,5,0.031849818,P,R
Birds,EasternWood,Jay,0.02906864,-20.2386905,1,4.8,5,0.029154349,P,R
Birds,EasternWood,Bullfinch,0.014216507,-20.07546719,0.966666667,2.4,2,0.014699528,P,R
Birds,EasternWood,Blackcap,0.019798123,-17.85398076,1,3.5,3,0.021070867,P,R
Birds,EasternWood,Pheasant,0.025335996,-16.65883084,0.566666667,1,1,0.00541618,P,R
Birds,EasternWood,GardenWarbler,0.013976957,-12.03240121,0.866666667,2.166666667,2,0.014061145,P,R
Birds,EasternWood,Woodpigeon,0.042385457,-8.466056322,1,6.666666667,5,0.038018333,P,R
Birds,EasternWood,Blackbird,0.060687911,-8.183651962,1,10.08333333,10.5,0.060870684,P,R
Birds,EasternWood,BlueTit,0.10299424,-5.451684714,0.966666667,16.18965517,16,0.127858944,P,R
Birds,EasternWood,GreatTit,0.080141108,-3.837456948,1,12.73333333,12,0.076451622,P,R
Birds,EasternWood,Wren,0.096625582,-3.101684615,1,18.28333333,17.5,0.105494916,P,R
Birds,EasternWood,Chaffinch,0.011245843,-2.827251359,1,5.683333333,5.75,0.034083215,P,R
Birds,EasternWood,WillowWarbler,-0.001853951,-2.418440075,0.866666667,5.816666667,2.25,0.035279377,N,R
Birds,EasternWood,Robin,0.209331427,-0.726998765,1,33.03333333,33,0.196600095,P,R
