year	site	total	Mandarin	Sparrowhawk	Pheasant	Woodcock	StockDove	Woodpigeon	TurtleDove	Cuckoo	TawnyOwl	GreenWoodpecker	GreatSpottedWoodpecker	LesserSpottedWoodpecker	CarrionCrow	Magpie	Jay	GreatTit	BlueTit	CoalTit	MarshTit	WillowTit	Long-tailedTit	Nuthatch	Treecreeper	Wren	MistleThrush	SongThrush	Blackbird	Nightingale	Robin	Blackcap	GardenWarbler	Whitethroat	LesserWhitethroat	WillowWarbler	Chiffchaff	Goldcrest	SpottedFlycatcher	Dunnock	Starling	Hawfinch	Greenfinch	Redpoll	Bullfinch	Chaffinch	HouseSparrow
1949	6	-94.5	0	1	0	0	0	2	0	0	0	1	1	0	1	1	2	6	-99	1	2	1	1	0	1	17	0	1	5	1	22.5	3	3	1	0	16.5	1	0	0	-99	0	0	0	0	2	9.5	0
1950	6	150	0	1	1	0	0	2	0	2	1	2	2	0	1	1	5	8	6.5	4	2	1	1	1	2	20	0	1	9	0	28	3	3	2	1	21	2.5	1	0	2	0	0	0	0	2	11	0
1951	6	164	0	1	1	0	0	5	0	0	1	2	2	0	1	1	6	8	13.5	3	2	0	2	3	0	20.5	0	7	9.5	0	28.5	4	3	1	1	16	4.5	0	1	2	0	0	0	0	2	12.5	0
1952	6	160	0	0	1	1	0	2	1	2	1	3	2	0	1	1	6	8.5	9.5	3	4	1	2	1	2	18	1	5	11.5	0	30.5	3	3	2	0	15	2.5	0	0	2	0	1	0	0	4	9.5	0
1953	6	158.5	0	1	1	1	0	5	1	1	1	2	3	0	1	1	5	11	13	2	5	1	1	2	2	10.5	1	3	8	1	33	2	4	2	0	15	2	0	0	4	0	0	0	0	4	9	0
1954	6	165.5	0	1	1	0	0	4	0	2	1	2	3	1	1	1	7	11	16	2	4	1	2	2	1	14	2	5	12.5	1	30.5	3	2	2	0	11	5.5	0	0	1	0	0	0	0	5	8	0
1955	6	127.5	0	1	0	0	0	3	0	1	1	0	2	1	1	1	4	10	10	1	2	1	2	3	2	11.5	0	4	8	2	23	2	4	0	0	8.5	4.5	0	1	2	0	0	0	0	3	8	0
1956	6	141.5	0	1	0	0	0	1	2	1	1	0	2	0	1	1	3	12	14	2	4	2	2	4	1	7	0	5	7.5	0	24	3	4	1	0	17.5	4.5	0	0	4	0	0	0	0	4	6	0
1958	6	139	0	1	0	1	0	3	2	0	1	1	2	0	1	1	4	4.5	13	2	2	1	2	1	1	16	0	4	11.5	0	32	3	7	1	0	12	1.5	0	0	1	0	0	0	0	2	4.5	0
1959	6	124.5	0	1	0	0	0	4	0	1	1	1	1	0	1	1	4	11	10.5	3	3	0	0	4	2	13	0	2	9	0	29	4	3	1	0	5	2	0	0	2	1	0	0	0	3	2	0
1960	6	126	0	0	1	0	0	4	0	0	1	1	2	0	1	2	4	12	16	2	4	1	1	4	3	14.5	0	3	7	0	23.5	2	3	1	0	2.5	3	1	0	0	2	0	0	0	2	2.5	0
1961	6	136.5	0	0	0	0	0	3	0	2	1	1	2	0	1	1	4	12	18	3	2	1	1	3	1	17	2	6	9	0	27	4	2	0	0	2	1	0	0	1	3	0	0	0	2	4.5	0
