YEAR	PLACE	total	AmericaRedstart	BluehoodedEuphonia	Bananaquit	BlackthroatedBlueWarbler	BlackwhiskeredVireo	BlackandWhiteWarbler	GrayKingbird	ParulaWarbler	PearlyeyedThrasher	PuertoRicanBullfinch	PuertoRicoLizardCuckoo	PuertoRicanFlycatcher	PuertoRicanTanager	PuertoRicanTody	PuertoRicanWoodpecker	RedleggedThrush	RuddyQuailDove	StripeheadedTanager	ScalynapedPigeon
1989	ELVERDE	556	2	6	87	1	75	1	0	0	65	12	9	0	57	72	46	18	21	2	82
1990	ELVERDE	702	17	4	198	10	98	5	0	4	31	13	8	2	101	76	47	15	1	2	70
1991	ELVERDE	883	8	10	280	17	131	4	0	6	12	24	20	7	62	81	35	31	9	5	141
1992	ELVERDE	494	1	8	185	1	46	1	0	1	5	16	11	6	34	58	27	4	3	4	83
1993	ELVERDE	558	1	8	134	0	105	1	1	0	4	31	18	2	28	54	16	23	3	8	121
1994	ELVERDE	637	1	6	147	1	146	0	5	0	18	23	11	4	41	55	22	17	13	4	123
1995	ELVERDE	303	0	3	53	0	76	0	0	0	9	15	12	0	14	28	7	4	14	0	68
1996	ELVERDE	51	0	0	24	0	7	0	1	0	0	2	2	0	3	5	2	1	2	0	2
1997	ELVERDE	285	0	4	65	0	63	0	0	0	1	10	6	0	14	23	9	2	8	4	76
1998	ELVERDE	315	0	3	55	0	80	0	0	0	2	9	6	0	14	23	18	4	24	1	76
1999	ELVERDE	329	0	1	58	0	70	0	0	0	0	12	11	1	32	35	15	9	3	0	82
2000	ELVERDE	325	0	0	57	0	88	0	1	0	2	16	8	0	34	22	25	6	4	2	60
2001	ELVERDE	267	0	1	46	0	69	0	0	0	0	17	5	0	28	15	19	5	3	1	58
2002	ELVERDE	232	0	0	48	0	66	0	0	0	0	12	2	0	20	24	7	1	3	0	49
2003	ELVERDE	226	0	1	76	0	43	0	0	0	0	11	6	1	23	14	12	5	4	2	28
2004	ELVERDE	251	0	2	61	0	73	0	0	0	0	10	3	1	10	16	9	2	5	3	56
2005	ELVERDE	339	0	1	53	0	76	0	0	0	0	22	4	2	19	20	13	5	15	4	105
2006	ELVERDE	358	0	2	43	0	80	0	4	0	0	21	9	4	21	25	12	4	34	0	99
2007	ELVERDE	333	0	0	47	0	72	0	0	0	0	21	6	0	22	23	9	1	9	4	119
2008	ELVERDE	323	0	1	39	0	82	0	0	0	0	14	5	0	14	22	17	1	8	40	80
