year	area	total	Yellow.b.Sapsucker	Hairy.Woodpecker	Downy.Woodpecker	Least.Flycatcher	Black.c..Chickadee	Brown.Creeper	White.br..Nuthatch	Winter.Wren	Wood.thrush	Hermit.thrush	Veery	Swainsons.thrush	Philadelphia.Vireo	Solitary.Vireo	Red.eyed.Vireo	Bk..thr..Green.Warbler	Bk..thr..Blue.Warbler	Yellow.r..Warbler	Blackburnian.Warbler	Ovenbird	American.Redstart	Scarlet.tanager	Rose.br..Grosbeak	Dark.eyed.Junco	Purple.Finch
1969	hubbardbrook	157.00	6.00	2.00	6.00	26.00	4.00	2.00	8.00	1.00	7.00	6.00	2.00	9.00	4.00	0.00	20.00	8.00	4.00	0.00	2.00	6.00	12.00	4.00	8.00	8.00	2.00
1970	hubbardbrook	162.00	3.00	1.00	3.00	28.00	1.00	0.00	2.00	0.50	6.00	8.00	2.00	8.00	7.00	0.00	24.00	9.00	8.00	0.00	5.50	6.00	26.00	6.00	4.00	4.00	0.00
1971	hubbardbrook	206.50	4.00	1.00	3.00	43.00	0.50	0.50	2.00	1.50	9.00	7.00	5.00	11.00	5.00	0.00	29.00	12.00	11.00	0.00	4.00	9.00	29.00	5.00	6.00	8.00	1.00
1972	hubbardbrook	212.00	4.00	2.00	2.00	49.50	0.50	-99.00	2.00	0.50	7.00	7.00	2.00	11.00	8.00	0.50	22.00	7.00	9.00	1.00	7.00	9.00	29.00	8.00	10.00	8.00	6.00
1973	hubbardbrook	192.00	4.00	2.00	2.00	57.00	-99.00	0.50	1.00	3.00	4.00	4.00	1.00	9.00	4.00	1.00	26.00	6.00	11.00	0.00	4.00	11.00	26.00	7.00	4.50	2.00	2.00
1974	hubbardbrook	158.00	3.00	1.00	2.00	26.00	1.00	1.00	1.00	6.00	5.00	2.00	0.50	6.50	4.00	1.00	23.00	10.00	11.00	0.00	6.00	10.00	22.00	3.00	8.00	5.00	-99.00
1975	hubbardbrook	200.50	5.00	2.00	3.00	30.00	1.00	0.00	1.50	2.00	6.50	7.50	2.50	8.00	3.50	-99.00	31.00	8.00	12.00	0.00	6.00	18.00	39.00	1.50	7.50	5.00	0.00
1976	hubbardbrook	193.50	5.00	2.00	2.50	28.00	-99.00	0.00	1.50	5.00	5.00	5.00	2.50	7.00	3.50	0.50	30.00	8.00	11.00	0.00	2.00	18.50	42.00	1.50	7.00	6.00	0.00
1977	hubbardbrook	186.50	5.00	3.00	3.00	34.00	2.00	0.00	3.00	1.00	9.00	4.00	3.00	4.00	2.00	4.00	23.50	7.00	12.00	0.00	3.00	9.00	44.00	4.00	5.00	2.00	0.00
1978	hubbardbrook	148.50	3.00	2.00	3.50	22.00	-99.00	0.00	2.50	0.00	7.00	1.50	4.00	5.00	3.00	3.00	20.00	7.50	10.50	0.00	1.00	13.00	32.50	3.50	4.00	-99.00	-99.00
