year,area,total,Yellow-b.Sapsucker,Hairy Woodpecker,Downy Woodpecker,Least Flycatcher,Black-c. Chickadee,Brown Creeper,White-br. Nuthatch,Winter Wren,Wood thrush,Hermit thrush,Veery,Swainson's thrush,Philadelphia Vireo,Solitary Vireo,Red-eyed Vireo,Bk.-thr. Green Warbler,Bk.-thr. Blue Warbler,Yellow-r. Warbler,Blackburnian Warbler,Ovenbird,American Redstart,Scarlet tanager,Rose-br. Grosbeak,Dark-eyed Junco,Purple Finch
1969,hubbardbrook,157,6,2,6,26,4,2,8,1,7,6,2,9,4,0,20,8,4,0,2,6,12,4,8,8,2
1970,hubbardbrook,162,3,1,3,28,1,0,2,0.5,6,8,2,8,7,0,24,9,8,0,5.5,6,26,6,4,4,0
1971,hubbardbrook,206.5,4,1,3,43,0.5,0.5,2,1.5,9,7,5,11,5,0,29,12,11,0,4,9,29,5,6,8,1
1972,hubbardbrook,212,4,2,2,49.5,0.5,-99,2,0.5,7,7,2,11,8,0.5,22,7,9,1,7,9,29,8,10,8,6
1973,hubbardbrook,192,4,2,2,57,-99,0.5,1,3,4,4,1,9,4,1,26,6,11,0,4,11,26,7,4.5,2,2
1974,hubbardbrook,158,3,1,2,26,1,1,1,6,5,2,0.5,6.5,4,1,23,10,11,0,6,10,22,3,8,5,-99
1975,hubbardbrook,200.5,5,2,3,30,1,0,1.5,2,6.5,7.5,2.5,8,3.5,-99,31,8,12,0,6,18,39,1.5,7.5,5,0
1976,hubbardbrook,193.5,5,2,2.5,28,-99,0,1.5,5,5,5,2.5,7,3.5,0.5,30,8,11,0,2,18.5,42,1.5,7,6,0
1977,hubbardbrook,186.5,5,3,3,34,2,0,3,1,9,4,3,4,2,4,23.5,7,12,0,3,9,44,4,5,2,0
1978,hubbardbrook,148.5,3,2,3.5,22,-99,0,2.5,0,7,1.5,4,5,3,3,20,7.5,10.5,0,1,13,32.5,3.5,4,-99,-99
1979,hubbardbrook,146.5,4,3,2,22,0,0,1,0,7,0,3,7,2,-99,16,9,14.5,1,1,12,36,2,4,0,0
1980,hubbardbrook,129.5,2,2,4,15,2,2,2,1,3,2,1,3,3,0,13,10,8,-99,2,10,34.5,4,6,0,0
