year	site	total	GreaterPrairie-chicken	NorthernBobwhite	Ring-neckedPheasant	WildTurkey
1981	konza	25	8	16	1	0
1982	konza	126	21	73	32	0
1983	konza	110	37	44	29	0
1984	konza	77	13	35	29	0
1985	konza	77	35	21	21	0
1986	konza	136	45	59	32	0
1987	konza	143	41	65	37	0
1988	konza	86	5	62	19	0
1989	konza	111	15	75	21	0
1990	konza	106	5	89	12	0
1991	konza	48	0	44	4	0
1992	konza	46	0	44	2	0
1993	konza	88	0	83	5	0
1994	konza	42	0	34	4	4
1995	konza	26	0	23	3	0
1996	konza	31	0	29	2	0
1997	konza	35	0	33	0	2
1998	konza	37	3	25	5	4
1999	konza	43	0	19	5	19
2000	konza	40	2	27	6	5
2001	konza	17	0	9	0	8
2002	konza	13	0	10	0	3
2004	konza	21	0	21	0	0
2005	konza	11	0	10	0	1
2006	konza	11	0	7	0	4
2007	konza	49	0	12	1	36
2008	konza	30	0	18	0	12
2009	konza	29	0	0	0	29
