year	site	total	AmericanKestrel	BarredOwl	Cooper'sHawk	EasternScreech-Owl	GoldenEagle	GreatHornedOwl	NorthernHarrier	Red-tailedHawk	Rough-leggedHawk	Sharp-shinnedHawk	Short-earedOwl	Swainson'sHawk	TurkeyVulture
1981	konza	18	4	3	0	0	0	2	6	2	0	1	0	0	0
1982	konza	45	3	0	0	0	0	12	21	6	1	0	2	0	0
1983	konza	28	5	0	0	0	0	6	5	8	0	0	2	1	1
1984	konza	20	6	0	0	0	0	10	3	1	0	0	0	0	0
1985	konza	24	4	0	0	0	0	10	6	1	0	0	2	1	0
1986	konza	37	4	0	0	0	0	10	14	3	0	0	6	0	0
1987	konza	26	1	0	0	1	0	12	8	1	0	0	2	0	1
1988	konza	8	0	0	1	0	0	4	0	3	0	0	0	0	0
1989	konza	13	0	1	0	0	0	4	1	6	0	1	0	0	0
1990	konza	2	0	0	0	0	0	0	1	0	1	0	0	0	0
1991	konza	15	0	0	0	0	0	8	5	1	1	0	0	0	0
1992	konza	8	0	0	0	0	0	4	4	0	0	0	0	0	0
1993	konza	13	0	0	0	0	0	12	1	0	0	0	0	0	0
1994	konza	21	0	0	0	0	0	4	8	3	2	0	4	0	0
1995	konza	8	0	0	0	0	0	4	2	2	0	0	0	0	0
1996	konza	8	0	1	2	0	0	4	1	0	0	0	0	0	0
1997	konza	1	0	0	1	0	0	0	0	0	0	0	0	0	0
1998	konza	4	0	0	2	0	1	0	0	1	0	0	0	0	0
1999	konza	5	0	0	0	0	0	2	3	0	0	0	0	0	0
2000	konza	6	0	0	1	0	0	4	1	0	0	0	0	0	0
2001	konza	4	0	3	0	0	0	0	0	1	0	0	0	0	0
2002	konza	5	0	0	0	0	0	2	1	2	0	0	0	0	0
2004	konza	6	0	0	1	0	0	4	0	1	0	0	0	0	0
2005	konza	2	0	0	0	0	0	2	0	0	0	0	0	0	0
2006	konza	2	0	0	0	0	0	2	0	0	0	0	0	0	0
2007	konza	8	0	0	1	0	0	0	4	3	0	0	0	0	0
2008	konza	12	0	0	0	0	0	2	3	1	0	0	0	0	6
2009	konza	2	0	0	0	0	0	0	0	1	1	0	0	0	0
