Year	site	Total	AmericanCrow	AmericanGoldfinch	AmericanRobin	AmericanTreeSparrow	BaltimoreOriole	BarnSwallow	BellsVireo	BewicksWren	BlackandwhiteWarbler	BlackcappedChickadee	BluegrayGnatcatcher	BlueGrosbeak	BlueJay	BrownCreeper	BrownheadedCowbird	BrownThrasher	CarolinaWren	CommonGrackle	CommonNighthawk	CommonYellowthroat	DarkeyedJunco	Dickcissel	DownyWoodpecker	EasternBluebird	EasternKingbird	EasternMeadowlark	EasternPhoebe	EasternTowhee	EasternWoodPewee	EuropeanStarling	FieldSparrow	GoldencrownedKinglet	GrasshopperSparrow	GrayCatbird	GreatCrestedFlycatcher	HairyWoodpecker	HenslowsSparrow	HouseWren	IndigoBunting	KentuckyWarbler	LarkSparrow	LeContesSparrow	LincolnsSparrow	LouisianaWaterthrush	NorthernCardinal	NorthernFlicker	NorthernParula	NorthernRoughwingedSwallow	OrangecrownedWarbler	OrchardOriole	RedbelliedWoodpecker	RedeyedVireo	RedheadedWoodpecker	RedwingedBlackbird	RosebreastedGrosbeak	RubycrownedKinglet	SavannahSparrow	SedgeWren	SongSparrow	SummerTanager	TreeSwallow	TuftedTitmouse	VesperSparrow	WarblingVireo	WhitebreastedNuthatch	YellowbilledCuckoo	YellowrumpedWarbler	YellowWarbler
1981	konza	1561	9	16	19	0	8	2	2	0	0	40	10	0	54	1	71	17	0	302	2	4	4	236	11	19	14	85	0	0	12	53	9	0	55	3	28	6	11	29	6	0	0	11	45	3	37	15	0	0	6	0	34	0	124	18	2	2	42	17	0	3	0	6	3	0	18	26	11	0
1982	konza	2136	2	14	31	150	11	0	3	1	0	92	10	0	101	0	161	34	0	16	2	19	26	166	16	28	14	183	14	4	1	78	33	3	86	1	11	6	24	14	16	0	0	28	28	4	56	50	0	7	8	2	46	2	222	35	2	4	0	9	6	0	150	26	6	13	24	30	7	0
1983	konza	1866	12	22	193	11	1	3	9	5	0	108	8	2	49	6	136	27	0	8	1	18	12	208	11	43	16	186	10	4	5	46	34	4	88	3	14	3	22	38	10	0	0	10	16	5	53	43	0	3	2	0	28	3	168	22	4	12	8	3	2	1	11	26	1	6	45	18	0	0
1984	konza	1831	7	29	31	23	10	1	20	7	0	41	0	2	62	0	214	59	0	44	10	23	6	266	6	12	26	175	11	6	10	33	42	1	88	0	21	6	38	23	12	0	0	2	13	2	33	47	0	6	3	2	24	1	138	47	6	6	8	2	5	0	23	7	2	2	33	46	8	0
1985	konza	2161	8	28	407	6	3	6	16	0	0	32	6	0	53	1	151	32	0	98	6	19	30	416	10	35	15	132	6	6	10	17	48	1	55	3	12	0	35	16	4	1	0	48	41	6	37	44	0	0	0	2	38	3	52	33	0	0	20	20	6	4	6	8	0	1	35	26	6	1
1986	konza	2408	7	34	39	97	3	0	37	8	5	78	8	4	58	7	247	43	0	24	3	30	24	342	14	52	6	220	10	16	3	21	119	9	118	6	13	5	68	35	14	2	11	31	23	14	42	66	0	2	2	0	40	4	72	45	4	0	4	29	4	0	97	20	4	2	30	30	2	1
1987	konza	2039	5	56	19	65	6	5	30	8	6	71	6	0	38	3	223	36	1	2	14	27	20	366	17	33	18	173	8	14	3	2	117	30	100	4	20	2	57	20	18	1	0	6	7	6	54	32	0	2	0	2	42	2	38	29	2	0	0	0	7	1	65	28	0	2	27	38	1	4
1988	konza	1359	11	33	6	49	6	7	29	4	5	34	0	4	23	4	132	33	0	8	8	28	2	282	7	3	16	77	14	11	1	0	58	12	68	1	26	1	16	16	8	3	0	0	0	7	26	19	0	0	0	0	10	2	86	25	2	0	0	0	0	0	49	16	0	0	12	58	0	1
1989	konza	1247	12	27	39	18	4	8	21	4	2	56	0	0	59	10	91	27	1	6	16	21	10	214	8	17	11	82	17	10	0	0	49	4	60	3	30	2	10	9	6	0	6	0	0	2	29	19	1	6	0	0	16	0	116	9	2	0	0	0	1	3	18	15	0	0	14	24	0	2
1990	konza	1247	10	15	2	48	6	1	31	1	5	31	4	0	24	12	59	42	0	4	3	26	0	354	0	7	23	114	14	10	2	0	61	0	64	9	39	1	1	6	2	1	2	0	0	7	29	17	2	0	0	4	8	2	22	12	4	0	0	0	0	1	48	12	0	0	13	32	0	0
