year	site	total	BeltedKingfisher	GreatBlueHeron	GreenHeron	Killdeer	Mallard	UplandSandpiper	WoodDuck
1981	konza	21	0	0	0	2	0	19	0
1982	konza	63	8	4	2	4	18	25	2
1983	konza	57	9	0	4	6	0	36	2
1984	konza	78	3	0	0	10	0	65	0
1985	konza	34	1	2	0	2	0	27	2
1986	konza	61	2	0	2	4	0	53	0
1987	konza	56	7	2	0	2	0	40	5
1988	konza	23	1	0	4	0	0	18	0
1989	konza	45	6	0	0	0	0	39	0
1990	konza	58	1	0	0	0	0	57	0
1991	konza	14	1	0	0	0	0	13	0
1992	konza	6	0	0	0	0	0	6	0
1993	konza	17	0	0	0	0	0	17	0
1994	konza	16	1	0	0	0	0	15	0
1995	konza	16	0	0	0	0	0	16	0
1996	konza	12	0	2	0	0	0	10	0
1997	konza	17	0	0	0	0	0	17	0
1998	konza	30	0	0	0	4	0	25	1
1999	konza	27	3	0	0	4	0	20	0
2000	konza	23	0	0	0	0	0	23	0
2001	konza	21	0	0	0	0	0	21	0
2002	konza	26	1	0	0	0	0	25	0
2004	konza	24	0	0	0	0	0	23	1
2005	konza	17	0	0	0	0	0	17	0
2006	konza	17	0	0	0	0	0	17	0
2007	konza	22	0	0	2	0	0	20	0
2008	konza	9	0	0	0	0	0	9	0
2009	konza	3	1	2	0	0	0	0	0
