year	state	total	BicknellsThrush	BlackpollWarbler	BlackthroatedBlueWarbler	BlackthroatedGreenWarbler	BlueheadedVireo	BorealChickadee	BrownCreeper	CommonRaven	DarkeyedJunco	EurasianWren	FoxSparrow	GoldencrownedKinglet	GrayJay	HermitThrush	LeastFlycatcher	MagnoliaWarbler	MyrtleWarbler	NashvilleWarbler	Ovenbird	PurpleFinch	RedbreastedNuthatch	RedeyedVireo	RubycrownedKinglet	SlatecoloredJunco	SwainsonsThrush	WhitethroatedSparrow	YellowbelliedFlycatcher	YellowrumpedWarbler
2000	Maine	71	3	13	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	24	0	0
2001	Maine	224	21	64	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	65	0	0
2002	Maine	229	18	54	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	71	0	0
2003	Maine	313	25	78	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	106	0	0
2004	Maine	322	26	82	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	74	0	0
2005	Maine	285	15	56	2	0	0	4	0	2	0	57	0	7	1	0	0	3	16	1	2	4	1	4	1	13	41	49	6	0
2006	Maine	493	22	75	4	2	3	4	0	1	0	78	0	4	0	8	6	13	24	16	3	5	3	0	3	36	82	92	9	0
2007	Maine	442	28	69	1	3	6	3	1	0	6	42	1	7	0	2	2	19	26	8	2	4	8	1	8	20	78	84	12	1
2008	Maine	245	20	54	1	3	1	5	0	0	8	16	1	4	2	2	0	6	22	2	9	0	2	1	2	9	41	31	3	0
2009	Maine	321	22	53	0	1	3	1	1	3	21	51	2	8	1	0	0	9	15	10	2	1	2	0	2	3	57	41	9	3
2010	Maine	394	25	57	0	0	0	0	1	1	6	58	5	4	3	0	1	5	14	3	0	0	21	0	6	13	98	64	4	5
