year	state	total	AmericanCrow	AmericanRobin	BicknellsThrush	BlackandwhiteWarbler	BlackburnianWarbler	BlackcappedChickadee	BlackpollWarbler	BlackthroatedBlueWarbler	BlackthroatedGreenWarbler	BlueheadedVireo	BlueJay	BorealChickadee	BrownCreeper	CanadaWarbler	CedarWaxwing	ChestnutsidedWarbler	CommonRaven	CommonYellowthroat	DarkeyedJunco	EurasianWren	GoldencrownedKinglet	HermitThrush	LeastFlycatcher	MagnoliaWarbler	MourningDove	MourningWarbler	MyrtleWarbler	NashvilleWarbler	Ovenbird	PurpleFinch	RedbreastedNuthatch	RedeyedVireo	RubycrownedKinglet	SlatecoloredJunco	SwainsonsThrush	WhitethroatedSparrow	YellowbelliedFlycatcher	YellowrumpedWarbler
2000	Massachusetts	9	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
2001	Massachusetts	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
2002	Massachusetts	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2003	Massachusetts	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2004	Massachusetts	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
2005	Massachusetts	41	0	3	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	2	0	3	0	0	3	1	9	0	0	2	2	0	0	3	2	6	0	0
2006	Massachusetts	22	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	2	0	0	0	2	1	3	0	0
2008	Massachusetts	30	0	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	2	3	1	0	0	0	3	0	0	4	0	0	4	0	1	0	0	1	5	0	0
2009	Massachusetts	30	0	9	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	3	0	3	0	0	0	0	4	0	0	1	0	0	0	0	0	3	0	0
2010	Massachusetts	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
2001	NewHampshire	329	0	0	40	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	120	0	0
2002	NewHampshire	387	0	0	39	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	116	0	0
2003	NewHampshire	346	0	0	44	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	111	0	0
2004	NewHampshire	323	0	0	24	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	92	0	0
2005	NewHampshire	679	0	2	55	0	2	5	129	2	0	0	4	11	0	0	0	0	1	0	0	107	2	5	0	7	0	0	29	3	0	2	6	0	2	52	86	146	21	0
2006	NewHampshire	687	0	4	30	0	0	5	116	0	3	2	0	5	1	1	1	0	1	0	0	103	12	14	0	21	0	0	35	9	0	2	4	1	3	53	117	130	14	0
2007	NewHampshire	861	1	1	61	0	2	4	129	0	3	3	7	11	3	0	0	0	0	3	12	44	5	4	0	35	3	0	53	22	0	6	15	0	5	43	149	202	23	12
2008	NewHampshire	826	0	0	59	2	0	1	140	2	8	3	2	4	3	0	0	4	3	2	20	88	16	19	0	28	0	0	44	20	0	2	0	2	5	37	138	135	30	9
2009	NewHampshire	644	0	0	53	0	1	2	92	0	4	3	1	9	0	0	0	1	1	0	26	114	2	2	0	6	1	0	20	2	0	0	5	0	15	9	119	121	16	19
2010	NewHampshire	665	0	0	49	0	0	0	99	0	1	0	0	0	0	0	0	0	0	0	13	96	1	8	0	7	5	0	20	5	0	3	17	0	6	19	151	150	9	6
2000	Vermont	862	0	0	55	0	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	219	0	0
2001	Vermont	714	0	0	54	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	230	0	0
2002	Vermont	755	0	0	59	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	210	0	0
2003	Vermont	929	0	0	74	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	318	0	0
2004	Vermont	921	0	0	51	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	279	0	0
2005	Vermont	1479	1	18	87	0	0	14	255	3	6	9	11	0	0	3	0	0	4	2	0	252	15	20	1	45	4	0	108	19	3	4	12	2	2	76	188	297	18	0
2006	Vermont	1854	0	26	105	1	1	7	279	5	22	16	5	3	1	1	4	4	2	2	0	338	18	24	0	54	3	2	131	21	3	15	9	4	5	119	299	283	42	0
