Year,area,total,Mallard,American Wigeon,Gadwall,Common Teal,Blue-Winged Teal,Pintail,Northern Shoveler,Lesser Scaup,Redhead,Canvasback,Bufflehead,Ruddy Duck,Ring-neck Duck
1952,redvers,535,140,57,17,47,191,17,16,26,5,13,0,0,6
1953,redvers,541,172,61,9,32,166,34,18,21,5,15,1,2,5
1954,redvers,576,242,53,19,44,120,42,20,6,1,27,0,0,2
1955,redvers,405,137,32,4,19,126,21,12,31,11,4,0,2,6
1956,redvers,547,224,46,10,22,115,22,25,31,17,26,0,2,7
1957,redvers,438,158,51,12,20,116,22,19,19,6,10,0,0,5
1958,redvers,450,186,43,9,17,125,27,15,13,2,9,0,0,4
1959,redvers,208,97,26,4,14,53,7,5,1,0,1,0,0,0
1960,redvers,168,79,23,7,4,26,11,7,5,1,5,0,0,0
1961,redvers,133,55,19,2,7,24,12,8,6,0,0,0,0,0
1962,redvers,103,42,20,7,7,13,7,4,1,0,2,0,0,0
1963,redvers,136,34,16,9,3,48,6,10,2,1,5,1,0,1
1964,redvers,291,58,-99,19,8,142,18,21,8,4,10,0,1,2
1965,redvers,128,39,5,5,2,44,10,9,1,6,6,0,0,1
1966,redvers,107,32,4,3,3,41,7,6,2,0,8,1,0,0
1967,redvers,110,37,8,3,10,27,5,5,5,0,9,0,0,1
1968,redvers,59,20,3,1,9,17,1,7,0,0,1,0,0,0
1969,redvers,93,23,9,3,15,34,3,3,1,2,0,0,0,0
1970,redvers,220,41,8,5,25,92,9,14,7,5,12,0,1,1
1971,redvers,164,45,11,5,17,57,4,6,5,2,10,0,0,2
1972,redvers,166,30,9,3,19,70,6,6,2,8,13,0,0,0
1973,redvers,221,41,11,10,28,81,9,11,8,5,14,0,1,2
1974,redvers,285,30,7,3,11,150,9,23,14,8,12,0,14,4
1975,redvers,292,42,6,2,19,151,10,16,14,5,17,0,10,0
1976,redvers,574,87,10,13,57,241,55,31,21,19,12,0,11,17
1977,redvers,235,57,13,16,6,113,0,7,4,0,18,0,0,1
1968,lousana,305,99,43,29,24,21,14,6,50,3,7,7,0,2
1969,lousana,218,30,19,23,14,23,7,5,67,12,7,6,5,0
1970,lousana,314,66,41,17,9,30,17,6,82,13,10,9,13,1
1971,lousana,341,55,34,29,21,49,15,17,80,24,6,4,5,2
1972,lousana,473,86,44,78,25,63,19,14,91,26,10,4,8,5
1973,lousana,474,79,54,44,27,72,18,27,105,26,10,3,7,2
1974,lousana,378,44,30,37,16,73,11,10,105,25,7,7,8,5
1975,lousana,393,60,35,25,26,73,15,13,91,22,19,4,8,2
1976,lousana,407,79,28,38,25,64,15,18,103,13,13,7,0,4
1977,lousana,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
