year	site	total	Meadow.Pipit	Northern.Wheatear	Skylark	Starling	Lapwing	Stock.dove	Dunnock	Reed.Bunting	Blackbird	Barn.Swallow	Common.Whitethroat	Sedge.Warbler	Cuckoo	European.Robin	African.Stonechat	Eurasian.Linnet
1928	skokholm	75	45	10	3	0	6	0	5	0	2	1	0	1	1	0	1	0
1929	skokholm	72	39	13	3	0	8	0	6	0	1	0	0	1	0	0	0	1
1930	skokholm	73	41	12	2	0	10	0	5	0	1	0	1	1	0	0	0	0
1931	skokholm	77	44	9	4	0	11	0	6	0	2	0	1	0	0	0	0	0
1932	skokholm	77	39	13	3	0	12	0	7	0	1	1	0	0	0	0	1	0
1933	skokholm	77	43	13	3	0	10	0	6	0	1	1	0	0	0	0	0	0
1934	skokholm	75	41	14	3	0	8	0	7	0	1	1	0	0	0	0	0	0
1935	skokholm	63	35	12	2	0	6	0	7	0	1	0	0	0	0	0	0	0
1936	skokholm	55	32	10	1	0	5	0	7	0	0	0	0	0	0	0	0	0
1937	skokholm	49	31	9	2	0	3	0	4	0	0	0	0	0	0	0	0	0
1938	skokholm	59	38	12	1	0	5	0	3	0	0	0	0	0	0	0	0	0
1939	skokholm	57	40	10	1	0	4	0	1	0	0	0	0	0	0	1	0	0
1940	skokholm	52	32	12	1	1	4	0	1	0	0	0	0	0	0	1	0	0
1941	skokholm	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
1942	skokholm	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
1943	skokholm	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
1944	skokholm	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
1945	skokholm	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
1946	skokholm	52	32	13	1	2	4	0	0	0	0	0	0	0	0	0	0	0
1947	skokholm	45	24	14	3	1	3	0	0	0	0	0	0	0	0	0	0	0
1948	skokholm	72	40	20	5	6	1	0	0	0	0	0	0	0	0	0	0	0
1949	skokholm	95	48	24	9	11	3	0	0	0	0	0	0	0	0	0	0	0
1950	skokholm	112	60	27	9	12	4	0	0	0	0	0	0	0	0	0	0	0
1951	skokholm	102	40	38	10	8	6	0	0	0	0	0	0	0	0	0	0	0
1952	skokholm	122	48	38	10	10	16	0	0	0	0	0	0	0	0	0	0	0
1953	skokholm	122	49	28	12	10	23	0	0	0	0	0	0	0	0	0	0	0
1954	skokholm	128	49	30	14	10	25	0	0	0	0	0	0	0	0	0	0	0
1955	skokholm	124	49	35	15	5	20	0	0	0	0	0	0	0	0	0	0	0
1956	skokholm	117	49	30	18	4	16	0	0	0	0	0	0	0	0	0	0	0
1957	skokholm	113	49	30	14	4	16	0	0	0	0	0	0	0	0	0	0	0
1958	skokholm	110	50	26	16	3	15	0	0	0	0	0	0	0	0	0	0	0
1959	skokholm	140	50	36	27	2	25	0	0	0	0	0	0	0	0	0	0	0
1960	skokholm	134	47	33	25	3	25	0	0	1	0	0	0	0	0	0	0	0
1961	skokholm	101	43	12	25	4	17	0	0	0	0	0	0	0	0	0	0	0
1962	skokholm	116	40	16	25	15	20	0	0	0	0	0	0	0	0	0	0	0
1963	skokholm	94	36	18	27	9	4	0	0	0	0	0	0	0	0	0	0	0
1964	skokholm	105	32	21	30	13	7	0	2	0	0	0	0	0	0	0	0	0
1965	skokholm	138	34	23	40	18	18	0	4	0	0	0	1	0	0	0	0	0
1966	skokholm	169	36	23	48	30	27	0	4	0	0	0	0	0	1	0	0	0
1967	skokholm	165	40	28	38	35	18	1	4	1	0	0	0	0	0	0	0	0
1968	skokholm	175	40	30	40	40	18	2	4	1	0	0	0	0	0	0	0	0
1969	skokholm	187	40	27	45	50	10	10	4	1	0	0	0	0	0	0	0	0
1970	skokholm	201	45	25	45	53	9	15	4	3	1	1	0	0	0	0	0	0
1971	skokholm	190	45	20	38	50	10	18	5	4	0	0	0	0	0	0	0	0
1972	skokholm	187	43	13	38	47	9	27	5	4	0	1	0	0	0	0	0	0
1973	skokholm	193	42	8	38	43	7	45	6	4	0	0	0	0	0	0	0	0
1974	skokholm	205	40	9	38	40	6	60	7	4	1	0	0	0	0	0	0	0
1975	skokholm	197	35	9	33	40	5	62	6	4	3	0	0	0	0	0	0	0
1976	skokholm	193	38	9	29	40	2	57	9	5	4	0	0	0	0	0	0	0
1977	skokholm	206	40	12	26	40	5	60	12	5	6	0	0	0	0	0	0	0
1978	skokholm	185	30	13	23	40	3	60	9	3	4	0	0	0	0	0	0	0
1979	skokholm	178	35	13	23	40	0	60	3	1	3	0	0	0	0	0	0	0
