year	site	total	Eurasian.Jackdaw	Carrion.Crow	Raven	Buzzard	Peregrine.Falcon	Redbilled.Chough
1928	skokholm	10	0	7	1	1	0	1
1929	skokholm	10	0	9	1	0	0	0
1930	skokholm	12	0	10	1	0	1	0
1931	skokholm	12	0	10	1	1	0	0
1932	skokholm	15	0	12	1	1	1	0
1933	skokholm	13	0	11	1	1	0	0
1934	skokholm	11	0	9	1	1	0	0
1935	skokholm	10	0	8	1	1	0	0
1936	skokholm	9	0	7	1	1	0	0
1937	skokholm	9	0	7	1	1	0	0
1938	skokholm	11	0	9	1	1	0	0
1939	skokholm	9	0	7	1	1	0	0
1940	skokholm	11	0	9	1	1	0	0
1941	skokholm	-99	-99	-99	-99	-99	-99	-99
1942	skokholm	-99	-99	-99	-99	-99	-99	-99
1943	skokholm	-99	-99	-99	-99	-99	-99	-99
1944	skokholm	-99	-99	-99	-99	-99	-99	-99
1945	skokholm	-99	-99	-99	-99	-99	-99	-99
1946	skokholm	9	0	7	1	1	0	0
1947	skokholm	5	0	4	1	0	0	0
1948	skokholm	9	0	6	1	2	0	0
1949	skokholm	11	0	9	1	1	0	0
1950	skokholm	8	0	7	1	0	0	0
1951	skokholm	7	0	6	1	0	0	0
1952	skokholm	8	0	7	1	0	0	0
1953	skokholm	8	0	7	1	0	0	0
1954	skokholm	9	0	8	1	0	0	0
1955	skokholm	7	0	6	1	0	0	0
1956	skokholm	11	0	10	1	0	0	0
1957	skokholm	7	0	6	1	0	0	0
1958	skokholm	8	0	7	1	0	0	0
1959	skokholm	13	0	11	1	1	0	0
1960	skokholm	11	0	10	1	0	0	0
1961	skokholm	11	0	10	1	0	0	0
1962	skokholm	9	0	8	1	0	0	0
1963	skokholm	8	0	7	1	0	0	0
1964	skokholm	7	0	6	1	0	0	0
1965	skokholm	11	3	7	1	0	0	0
1966	skokholm	14	4	8	2	0	0	0
1967	skokholm	15	6	8	1	0	0	0
1968	skokholm	21	12	8	1	0	0	0
1969	skokholm	22	15	6	1	0	0	0
1970	skokholm	24	15	8	1	0	0	0
1971	skokholm	28	20	7	1	0	0	0
1972	skokholm	35	28	6	1	0	0	0
1973	skokholm	47	39	7	1	0	0	0
1974	skokholm	63	55	7	1	0	0	0
1975	skokholm	67	60	6	1	0	0	0
1976	skokholm	57	50	6	1	0	0	0
1977	skokholm	64	56	7	1	0	0	0
1978	skokholm	66	60	5	1	0	0	0
1979	skokholm	65	60	4	1	0	0	0
