year	site	total	Oystercatcher	Moorhen 	White.Wagtail	Mallard	Water.Rail	Corncrake	Common.Snipe
1928	skokholm	42	40	1	1	0	0	0	0
1929	skokholm	43	40	1	1	0	1	0	0
1930	skokholm	42	40	1	0	0	0	1	0
1931	skokholm	43	40	1	1	0	1	0	0
1932	skokholm	41	40	1	0	0	0	0	0
1933	skokholm	53	52	1	0	0	0	0	0
1934	skokholm	46	45	1	0	0	0	0	0
1935	skokholm	46	45	1	0	0	0	0	0
1936	skokholm	38	36	1	0	1	0	0	0
1937	skokholm	33	31	1	0	1	0	0	0
1938	skokholm	39	37	1	0	1	0	0	0
1939	skokholm	36	35	1	0	0	0	0	0
1940	skokholm	41	39	1	1	0	0	0	0
1941	skokholm	-99	-99	-99	-99	-99	-99	-99	-99
1942	skokholm	-99	-99	-99	-99	-99	-99	-99	-99
1943	skokholm	-99	-99	-99	-99	-99	-99	-99	-99
1944	skokholm	-99	-99	-99	-99	-99	-99	-99	-99
1945	skokholm	-99	-99	-99	-99	-99	-99	-99	-99
1946	skokholm	43	43	0	0	0	0	0	0
1947	skokholm	52	52	0	0	0	0	0	0
1948	skokholm	50	50	0	0	0	0	0	0
1949	skokholm	53	53	0	0	0	0	0	0
1950	skokholm	52	52	0	0	0	0	0	0
1951	skokholm	50	50	0	0	0	0	0	0
1952	skokholm	52	52	0	0	0	0	0	0
1953	skokholm	54	54	0	0	0	0	0	0
1954	skokholm	52	50	1	0	1	0	0	0
1955	skokholm	50	50	0	0	0	0	0	0
1956	skokholm	46	45	0	0	1	0	0	0
1957	skokholm	45	45	0	0	0	0	0	0
1958	skokholm	47	47	0	0	0	0	0	0
1959	skokholm	49	49	0	0	0	0	0	0
1960	skokholm	41	41	0	0	0	0	0	0
1961	skokholm	40	40	0	0	0	0	0	0
1962	skokholm	41	40	0	1	0	0	0	0
1963	skokholm	53	52	0	1	0	0	0	0
1964	skokholm	50	49	0	1	0	0	0	0
1965	skokholm	52	49	0	1	1	0	0	1
1966	skokholm	50	49	0	1	0	0	0	0
1967	skokholm	50	49	1	0	0	0	0	0
1968	skokholm	51	50	1	0	0	0	0	0
1969	skokholm	53	52	1	0	0	0	0	0
1970	skokholm	48	47	1	0	0	0	0	0
1971	skokholm	52	51	1	0	0	0	0	0
1972	skokholm	50	49	1	0	0	0	0	0
1973	skokholm	54	53	1	0	0	0	0	0
1974	skokholm	53	53	0	0	0	0	0	0
1975	skokholm	48	47	1	0	0	0	0	0
1976	skokholm	46	46	0	0	0	0	0	0
1977	skokholm	44	44	0	0	0	0	0	0
1978	skokholm	49	49	0	0	0	0	0	0
1979	skokholm	52	51	0	1	0	0	0	0
