Species	site	Total	BlueGrosbeak	FieldSparrow	PaintedBunting	PrairieWarbler	Yellow-breastedChat	IndigoBunting	White-eyedVireo	MourningDove	Yellow-billedCuckoo	Red-eyedVireo	BlackAndWhiteWarbler	KentuckyWarbler	HoodedWarbler	Worm-eatingWarbler
1977	Nacogdoches	154	16	0	3	8	39	78	2	8	0	0	0	0	0	0
1978	Nacogdoches	249	14	1	17	33	78	96	3	1	3	3	0	0	0	0
1979	Nacogdoches	304	15	0	18	47	86	111	14	4	8	1	0	0	0	0
1980	Nacogdoches	301	1	12	18	54	104	68	37	4	0	3	0	0	0	0
1981	Nacogdoches	338	3	25	15	46	124	69	43	12	1	0	0	0	0	0
1982	Nacogdoches	335	6	11	14	57	124	64	49	1	0	0	3	6	0	0
1983	Nacogdoches	294	0	0	6	46	97	69	36	4	21	0	3	12	0	0
1984	Nacogdoches	271	0	0	0	25	94	51	42	0	25	4	8	22	0	0
1985	Nacogdoches	167	0	0	1	14	39	29	28	1	10	8	18	10	6	3
1986	Nacogdoches	153	0	0	0	0	17	22	29	10	12	12	18	17	12	4
1987	Nacogdoches	206	0	0	0	0	12	40	18	0	11	37	31	19	26	12
1988	Nacogdoches	126	0	0	0	0	3	11	6	0	11	29	18	11	26	11
1989	Nacogdoches	102	0	0	0	0	0	0	8	0	1	19	12	12	31	19
1990	Nacogdoches	103	0	0	0	0	0	7	1	1	0	25	18	6	19	26
1991	Nacogdoches	148	0	0	0	0	0	0	0	3	17	47	14	10	33	24
1992	Nacogdoches	144	0	0	0	0	0	0	4	1	0	56	18	6	40	19
