year	area	total	Yellow-b.Sapsucker	Hairy.Woodpecker	Downy.Woodpecker	Least.Flycatcher	Wood.Pewee	Black-c.Chickadee	Brown.Creeper	White-br.Nuthatch	Winter.Wren	Wood.Thrush	Hermit.Thrush	Veery	Swainsons.Thrush	Solitary.Vireo	Red-eyed.Vireo	Bk.-thr.Green.Warbler	Bk.-thr.Blue.Warbler	Yellow-r.Warbler	Blackburnian.Warbler	Ovenbird	American.Redstart	Scarlet.Tanager	Rose-br.Grosbeak
1986	mk	82	3	2	0.5	0	-99	0	0	0	0	2	1	2	2	0	19.5	8	12.5	0	3	6.5	14	2.5	3.5
1987	mk	93.5	2	2	1	2	0	-99	0	1	1	2	1.5	2.5	0	1	20	7.5	15.5	0	2	8	17	4	3.5
1988	mk	104.5	2	1	2	0.5	0	0.5	0	1	-99	2	2	3	0.5	0	19	17	16	-99	2	12	18.5	2	3.5
1989	mk	114	2.5	1	1.5	0	0	2	0	1	2	4	2.5	3.5	0	-99	22.5	17.5	16	1	2.5	8	19.5	3	4
1990	mk	127.5	2.5	1.5	3	0	-99	3.5	-99	2.5	0.5	2	3	3.5	-99	0	21.5	18.5	19.5	1.5	3	16	19	2.5	4
1991	mk	98	3.5	2.5	1.5	0	0	2	0	-99	2.5	0	1	5	0	0	26.5	14	13	0	2	9	8.5	3.5	3.5
1992	mk	84	4	1	1	0	0	2	0	1	0	2	1.5	4	0	1.5	14.5	13.5	12.5	0	2	6.5	9	4	4
1993	mk	74	2	1	-99	0	0	1	0	2	0	0	3.5	6	0	0.5	19	8.5	8	3	0	7.5	6.5	3.5	2
1994	mk	65.5	2.5	1.5	0	0	0	2	2	0.5	-99	0	3	2.5	1	0.5	14	9.5	8.5	-99	0	9	2	3	4
1995	mk	75	3	2	0	0	0	-99	0	-99	0	0	6.5	2	1	2	20	12.5	12.5	0	-99	7.5	2	2	2
1996	mk	77.5	2	2	1	0	1	2	0	0	-99	0	6	2	-99	0	19.5	11	9	-99	2	10	4	4	2
1997	mk	76	3.5	1.5	2	-99	-99	1	0	-99	0	0	2.5	0.5	3.5	0	24	12.5	9	1.5	2	5	3.5	2	2
1998	mk	66.5	2	-99	2	0	0	2.5	0	-99	2	0	4	-99	0	0	18	12.5	9.5	-99	2	8	2	2	0
1999	mk	85	4	2	1	0	0	0.5	0	-99	0	0	4	1	0	1	27.5	15	14.5	-99	2	5	4	3	0.5
2000	mk	85.5	2.5	2	0	0	0	3	0	0.5	-99	0	5	-99	-99	0	27	17	11.5	0	2	6	3	4.5	1.5
1986	sm	64.5	1.5	2	0	0	0	0	0	1	0.5	0	-99	1	0	1	23	7	2	-99	-99	9	12.5	1	3
1987	sm	71	1	1	2	0	0	1	0	2	1.5	0	1.5	0	1	-99	16.5	7	4	0	0	15.5	11.5	3	2.5
1988	sm	67.5	-99	1	-99	0	1	-99	0	-99	0	0	1.5	0	0.5	-99	17	10.5	5.5	0	0	13.5	13	2.5	1.5
1989	sm	87.5	2	1.5	2	0	2	1.5	0	1	-99	0	2	3	0	2	15.5	8	10.5	-99	-99	16.5	14.5	3.5	2
1990	sm	93	-99	3	-99	0	0	2	0	1.5	2	0	1.5	2	2	-99	18	9	6.5	2	0	19	19	3	2.5
1991	sm	71	2.5	2	0	0	0	1.5	0	2	2	0	1.5	2	0	1.5	19	8	6	0	0	12.5	7	1.5	2
1992	sm	81.5	2	1	0.5	0	0	4	0	2	1.5	0	3.5	1.5	0	2	13.5	10	5.5	1	0	19.5	9	3	2
1993	sm	70	0	2.5	1	0	-99	-99	0	1	0	0	2.5	-99	0	0	16.5	12.5	7.5	-99	0	17.5	6	2	1
1994	sm	50.5	0	1.5	0	0	1	3	0	0.5	0	0	1	-99	0.5	0	14	7	7	0	0	9	0	4	2
1995	sm	62	-99	1	0	0	2	0	0	0	0	0	2	-99	0	0	18	5	8	0	0	14.5	8.5	1	2
1996	sm	55	0.5	1	0.5	0	-99	2	-99	0	2	0	1	0	0	0	15	8	6	0	0	18	0	1	0
1997	sm	54.5	1	1	0	0	2	1.5	0	1	2	0	2	0	0	0	19.5	4.5	6	1.5	0	10.5	0	2	-99
1998	sm	70	1	1.5	1	0	0	2	2	0	1	0	2.5	0	0	0	16	11	5.5	0	0	18.5	6	2	-99
1999	sm	90.5	2	2.5	1.5	0	0.5	2.5	1	-99	2	0	4	0	0	1	27	16.5	11.5	1	0	14	0	3.5	-99
2000	sm	92.5	1	0.5	1	0	2	2	1	0.5	1	0	2	0	0	1	25	20.5	15	-99	-99	14.5	2	3	0.5
1986	rp	76.5	0	2	1	0	1	1.5	0	2	0.5	0	-99	-99	1	0	21	8	2	1	0.5	10	15	6.5	3.5
1987	rp	64.5	0	1.5	2	0	0.5	0	0	0.5	0.5	0.5	2.5	0	0	0.5	15.5	8.5	2	0	1	12	12.5	1.5	3
1988	rp	95.5	0.5	1	1	6.5	2	0	1	1	4	0	1.5	0.5	0	0	21	11	5	0	-99	21.5	12	3	3
1989	rp	119.5	2.5	3	2	5.5	1	2.5	-99	1.5	1.5	0	3	3	0	-99	21.5	17	8	0	0	29	13	2.5	3
1990	rp	114	1.5	1.5	1.5	6	1	2.5	-99	1	2.5	-99	2.5	1.5	0	-99	19.5	11	8	2	1	25.5	19.5	3.5	2.5
1991	rp	94.5	1.5	2	2	0	2.5	1.5	0	1.5	2.5	0	1.5	2.5	-99	-99	23.5	9	6	2	2	21	9	2.5	2
1992	rp	91.5	1	2	1	-99	1.5	2.5	2	2	1.5	0	4.5	3.5	0	-99	19.5	9.5	4	-99	-99	19.5	10	5.5	2
1993	rp	90	1	1.5	1	4	1	1	0	2	0.5	0	1	4.5	0	-99	24.5	8.5	9	-99	-99	18	9.5	2	1
1994	rp	62	1	0.5	-99	0	-99	2	0	-99	1	0	0.5	3.5	0	0.5	18	5.5	8	0	0	12	4.5	3	2
1995	rp	70.5	1	1.5	2	0	2	1	0	0	0	0	2	3	0	0	17	8.5	9.5	0	0	11	6	4	2
1996	rp	75	1	1	1	0	2	-99	2	0	1	0	2	1	0	0.5	15	11	7.5	1	2	13	8	3	3
1997	rp	81	2	1.5	1	0	-99	4	0	2	0	0	2.5	-99	0.5	0	22.5	7	10	1	1	15	4	4	3
1998	rp	77.5	2	-99	2	0	0	3	3	-99	2	2	2.5	0	0	0	21	6	8	2.5	0	13.5	5	2.5	2.5
1999	rp	82.5	4	1.5	0.5	0	3	4	0	2	0	-99	2.5	0	0	1	19.5	11.5	14.5	0	0	11.5	2.5	2.5	2
2000	rp	87	2	2	-99	-99	0	1	-99	-99	2.5	0	3.5	0	0	0	25	12.5	12	0	0	14	6	4.5	2
