SampleYear	ExactName	total	Glyptocephalus.cynoglossus	Limanda.limanda	Microstomus.kitt	Platichthys.flesus	Pleuronectes.platessa	Psetta.maxima	Scophthalmus.rhombus	Solea.solea	Zeugopterus.punctatus
1981	Hinkley.Point	427	0	140	0	116	2	0	5	164	0
1982	Hinkley.Point	353.26	0	135.9	0	54.36	0	2	0	161	0
1983	Hinkley.Point	387	0	169	0	110	2	0	0	106	0
1984	Hinkley.Point	661	0	398	0	124	0	4	5	130	0
1985	Hinkley.Point	392	0	112	1	130	8	0	1	140	0
1986	Hinkley.Point	205	0	3.4	0	142.8	0	0	1	57.8	0
1987	Hinkley.Point	636	0	188	0	322	6	0	0	120	0
1988	Hinkley.Point	472	0	78	0	182	8	0	0	204	0
1989	Hinkley.Point	442	0	170	0	108	2	0	0	162	0
1990	Hinkley.Point	489	1	28	0	116	12	0	0	332	0
1991	Hinkley.Point	392	0	150	0	96	4	0	2	140	0
1992	Hinkley.Point	682.53	0	150.54	0	152.63	25.09	0	3	351.27	0
1993	Hinkley.Point	608	0	80	0	180	2	0	0	346	0
1994	Hinkley.Point	837	0	116	0	254	28	1	0	438	0
1995	Hinkley.Point	639	0	256	0	142	14	0	0	226	1
1996	Hinkley.Point	564	0	22	0	220	42	0	0	280	0
1997	Hinkley.Point	127	0	1	0	56	0	0	0	70	0
