SampleYear	ExactName	total	Ciliata.mustela	Ciliata.septentrionalis	Gadus.morhua	Gaidropsaurus.vulgaris	Merlangius.merlangus	Merluccius.merluccius	Micromesistius.poutassou	Molva.molva	Pollachius.pollachius	Pollachius.virens	Raniceps.raninus	Trisopterus.esmarkii	Trisopterus.luscus	Trisopterus.minutus
1981	Hinkley.Point	1932	18	2	2	0	1104	18	0	0	6	0	0	0	144	638
1982	Hinkley.Point	5255.23	89.9	4.18	4	0	1463.63	14.63	0	0	20.9	0	1	69	606.36	2981.63
1983	Hinkley.Point	3175	38	4	14	2	1540	104	0	0	12	0	0	22	149	1290
1984	Hinkley.Point	2738	28	0	6	0	2080	2	1	0	4	0	1	68	24	524
1985	Hinkley.Point	2062	6	4	0	0	1854	18	0	0	12	0	0	20	28	120
1986	Hinkley.Point	1074.2	0	0	10	0	867	0	0	0	0	0	0	0	68	129.2
1987	Hinkley.Point	7073	12	10	182	0	6360	0	0	1	8	0	0	12	222	266
1988	Hinkley.Point	2100	166	2	32	1	1582	42	0	0	8	1	0	12	140	114
1989	Hinkley.Point	2961	70	6	12	0	2470	42	0	0	4	0	1	10	300	46
1990	Hinkley.Point	5885	148	0	258	0	2890	48	0	1	6	0	0	10	1742	782
1991	Hinkley.Point	2885	60	2	34	0	2278	14	0	0	0	0	1	2	282	212
1992	Hinkley.Point	3146.6	52.27	4.18	119	0	2734.9	41.81	0	0	6.27	0	0	35.54	81.54	71.09
1993	Hinkley.Point	5905	46	6	128	0	4254	28	1	0	2	0	0	32	160	1248
1994	Hinkley.Point	5184	76	2	212	0	4414	10	0	0	24	0	0	6	118	322
1995	Hinkley.Point	2146	66	10	34	0	1846	4	0	0	12	0	0	26	38	110
1996	Hinkley.Point	2933	42	12	34	0	2690	4	1	0	0	0	0	18	42	90
1997	Hinkley.Point	377	2	1	6	0	352	0	0	0	0	0	0	10	1	5
