SampleYear	ExactName	total	Callionymus.lyra	Callionymus.maculatus	Anarhichas.lupus	Lophius.piscatorius	Cyclopterus.lumpus	Trigla.lucerna	Aspitrigla.cuculus
1970	North.Sea	2.082	2	0	0.02	0.05	0.012	0	0
1971	North.Sea	3.14	3	0	0.14	0	0	0	0
1972	North.Sea	0.11	0	0	0	0.1	0.01	0	0
1973	North.Sea	9.219	9	0	0.06	0.15	0.009	0	0
1974	North.Sea	16.9825	16	0.65	0.13	0.2	0.0025	0	0
1975	North.Sea	28.023	27	0	0.12	0.8	0.003	0.08	0.02
1976	North.Sea	18.4175	18	0	0.1	0.25	0.0275	0.04	0
1977	North.Sea	2.8025	2	0	0.18	0.6	0.0225	0	0
1978	North.Sea	5.439	4	0.02	0.32	0.95	0.009	0.04	0.1
1979	North.Sea	2.608	2	0.25	0.05	0.25	0.023	0.025	0.01
1980	North.Sea	4.815	3	0.45	0.08	0.95	0.015	0.08	0.24
1981	North.Sea	3.42	3	0.04	0.1	0.25	0.02	0	0.01
1982	North.Sea	1.1275	0	0.04	0.9	0.15	0.0375	0	0
1983	North.Sea	3.48	2	0.18	0.4	0.52	0.005	0.375	0
1984	North.Sea	4.258	3	0.1	0.58	0.5	0.018	0.05	0.01
1985	North.Sea	1.926	1	0.22	0.18	0.48	0.026	0.02	0
1986	North.Sea	2.868	2	0.2	0.22	0.3	0.048	0.02	0.08
1987	North.Sea	2.7075	2	0.02	0.24	0.25	0.0375	0.02	0.14
1988	North.Sea	3.5125	3	0.01	0.18	0.23	0.0125	0.08	0
1989	North.Sea	4.809	3.5	0.48	0.22	0.5	0.019	0.01	0.08
1990	North.Sea	5.5525	4	0.55	0.13	0.4	0.0125	0.04	0.42
1991	North.Sea	5.894	4	0.35	0.2	0.6	0.024	0.02	0.7
1992	North.Sea	6.041	4	0.75	0.12	0.7	0.031	0.06	0.38
1993	North.Sea	6.512	4	0.25	0.25	1.4	0.032	0.08	0.5
