SampleYear	ExactName	total	Pleuronectes.platessa	Glyptocephalus.cynoglossus	Hippoglossus.hippoglossus	Solea.solea	Lepidorhombus.whiffiagonis	Buglossidium.luteum	Platichthys.flesus	Psetta.maxima	Phrynorhombus.norvegicus	Scophthalmus.rhombus	Arnoglossus.laterna
1970	North.Sea	54.68	51	0.4	0.42	0.4	0	1	1.2	0.04	0.04	0	0.18
1971	North.Sea	11.255	10	0	0	0.1	0	0.2	0.9	0	0	0.055	0
1972	North.Sea	2.5	2	0.1	0	0.1	0	0	0.25	0.05	0	0	0
1973	North.Sea	64.77	60	0.4	0	0.12	0	0.25	4	0	0	0	0
1974	North.Sea	26.352	20	1	0.012	0.15	0.18	1.1	3.6	0.12	0.01	0.18	0
1975	North.Sea	45.19	40	1.3	0	0.12	0.55	0.8	2	0.07	0	0.25	0.1
1976	North.Sea	50.92	42	2	0	0.3	0.02	2.8	2.8	0.13	0	0.7	0.17
1977	North.Sea	29.32	26	0.3	0	0.3	0.62	1	0.8	0.12	0.01	0.17	0
1978	North.Sea	40.296	37	1.5	0.016	0.05	0.38	0.2	1	0.06	0.03	0.06	0
1979	North.Sea	20.032	18	0.6	0	0.1	0.02	0.1	0.9	0.062	0.01	0.09	0.15
1980	North.Sea	30.022	25	0.55	0.022	0.7	0.84	0.25	2.2	0.21	0.015	0.075	0.16
1981	North.Sea	67.87	62	1.6	0	0.5	0.02	0.3	3.2	0.1	0	0.13	0.02
1982	North.Sea	29.122	27	0.4	0.022	0.25	0.3	0.1	0.9	0.12	0	0.02	0.01
1983	North.Sea	35.191	30	1.2	0.018	0.3	0.65	0.25	2.6	0.09	0.003	0.055	0.025
1984	North.Sea	30.958	27	1	0.033	0.9	0.62	0.2	1.1	0.06	0.005	0.04	0
1985	North.Sea	50.975	48	0.9	0.025	0.4	0.38	0.1	1	0.05	0.01	0.04	0.07
1986	North.Sea	50.093	45	0.8	0.005	0.8	0.62	0.1	2.6	0.06	0.008	0.05	0.05
1987	North.Sea	88.355	80	1.1	0.01	0.7	0.92	0.8	4.5	0.075	0.01	0.04	0.2
1988	North.Sea	80.33	65	0.8	0.008	1	0.5	0.1	1.8	11	0.042	0.03	0.05
1989	North.Sea	77.721	70	2.1	0.026	1	0.78	1	2.4	0.1	0.04	0.025	0.25
1990	North.Sea	56.149	49	0.5	0.032	1.2	0.35	2.8	1.2	0.14	0.092	0.055	0.78
1991	North.Sea	29.048	20	0.9	0.02	1.8	0.44	3	2.3	0.18	0.018	0.14	0.25
1992	North.Sea	57.525	49	2.2	0.026	1.25	0.43	1.25	2.8	0.16	0.039	0.15	0.22
1993	North.Sea	36.039	28	3.25	0.022	0.7	0.78	1.2	0.8	0.15	0.037	0.1	1
