SampleYear	ExactName	total	Gadus.morhua	Trisopterus.esmarkii	Melanogrammus.aeglefinus	Brosme.brosme	Merlangius.merlangus	Molva.molva	Pollachius.pollachius	Pollachius.virens	Merluccius.merluccius
1970	North.Sea	951.05	100	0	500	0	350	0.05	0	1	0
1971	North.Sea	2680.15	125	2000	100	0	450	0.05	2.5	2	0.6
1972	North.Sea	5087.05	30	4000	650	0	400	0	6	1	0.05
1973	North.Sea	8581.05	230	3800	1300	0	3250	0.05	0	1	0
1974	North.Sea	12285.7	30	10000	800	0	1450	0.3	2.1	2	1.3
1975	North.Sea	7701.25	220	3700	1250	0.8	2500	0.25	0	30	0.2
1976	North.Sea	2772.73	70	200	400	0	2100	0.1	0.4	2	0.23
1977	North.Sea	2518.5	65	1200	250	0.4	1000	0.2	0.1	2	0.8
1978	North.Sea	1692.8	130	200	300	0	1050	0.2	0	12	0.6
1979	North.Sea	1362.35	35	800	275	0	250	0.1	0.1	2	0.15
1980	North.Sea	5557.2	100	3200	750	0.7	1500	0.8	0.5	5	0.2
1981	North.Sea	2877.31	75	600	700	0	1500	0.2	0.1	2	0.01
1982	North.Sea	2448.1	445	900	500	0.45	600	0.25	0.1	2	0.3
1983	North.Sea	3038.95	30	1800	700	0.8	500	2.1	0.6	5	0.45
1984	North.Sea	4957.85	50	3250	900	0.8	750	0.4	2.2	3	1.45
1985	North.Sea	3423.45	30	1900	750	0.6	700	0.4	2	40	0.45
1986	North.Sea	2976.35	35	1200	750	0.45	900	0.5	0.1	90	0.3
1987	North.Sea	4061.35	55	1800	800	0.3	1400	0.4	0.1	5	0.55
1988	North.Sea	3084.3	25	800	650	0.5	1600	0.45	0.1	8	0.25
1989	North.Sea	3740	30	1200	400	1.3	2100	0.4	0.1	8	0.2
1990	North.Sea	2377.8	25	500	250	0.1	1600	0.3	0.1	2	0.3
1991	North.Sea	4643.2	25	2000	600	0.5	2000	0.6	3.6	13	0.5
1992	North.Sea	6890.85	28	3800	1000	0.45	2050	0.4	0.5	10	1.5
1993	North.Sea	6943.73	30	1800	1300	0.28	3800	1	0.2	12	0.25
