SampleYear	ExactName	total	Sprattus.sprattus	Clupea.harengus	Argentina.silus
1970	North.Sea	2000	1200	800	0
1971	North.Sea	7000.22	2100	4900	0.22
1972	North.Sea	8200	3000	5200	0
1973	North.Sea	1100.1	200	900	0.1
1974	North.Sea	1100.22	250	850	0.22
1975	North.Sea	6550	4100	2450	0
1976	North.Sea	1700	1100	600	0
1977	North.Sea	5500.03	5000	500	0.03
1978	North.Sea	2000	1800	200	0
1979	North.Sea	850.02	800	50	0.02
1980	North.Sea	5600.025	4800	800	0.025
1981	North.Sea	5200.27	3100	2100	0.27
1982	North.Sea	2450.15	1000	1450	0.15
1983	North.Sea	2080.5	980	1100	0.5
1984	North.Sea	2450.34	950	1500	0.34
1985	North.Sea	4300.04	1200	3100	0.04
1986	North.Sea	4000.15	200	3800	0.15
1987	North.Sea	5300.11	1200	4100	0.11
1988	North.Sea	7300.19	1100	6200	0.19
1989	North.Sea	9400.18	6200	3200	0.18
1990	North.Sea	5900.22	1000	4900	0.22
1991	North.Sea	3200.35	1000	2200	0.35
1992	North.Sea	3000.24	1200	1800	0.24
1993	North.Sea	5500.28	3400	2100	0.28
