Year	Site	total	Agkistrodon_contortrix	Cnemnidophorous_sexlineatus	Coluber_constrictor	Crotaphytus_collaris	Diadophis_punctatus	Elaphe_emoryi	Elaphe_obsoleta	Eumeces_obsoletus	Lampropeltis_calligaster	Lampropeltis_getula	Lampropeltis_triangulum	Masticophis_flagellum	Nerodia_sipedon	Ophisaurus_attenuatus	Phrynosoma_cornutum	Pituophis_catenifer	Scincella_lateralis	Storeria_dekayi	Tantilla_gracilis	Thamnophis_proximus	Thamnophis_radix	Thamnophis_sirtalis	Tropidoclonion_lineatum
1989	CowleyCounty	33	0	0	4	6	7	1	1	3	0	0	2	4	1	0	1	0	0	0	3	0	0	0	0
1990	CowleyCounty	88	2	0	12	7	33	3	0	2	1	2	4	1	2	4	0	0	2	1	6	1	0	3	0
1991	CowleyCounty	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
1992	CowleyCounty	37	0	0	1	3	7	2	0	2	0	0	1	0	0	0	0	0	2	0	18	0	0	1	0
1993	CowleyCounty	88	0	1	5	3	29	1	0	11	0	1	0	0	0	2	0	1	1	0	30	0	0	0	2
1994	CowleyCounty	61	0	0	6	0	31	1	0	9	0	0	0	0	0	1	0	0	0	0	11	0	0	1	1
1995	CowleyCounty	99	1	0	5	3	47	3	0	12	1	2	1	2	0	2	0	0	0	0	14	0	0	4	0
1996	CowleyCounty	49	0	0	5	5	10	2	0	3	0	2	1	0	0	1	0	0	0	0	9	0	0	4	0
1997	CowleyCounty	88	0	0	8	4	41	5	0	5	0	1	1	0	0	7	0	1	0	0	9	1	0	2	0
1998	CowleyCounty	108	0	0	13	5	44	0	0	6	1	1	0	0	2	6	1	0	1	0	18	1	2	5	2
1999	CowleyCounty	86	0	0	9	4	22	5	0	13	0	2	0	0	1	0	0	0	2	0	18	0	2	4	2
2000	CowleyCounty	119	0	1	12	3	12	1	0	36	1	4	0	1	0	3	0	0	5	0	28	7	0	3	2
2001	CowleyCounty	81	0	0	6	4	14	1	0	22	0	2	0	0	1	1	0	0	3	0	18	2	0	5	0
2002	CowleyCounty	80	0	0	7	5	12	0	0	12	1	3	1	0	0	2	0	0	2	0	32	0	0	3	0
2003	CowleyCounty	92	0	1	12	6	29	0	0	12	0	0	2	1	0	1	0	0	0	0	17	1	0	5	1
