Year	Site	Total	Nerodia_sipedon	Pituophis_catenifer	Thamnophis_sirtalis
1949	fitchreserve	3.571428571	1	1.285714286	1.285714286
1950	fitchreserve	2.782608696	1	0	1.782608696
1951	fitchreserve	3.375	1	1	1.375
1952	fitchreserve	3.583333333	1.25	1	1.333333333
1953	fitchreserve	4	1	1.2	1.8
1954	fitchreserve	3.446969697	1	1.083333333	1.363636364
1955	fitchreserve	3	1	1	1
1956	fitchreserve	3.570192308	1.2	1.0625	1.307692308
1957	fitchreserve	3.814814815	1.333333333	1	1.481481481
1958	fitchreserve	3.766025641	1	1.125	1.641025641
1959	fitchreserve	6.293877551	1.8	1.3	3.193877551
1960	fitchreserve	6.729102167	2.176470588	1	3.552631579
1961	fitchreserve	6.693277311	2.428571429	1	3.264705882
1962	fitchreserve	8.873170732	1.6	4.2	3.073170732
1963	fitchreserve	7.848484848	2	2.181818182	3.666666667
1964	fitchreserve	5.395833333	1.6875	1.25	2.458333333
1965	fitchreserve	4.642857143	1.1	1	2.542857143
1966	fitchreserve	4.377378436	1.272727273	1.5	1.604651163
1967	fitchreserve	3.3	1.5	0	1.8
1968	fitchreserve	2.8	1	0	1.8
1969	fitchreserve	2.791666667	1	0	1.791666667
1970	fitchreserve	3.166666667	1	0	2.166666667
1971	fitchreserve	3.613636364	1.25	0	2.363636364
1972	fitchreserve	4.198412698	1.142857143	1	2.055555556
1973	fitchreserve	4.2	1.5	1	1.7
1974	fitchreserve	7.80952381	1.666666667	1	5.142857143
1975	fitchreserve	2.2	1	0	1.2
1976	fitchreserve	4.535714286	1.285714286	0	3.25
1977	fitchreserve	4.555555556	1.333333333	1	2.222222222
1978	fitchreserve	6.636363636	1.2	2	3.436363636
1979	fitchreserve	9.590909091	1.25	0	8.340909091
1980	fitchreserve	3.416666667	1.125	0	2.291666667
1981	fitchreserve	6.535714286	3	1	2.535714286
1982	fitchreserve	4.396551724	1	1.5	1.896551724
1983	fitchreserve	2.708333333	0	1.333333333	1.375
1984	fitchreserve	5.433333333	1.5	2	1.933333333
1985	fitchreserve	3.1875	1	0	2.1875
1986	fitchreserve	3.972222222	1	1	1.972222222
1987	fitchreserve	3.142857143	0	1	2.142857143
1988	fitchreserve	4.346320346	1.285714286	1	2.060606061
1989	fitchreserve	4.307692308	3	0	1.307692308
1990	fitchreserve	5.33442623	1.4	1	2.93442623
1991	fitchreserve	4.327922078	1.25	1	2.077922078
1992	fitchreserve	4.757894737	1	1	2.757894737
1993	fitchreserve	4.061355311	1.083333333	0	2.978021978
1994	fitchreserve	4.043082524	1.0625	0	2.980582524
1995	fitchreserve	4.133333333	1.2	1	1.933333333
1996	fitchreserve	4.539473684	1.5	0	3.039473684
1997	fitchreserve	4.3	1.5	0	2.8
1998	fitchreserve	4.174603175	1.333333333	0	2.841269841
1999	fitchreserve	4.277777778	1.166666667	0	3.111111111
2000	fitchreserve	4.104166667	1	0	3.104166667
2001	fitchreserve	3.807692308	1	0	2.807692308
2002	fitchreserve	4.133333333	1.4	0	2.733333333
2003	fitchreserve	3.31372549	1.666666667	0	1.647058824
2006	fitchreserve	4	0	0	4
