SampleYear	ExactName	total	Ambystoma.opacum	Ambystoma.talpoideum	Ambystoma.tigrinum.tigrinum	Bufo.terrestris	Eurycea.quadridigitata	Gastrophryne.carolinensis	Notophthalmus.viridescens	Pseudacris.crucifer	Pseudacris.nigrita	Pseudacris.ornata	Rana.clamitans	Rana.utricularia	Scaphiopus.holbrooki
1979	Rainbow.Bay	1195	0	200	45	110	100	400	50	20	55	100	13	90	12
1980	Rainbow.Bay	1852	0	1100	27	10	200	100	100	140	58	10	12	93	2
1981	Rainbow.Bay	2264	5	100	7	10	100	1210	400	150	60	100	1	118	3
1982	Rainbow.Bay	2130	10	500	42	90	200	350	500	40	55	275	4	56	8
1983	Rainbow.Bay	2696	15	700	92	50	200	100	600	380	35	375	22	95	32
1984	Rainbow.Bay	3644	120	1100	52	40	600	75	800	500	15	275	28	35	4
1985	Rainbow.Bay	6458	30	300	13	10	5400	75	200	320	30	60	1	15	4
1986	Rainbow.Bay	6869	430	2600	32	8	400	100	3000	120	12	150	6	5	6
1987	Rainbow.Bay	4219	400	900	12	80	100	100	2500	50	2	50	3	10	12
1988	Rainbow.Bay	1567	310	100	2	5	350	50	700	20	2	20	1	5	2
1989	Rainbow.Bay	1346	450	200	0	5	50	75	500	50	4	10	0	2	0
1990	Rainbow.Bay	2197	600	700	10	4	10	50	600	70	2	100	3	10	38
1991	Rainbow.Bay	1188	380	200	8	190	10	150	200	20	2	10	3	7	8
1992	Rainbow.Bay	1379	20	300	3	30	10	150	200	600	2	20	5	35	4
1993	Rainbow.Bay	2425	320	1500	13	120	10	50	300	40	2	30	2	30	8
1994	Rainbow.Bay	1004	400	200	2	30	10	75	200	20	2	20	1	2	42
