SampleYear	ExactName	total	Clinocardium.nuttallii	Haliotis.corrugata	Haliotis.cracherodii	Haliotis.fulgens	Haliotis.rufescens	Haliotis.sorensenii	Mya.arenaria	Tivela.stultorum_
1916	California.Coastline	176.3	41	0	0	0	0.3	0	35	100
1917	California.Coastline	342.25	27	0	0	0	0.25	0	85	230
1918	California.Coastline	442.2	0	0	0	0	0.2	0	140	302
1919	California.Coastline	326	11	0	0	0	0	0	135	180
1920	California.Coastline	243.3	8	0	0	0	0.3	0	105	130
1921	California.Coastline	201.65	6	0	0	0	0.65	0	95	100
1922	California.Coastline	248	13	0	0	0	0	0	155	80
1923	California.Coastline	245.65	15	0	0	0	0.65	0	125	105
1924	California.Coastline	239	3	0	0	0	1	0	105	130
1925	California.Coastline	257.1	1	0	0	0	1.1	0	115	140
1926	California.Coastline	238.85	8	0	0	0	0.85	0	110	120
1927	California.Coastline	129.25	3	0	0	0	1.25	0	65	60
1928	California.Coastline	130.8	10	0	0	0	0.8	0	65	55
1929	California.Coastline	124.55	28	0	0	0	1.55	0	45	50
1930	California.Coastline	152.4	56	0	0	0	1.4	0	50	45
1931	California.Coastline	128.45	42	0	0	0	1.45	0	45	40
1932	California.Coastline	186.25	70	0	0	0	1.25	0	70	45
1933	California.Coastline	161.2	40	0	0	0	1.2	0	75	45
1934	California.Coastline	193	33	0	0	0	0	0	100	60
1935	California.Coastline	182.75	36	0	0	0	1.75	0	65	80
1936	California.Coastline	136.5	10	0	0	0	1.5	0	35	90
1937	California.Coastline	148.3	12	0	0	0	1.3	0	35	100
1938	California.Coastline	141.95	11	0	0	0	0.95	0	35	95
1939	California.Coastline	124.8	9	0	0	0	0.8	0	30	85
1940	California.Coastline	101.75	6	0	0	0	0.75	0	25	70
1941	California.Coastline	96.4	1	0	0	0	0.4	0	25	70
1942	California.Coastline	71.05	1	0	0	0	0.05	0	30	40
1943	California.Coastline	31.25	1	0	0	0	0.25	0	15	15
1944	California.Coastline	23.7	1	0	0	0	0.7	0	12	10
1945	California.Coastline	12.25	1	0.05	0	0	1.2	0	5	5
1946	California.Coastline	36.875	1	0.025	0	0	0.85	0	10	25
1947	California.Coastline	32.1	1	0.2	0	0	0.9	0	10	20
1948	California.Coastline	1.4	0	0.6	0	0	0.8	0	0	0
1949	California.Coastline	1.55	0	0.8	0	0	0.75	0	0	0
1950	California.Coastline	1.72	0	1.05	0	0.02	0.65	0	0	0
1951	California.Coastline	1.67	0	1.05	0	0.02	0.6	0	0	0
1952	California.Coastline	2.02	0	1.5	0	0.02	0.5	0	0	0
1953	California.Coastline	2.12	0	1.5	0	0.02	0.6	0	0	0
1954	California.Coastline	1.82	0	1.2	0	0.02	0.6	0	0	0
1955	California.Coastline	1.87	0	0.95	0	0.02	0.9	0	0	0
1956	California.Coastline	101.82	0	0.8	0	0.02	101	0	0	0
1957	California.Coastline	2.42	0	1.25	0	0.02	1.15	0	0	0
1958	California.Coastline	1.92	0	1.15	0	0.02	0.75	0	0	0
1959	California.Coastline	2.07	0	1.05	0	0.02	1	0	0	0
1960	California.Coastline	1.97	0	0.7	0	0.02	1.25	0	0	0
1961	California.Coastline	2.07	0	0.75	0	0.02	1.3	0	0	0
1962	California.Coastline	1.92	0	0.8	0	0.02	1.1	0	0	0
1963	California.Coastline	2	0	0.7	0	0.05	1.25	0	0	0
1964	California.Coastline	1.85	0	0.75	0	0.05	1.05	0	0	0
1965	California.Coastline	0.99	0	0.95	0	0.02	0	0.02	0	0
1966	California.Coastline	2.27	0	0.95	0	0.1	1.2	0.02	0	0
1967	California.Coastline	2.07	0	0.7	0.05	0.1	1.2	0.02	0	0
1968	California.Coastline	2.07	0	1	0.05	0.2	0.8	0.02	0	0
1969	California.Coastline	1.72	0	0.85	0.05	0.1	0.7	0.02	0	0
1970	California.Coastline	1.32	0	0.6	0.05	0.15	0.5	0.02	0	0
1971	California.Coastline	2.3	0	0.2	1	0.5	0.55	0.05	0	0
1972	California.Coastline	1.45	0	0.2	0.5	0.2	0.45	0.1	0	0
1973	California.Coastline	1.6	0	0.2	0.9	0.1	0.3	0.1	0	0
1974	California.Coastline	1.3	0	0.25	0.55	0.1	0.3	0.1	0	0
1975	California.Coastline	1	0	0.25	0.3	0.1	0.3	0.05	0	0
1976	California.Coastline	0.8	0	0.2	0.2	0.05	0.3	0.05	0	0
1977	California.Coastline	0.52	0	0.15	0.05	0.05	0.25	0.02	0	0
1978	California.Coastline	0.62	0	0.15	0.2	0.05	0.2	0.02	0	0
1979	California.Coastline	0.445	0	0.05	0.15	0.025	0.2	0.02	0	0
1981	California.Coastline	1.02	0	0.05	0.25	0.5	0.2	0.02	0	0
