Year	site	Total	2	3	4	5	6
1986	hubbardbrook	79.75	31.5	13.75	10.75	15.25	8.5
1987	hubbardbrook	86.25	35.25	28.5	10	10	2.5
1988	hubbardbrook	115.75	39.75	46.75	18.5	6	4.75
1989	hubbardbrook	166.25	61.25	58.75	23.75	18.5	4
1990	hubbardbrook	85.5	43.5	24.25	7.25	4.75	5.75
1991	hubbardbrook	234.75	157.5	39.5	10	24.5	3.25
1992	hubbardbrook	195.1666667	174.75	9.75	2	6.333333333	2.333333333
1993	hubbardbrook	94	73.5	14	1	3.5	2
1994	hubbardbrook	220.5833333	189.75	24	2.5	1	3.333333333
1995	hubbardbrook	146.25	95.25	26.5	4.75	5.75	14
1996	hubbardbrook	581	482	77	20	1	1
1997	hubbardbrook	823	731	38	20	8	26
