Year	SITE	Total	ARCLCHIN	ARCOCA1	ARCT11	ARDICI1	ARDICIVA	ARDIDI1	ARGNCEBI	ARGNDD1	ARGNDR1	ARGNHA1	ARGNHACH	ARGNHEBU	ARGNMILO	ARGNMIPO	ARGNZE1	ARGNZETU	ARLYSC1	ARMISY1	AROXOXTR	ARPHAPTE	ARPHEB1	ARPHEBDO	ARPHPS1	ARPHTHCO	ARSAHAGE	ARSAMETA	ARSAPH1	ARSILOAP	ARTHXY1	ARTHXYLA	ARTR12	ARTREUSC	ARTRLAHE	ARTRSTFU	BLPOARER	CHSCSCPO	COANAN1	COCACYPU	COCAHELA	COCAPAEL	COCEDEGE	COCEME1	COCETR1	COCHAL1	COCHPATR	COCOHYPL	COCRCRDE	COCUCICO	COCUMILA	COCUOPVI	COELCOAT	COELEURE	COELLASC	COHIHIAB	COHIHO1	COLEPTTE	COMEEPCO	COMYTYST	CONICALU	CONICASA	COSCANRU	COSCANVE	COSCAP1	COSCCAPU	COSCDICA	COSCDISU	COSCEUIN	COSCONHE	COTEARDE	COTEBLPI	COTECOUN	COTEELCA	COTEELGR	COTEELHI	COTEELLO	COTEELOB	COTEEMGL	COTEEUCA	COTEEURE	COTEMECR	COTEMETE	COTESTCO	COTRTRSC	DISCOROR	HECYPABI	HELYEMVI	HELYLYKA	MIMEPRRE	NECHCH1	NECHERPU	ORACACPI	ORACAGDE	ORACBOAR	ORACCIPA	ORACCLLA	ORACERSI	ORACHEVI	ORACPAPA	ORACPSTE	ORACTRPA	ORGRGR1	ORGYCEPA	ORMOCYCO	ORROPHRO	ORSCANVE	ORTEAR1	ORTEARGR	ORTECAFU	ORTEINEL	ORTEINSP	PSCHDASI	SCVAVACO	SOERER1
1996	CALI	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	1	0	0	1	0	0	1	13	0	0	0	0	8	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	1	1	0	0	4	0	0	0	2	0	0	0	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1
1997	CALI	41	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	1	0	0	1	0	0	1	0	0	1	0	5	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	5	3
1998	CALI	53	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	5	0	0	0	0	8	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	8	2
1999	CALI	23	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0
2000	CALI	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	9	0	2	0	0	2	3	4	0	0	1	1	0	1	0	3	0	0	0	1	1	0	2	0	2	0
2001	CALI	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	GRAV	85	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	2	0	0	0	0	0	6	5	0	0	0	0	37	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	3	12	0	0	0	0	0	0	0	0	0	0	2	0
1997	GRAV	62	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	1	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	30	0	0	0	0	0	0	0	0	1	0	1	1
1998	GRAV	83	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	40	0	0	0	0	0	0	0	0	0	1	4	1
1999	GRAV	44	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	2	2	2	0	1	0	4	0	0	0	1	0	0	7	2	0	1	0	0	0	0	0	1	0	0	3	2
