Year	SITE	Total	ARAGAG1	ARCOCA1	ARDICI1	ARDICIVA	ARDIDI1	ARGNCAMU	ARGNCEBI	ARGNCESI	ARGNDD1	ARGNDDGO	ARGNDR1	ARGNDRMU	ARGNHA1	ARGNHACH	ARGNHE1	ARGNHEBU	ARGNMI1	ARGNMILO	ARGNZE1	ARGNZEAN	ARGNZELA	ARGNZETU	ARLILI1	ARLYGLGU	ARLYLY1	ARLYSC1	ARLYVAGO	ARMIMIHE	ARMISY1	AROXOXTR	ARPHAPTE	ARPHEB1	ARPHEBDO	ARPHPS1	ARPHTHCO	ARPHTHFO	ARSAHAGE	ARSAPH1	ARSASA2	ARSILOAP	ARTHXY1	ARTHXYCU	ARTHXYFA	ARTHXYLA	ARTREUSC	ARTRLAHE	ARTRSTFU	BLBLPADE	BLPOARER	CHLILIFO	CHSCSCPO	CHSCSCVI	CHSCSOVI	COANAN1	COCACILE	COCACYPU	COCAEUGR	COCAHAPE	COCAHELA	COCAPACA	COCAPAEL	COCAPAOB	COCETR1	COCRCRDE	COCUCICO	COCUOP1	COELARDE	COELCOAT	COELLASC	COHIHIAB	COLEPTTE	COMEEPCO	CONICALU	COSCANVE	COSCBOEB	COSCCAPU	COSCDIGA	COSCDISU	COSCSCVI	COTEARDE	COTEARRU	COTECOUN	COTEELCA	COTEELEX	COTEELHI	COTEELLO	COTEEMCO	COTEGLSO	COTEMECR	COTETRPR	COTRTRSC	DISCOROR	HELALA1	HELYEMVI	HELYLYKA	HELYNELA	HELYPABI	HETICO1	HYMUDAKL	HYMUPSPR	HYPOPEFO	MIMEPRRE	NECHCH1	ORACACPI	ORACAGDE	ORACARCO	ORACARPS	ORACAUEL	ORACBOAR	ORACCIPA	ORACERSI	ORACME1	ORACMEBO	ORACPAPA	ORACPSTE	ORACTRFO	ORACTRPA	ORACXACO	ORGRGR1	ORGYCEPA	ORGYDAHA	ORMOCYCO	ORRHAMPH	ORRHCEPA	ORTEAR1	ORTEARGR	ORTEERSC	ORTEINEL	PSCHDASI	SCVAVACO	SCVAVARU	SOERER1
1996	BASN	76	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	1	0	0	16	0	14	0	0	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1
1997	BASN	60	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	11	0	0	0	0	0	0	0	0	1	0	3	0	9
1998	BASN	69	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	9	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	15	0	0	0	0	0	0	0	0	0	0	6	0	8
1999	BASN	23	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0
2000	BASN	38	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	1	1	0	0	0	0	0	0	1	0	4	0	2	0	0	1	0	0	0	0	0	0	0	2	0	2
2001	BASN	12	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	IBPE	36	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	2	0	5	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	2	0	0	0	0	2	0	0	0	3	0	2
1997	IBPE	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	34	0	20	0	0	0	0	0	0	0	0	0	0	1
1998	IBPE	148	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	2	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	1	0	0	0	0	2	0	0	0	2	22	2	0	0	6	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	18	0	0	0	0	2	0	0	0	4	0	6
1999	IBPE	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0
2000	IBPE	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	9	0	0	0	0	0	0	0	0	0
2001	IBPE	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1996	SUMM	180	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	1	0	0	2	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	1	0	0	0	0	1	5	2	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	1	2	2	2	2	4	1	0	0	80	0	0	2	0	0	0	0	0	3	0	0	0	0	4	10	0	15	0	2	0	0	0	0	0	2	0	0	4	0	2
1997	SUMM	129	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	5	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	4	1	0	2	0	4	0	0	0	0	0	0	0	17	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	66	1	0	0	0	0	0	0	0	0	0	6	0	1
1998	SUMM	163	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	3	0	4	0	1	1	0	0	0	0	0	1	3	3	1	2	0	0	1	3	0	2	0	2	0	0	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	8	0	0
1999	SUMM	150	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	69	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	12	0	1	0	0	0	1	3	6	1	0
2000	SUMM	217	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	2	1	1	0	3	2	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	1	0	9	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	18	1	0	0	0	0	0	0	0	0	0	0	0	128	0	3	0	0	1	0	0	0	0	0	0	1	1	0	0	0	18	0	0	1	0	0	1	0	0	0	0	5	0	1
2001	SUMM	38	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	2	1	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	13	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
