Year	SITE	Total	ARCLNECH	ARDICI1	ARGNHEBU	ARGNZE1	ARLYGERA	ARPHEBDO	ARTHXY1	ARTRLAHE	ARTRSTFU	BLPOARER	COANAN1	COANANO1	COANNIVE	COCABE1	COCACYPU	COCAPACA	COELAG1	COELAGRE	COELARDE	COELCOAT	COELLASC	COELNEAR	COLASTDE	COLEPTTE	COMEEP1	CONICALU	COSCANVE	COSCCAPU	COSCDICA	COSCONHE	COSTHACA	COTEELCA	COTEELEX	COTEELHI	COTEELLO	COTEELOB	COTEEMGL	COTEEURE	COTEMECR	COTETRPR	COTRTRSC	DISPOROR	HELYEMVI	HYMUDAKL	HYPOPO1	MIMEPRRE	OP111	ORACACPI	ORACBOAR	ORACCIPA	ORACERSI	ORACME1	ORACTRPA	ORGRGR1	ORGRGRO1	ORGYDAHA	ORRHAMPH	ORTEERSC	ORTEINEL	ORTEINSP	SCVAVACO	SOERER1
1996	NORT	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1997	NORT	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0
1998	NORT	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0
1999	NORT	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2000	NORT	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0
2001	NORT	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	RABB	17	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
1997	RABB	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	1	0	0	1	0	9	2	0	1	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	5	0	4	0	3	0	0	2	0
1998	RABB	61	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	1	13	0	0	0	0	4	0	0	0	1	0	0	4	0	0	0	0	0	0	3	13	0	0	0	4	0	0	5	5
1999	RABB	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	2	0	1	0	2	4	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	1	1	0	1	0
