Year	SITE	Total	ARCOCA1	ARDICI1	ARDIDI1	ARGNCEBI	ARGNDD1	ARGNDDGO	ARGNDR1	ARGNDRLE	ARGNGN1	ARGNHACH	ARGNHEBU	ARGNMI1	ARGNMILO	ARGNMITR	ARGNZETU	ARLILI1	ARLYLY1	ARLYSC1	ARMISY1	AROXOXTR	ARPHAPTE	ARPHEB1	ARPHEBDO	ARPHEBPA	ARPHPS1	ARPHTH1	ARPHTHCO	ARSAHAGE	ARSAPH1	ARSASA1	ARTHXY1	ARTHXYFA	ARTHXYLA	ARTREUSC	ARTRLAHE	ARTRSTFU	BLPOARER	CHLI11	CHLILIFO	CHSCSCPO	CHSCSCVI	COANAN1	COCACILE	COCAHAPE	COCAHELA	COCAPACA	COCAPAEL	COCHZYTO	COCLCYNE	COCOHYPL	COCRCRDE	COCUMILA	COCUOP1	COCUOPVI	COCUSM1	COELAG1	COELAGRE	COELARDE	COELCOAT	COELELHI	COELLASC	COELNEAR	COHIHIAB	COLEPTTE	COMEEPPE	COMOMOAT	CONICALU	CONICASA	COSCANVE	COSCDICA	COSCENIN	COSTHACA	COTEARDE	COTEARRU	COTEBLPI	COTECOUN	COTEELGR	COTEELHI	COTEELLO	COTEEUCA	COTEEURE	COTEMECR	COTEMETE	COTETRPR	COTRTRSC	DISCOROR	DISPOROR	HECYPABI	HELYEMVI	HETICO1	HYMUDAKL	HYMUPSPR	HYPOPO1	MIMEPRRE	NECHERPU	ORACACPI	ORACARCO	ORACARPS	ORACCAOL	ORACCIPA	ORACERSI	ORACHEVI	ORACLIPL	ORACME1	ORACMEAR	ORACMEBO	ORACPAPA	ORACPSTE	ORACTRPA	ORACXACO	ORGRGR1	ORGYCEPA	ORMOCYCO	ORTEAR1	ORTEDIBR	ORTEERSC	ORTEINEL	ORTEINSP	PHHEPSST	PSCHDASI	SCVAVACO	SOERER1
1996	EAST	83	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	1	1	0	2	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	3
1997	EAST	33	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	1	7
1998	EAST	66	0	0	0	1	0	0	1	0	0	0	0	0	4	0	1	0	1	1	1	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	2	2	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	3	14
1999	EAST	44	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	3	1	0	0	0	0	1	0	0	0	2	1	1	0	1	0	0	0	0	0	0	8	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	3	0	0	0	2	0
2000	EAST	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	17	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	4
2001	EAST	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	TAYL	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	1	0	0	0	0	2	4
1997	TAYL	49	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	2	4	0	0	0	0	0	0	4	0	1	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	6	0	0	0	0	1	3
1998	TAYL	71	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	2	0	1	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	2	10	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	7	1	0	0	0	2	10
1999	TAYL	32	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	1	0	0
2000	TAYL	50	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	4	0	0	0	0	0	0	0	6	5	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0
2001	TAYL	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	WEST	42	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	8	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	5
1997	WEST	24	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3
1998	WEST	66	1	0	0	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	5	0	0	0	0	1	0	0	2	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	3	0	1	0	0	0	0	0	14	0	0	0	4	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	4
1999	WEST	38	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	7	0	1	0	1	0	0	0	1	0
2000	WEST	45	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11	1	2	0	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	5
2001	WEST	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
