YEAR	RUN	TOTABU	AULALT	ALCALT	ALCSTR	CARCAR	CARMAR	CEPMUS	CEPSQU	GAENIG	LAMGRA	MEGCRO	NENTRI	OLEGLA	OLEPLA	OBETER	POLACU	PLAPOR	SUBOCT	VAGOCC
1991	1	303	0	2	21	112	5	0	12	30	5	0	85	2	1	0	18	1	0	9
1992	1	279	0	8	12	98	1	0	7	78	0	0	59	0	1	0	14	0	0	1
1993	1	347	0	3	2	121	6	0	1	96	0	1	106	1	1	0	9	0	0	0
1994	1	436	0	0	3	171	3	0	2	39	0	1	199	3	2	0	9	2	1	1
1995	1	2055	1	7	24	985	6	0	5	92	3	2	859	4	2	0	28	35	2	0
1996	1	2001	1	38	18	695	4	0	12	136	5	0	955	1	9	0	44	79	2	2
1997	1	2236	0	5	13	589	2	0	20	267	5	1	1260	4	9	1	32	27	1	0
1998	1	1019	1	1	11	339	1	0	3	42	0	1	594	1	3	0	13	6	3	0
1999	1	192	0	1	5	106	1	0	1	9	1	0	40	0	0	0	4	9	15	0
2000	1	339	2	0	20	129	0	0	9	126	0	0	36	0	1	0	3	8	5	0
2001	1	209	2	0	10	122	0	0	2	29	0	0	27	4	0	0	4	4	5	0
2002	1	302	5	0	4	98	0	0	2	92	0	5	59	1	0	1	6	24	5	0
2003	1	328	1	1	2	179	1	0	4	45	0	0	72	2	2	0	0	14	3	2
2004	1	412	1	0	8	207	1	0	2	23	0	0	151	7	0	1	2	6	3	0
2005	1	669	2	1	7	275	0	0	4	40	0	2	311	2	0	0	2	19	4	0
2006	1	530	2	1	7	231	1	1	3	29	3	1	225	0	0	0	2	14	10	0
2007	1	510	0	0	5	238	1	0	0	12	0	0	236	4	0	0	2	8	3	1
1991	2	287	1	4	15	117	6	0	15	36	0	1	70	0	4	1	15	0	0	2
1992	2	253	0	2	9	73	0	0	3	90	0	0	63	1	1	0	10	0	1	0
1993	2	362	0	2	4	123	5	0	3	100	0	0	122	0	0	1	2	0	0	0
1994	2	460	0	0	6	211	0	0	1	32	0	0	204	0	0	0	3	3	0	0
1995	2	2243	2	2	22	924	2	0	10	68	10	2	1144	4	4	0	25	19	3	2
1996	2	1767	0	24	12	549	4	0	16	139	13	1	945	2	4	0	19	39	0	0
1997	2	1858	0	4	17	442	0	0	19	214	3	0	1105	2	4	4	16	27	0	1
1998	2	835	2	1	7	290	3	0	2	46	0	12	448	0	3	0	4	2	14	1
1999	2	190	1	0	10	99	1	0	3	12	0	1	35	0	0	0	4	2	20	2
2000	2	328	1	2	40	121	2	0	11	93	0	0	36	0	2	0	11	8	1	0
2001	2	286	0	3	9	145	1	0	10	36	0	5	61	2	2	2	5	4	0	1
2002	2	327	9	5	3	118	0	0	2	66	0	2	77	6	7	0	6	15	11	0
2003	2	289	0	0	5	126	1	0	2	21	0	1	106	4	2	0	1	13	7	0
2004	2	472	0	0	3	238	0	0	7	29	0	0	164	1	1	0	5	13	11	0
2005	2	601	5	2	12	227	0	0	9	42	0	1	269	4	0	0	5	25	0	0
2006	2	551	2	0	9	230	2	1	10	25	1	1	257	1	0	1	0	11	0	0
2007	2	387	0	1	0	150	0	0	0	17	1	0	205	0	0	0	1	9	3	0
1994	3	444	0	1	9	123	2	0	0	36	0	0	263	2	0	0	6	2	0	0
1995	3	2268	0	1	36	952	7	0	16	78	17	2	1096	9	10	0	18	19	4	3
1996	3	1659	0	10	4	488	2	0	25	144	11	0	916	0	2	0	25	29	1	2
1997	3	2266	1	0	11	655	6	0	27	223	1	1	1234	2	9	4	36	55	1	0
1998	3	841	2	1	12	341	2	0	10	26	0	13	404	5	2	0	4	10	9	0
1999	3	192	1	0	12	102	1	0	3	7	2	0	39	0	0	0	6	4	15	0
2000	3	311	0	1	25	106	3	0	11	93	0	0	44	0	5	0	9	8	5	1
2001	3	255	2	0	13	146	1	0	0	28	0	2	46	2	3	1	3	4	1	3
2002	3	219	1	1	2	48	0	0	0	99	0	0	44	2	0	0	2	7	13	0
2003	3	239	1	1	5	103	0	0	3	28	0	0	78	2	0	0	1	14	3	0
2004	3	420	1	3	4	188	3	0	2	29	0	0	157	3	0	0	2	23	5	0
2005	3	607	12	2	8	233	2	1	9	38	0	3	277	4	0	0	3	13	2	0
2006	3	465	1	1	6	177	2	0	1	23	0	0	236	1	0	0	4	12	1	0
2007	3	499	2	2	1	206	1	1	1	20	4	0	242	1	1	0	1	12	4	0
1995	4	2325	2	10	22	956	5	0	17	28	21	2	1152	8	7	0	26	46	21	2
1996	4	1629	0	5	20	551	2	0	23	105	15	0	850	1	4	0	22	28	0	3
1997	4	2223	1	1	26	641	4	0	20	190	1	0	1261	1	8	2	33	29	2	3
1998	4	805	6	1	19	284	4	0	17	31	1	6	387	5	0	0	4	30	10	0
1999	4	200	2	0	17	99	5	0	2	9	0	0	32	0	1	0	5	8	20	0
2000	4	261	1	2	21	81	2	0	10	70	0	0	54	0	1	0	3	14	1	1
2001	4	256	0	0	7	117	2	0	3	29	0	4	68	3	1	0	5	14	2	1
2002	4	321	9	1	5	96	0	0	1	100	0	1	65	6	0	0	2	8	25	2
2003	4	283	0	0	4	125	2	0	2	34	0	1	91	2	1	0	0	18	3	0
2004	4	433	3	0	4	207	1	1	9	31	0	2	150	5	1	1	6	9	3	0
2005	4	534	4	0	6	200	2	0	4	50	0	0	239	2	0	0	3	17	7	0
2006	4	529	2	3	7	220	2	0	3	26	0	1	232	4	0	0	1	17	11	0
2007	4	512	6	4	1	208	0	0	3	22	2	1	230	2	0	0	1	15	17	0
