Year	Site	total	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	22	23	26	27	28	29	31	32	33	34	35	36	37
1977	Billington.Bay	157.03	0	0	8.035	0	2.135	40.045	0	14.26	0	11.085	14.785	45.995	0	1.75	0	0	0	0	18.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1980	Billington.Bay	220.1186667	0	0	5.043	3.83E-02	0	2.2285	0	15.1955	2.134666667	22.973	0.453	133.5953333	4.504833333	1.7455	0	4.279	0.164	2.526166667	25.23783333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1991	Billington.Bay	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1992	Billington.Bay	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1994	Billington.Bay	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995	Billington.Bay	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1996	Billington.Bay	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1999	Billington.Bay	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	Billington.Bay	192.6543333	3.694666667	0	21.93383333	0	1.230666667	39.3205	4.439666667	0	0	9.079	11.5875	6.698333333	13.80416667	0.213333333	0	5.0635	0.174	7.284833333	21.35616667	0	30.51666667	0	5.265833333	0	0	10.99166667	0	0	0	0	0	0	0
2003	Billington.Bay	337.2938333	2.349	0.13	17.47766667	0	1.447	110.8725	37.00183333	10.8535	0.3825	21.0955	4.475	6.555333333	27.2385	1.344333333	0	42.02	0	22.73433333	16.41033333	0	0	0	0	10.6565	2.29	0.98	0	0	0	0	0	0	0.98
2004	Billington.Bay	388.621	0	0.1835	19.9185	0	0.3225	139.145	8.838666667	44.102	0	36.813	1.546666667	40.3485	26.64783333	8.1415	0	2.146666667	0.1225	11.4025	19.04333333	0	7.07	0	18.32166667	0	0	2.731666667	0	0	0	0	0	0	1.775
2005	Billington.Bay	272.4958333	3.117	0.045	14.372	0	2.055	10.9495	13.851	19.3105	0.382	8.724	7.142	29.1665	21.2555	7.4665	0	5.6625	0.157	27.5935	51.251	0	16.71633333	0	21.32566667	0	0	11.95333333	0	0	0	0	0	0	0
2006	Billington.Bay	202.63	1.105	0	20.439	0.13	1.271166667	19.68	11.70466667	0	0	46.82883333	4.134166667	24.85416667	5.002666667	0.865	0	1.030833333	0.01	9.881833333	29.04966667	0	23.592	0	0.762	0	0	2.265	0	0	0	0	0.024	0	0
1975	Buoy.109	336.0975	0	0	28.214	0	0.7275	151.7715	0	39.1395	0.3525	12.7455	16.534	60.7145	0	0.114	0	0	0.5585	3.2535	21.9725	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1976	Buoy.109	129.423	0	0	0.28	0	0	0.693	0.075	66.07	0	10.305	0.1825	40	0	1.29	0	0	0	1.5375	8.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0
