SampleYear	intertidal_site_code	total	asterina.miniata	henricia.spp	leptasterias.spp	pisaster.brevispinus	pisaster.giganteus	pisaster.ochraceus	pycnopodia.helianhoides	strongylocentrotus.purpuratus
1999	BOA	5.927083333	2.333333333	0	0	0	0	3.59375	0	0
2000	BOA	8.397435897	4	0	0	0	0.166666667	4.230769231	0	0
2001	BOA	5.724358974	1.166666667	0	0	0	0	4.557692308	0	0
2002	BOA	5.967307692	2.5	0	0	0	0	3.442307692	0	0.025
2003	BOA	7.518589744	4.166666667	0	0	0	0.5	2.826923077	0	0.025
2004	BOA	5.769230769	2	0	0	0	0	3.769230769	0	0
2005	BOA	5.492307692	1	0	0	0	1	3.442307692	0	0.05
2006	BOA	9.765384615	4.333333333	0	0.025	0	0.666666667	4.615384615	0	0.125
2007	BOA	12.78653846	7.5	0	0.025	0	0	5.211538462	0	0.05
2008	BOA	11.99294872	6.333333333	0	0.025	0	0	5.634615385	0	0
2009	BOA	11.48461538	5.5	0	0	0	0	5.884615385	0	0.1
