SampleYear	intertidal_site_code	total	acanthinucella.spp	alia.spp	amphissa.versicolor	aplysia.californica	bittium.eschrichtii	calliostoma.spp	ceratostoma.nuttalli	chitons	conus.californicus	crepidula.spp	epitonium.tinctum	fissurella.volcano	homalopoma.spp	katharina.tunicata	kelletia.kelletii	lepidochitona.dentiens	lepidochitona.hartwegii	lepidochitona.spp	lepidozona.spp	limpets.over.15.mm.in.size	littorina.spp	macron.lividus	mopalia.spp	norrisia.norrisi	nucella.canaliculata	nucella.emarginata	nucella.lamellosa	nucella.spp	nuttallina.spp	ocenebra.circumtexta	ocenebra.poulsoni	ocenebra.spp	onchidella.borealis	opalia.spp_	tegula.aureotincta	tegula.brunnea	tegula.eiseni	tegula.funebralis	tegula.gallina	tonicella.spp
1999	MCR	8.466666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2.466666667	0	0
2000	MCR	10.71428571	0	0	0	0	0	0	0	0.685714286	0	0	0	0	0	0	0	0	1.142857143	0	0	2.314285714	0	0	2.86E-02	0	0	0	0	3.457142857	0.2	0	0	0	0	0	0	0	0	2.885714286	0	0
2001	MCR	13.13333333	2.22E-02	0	0	0	0	0	0	0.111111111	0	0	0	0	0	0	0	0	0.755555556	0	0	1.555555556	0	0	2.22E-02	0	0	2.911111111	0	0	0.488888889	0	0	0	0	0	0	0	0	7.266666667	0	0
2002	MCR	229.12	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0.1	1.04	0	0	2.6	207.64	0	0.04	0	0	2.48	0	0	0.98	0	0	0	0	0	0	0	0	14.2	0	0
2003	MCR	250.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0.88	0	0	1.62	232.8	0	0	0	0	1.44	0	0	0.66	0	0	0	0	0	0	0	0	13.04	0	0
2004	MCR	522.52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.66	0	0	2.18	509.8	0	0.02	0	0.2	2.08	0	0	0.5	0	0	0	0	0	0	0	0	6.9	0	0
2005	MCR	619.7	0	0	0.02	0	0	0	0	0	0	0	0.02	0.02	0	38	0	0.3	0.36	0	0	2.94	565.64	0	0.06	0	0	2.24	0	0	0.68	0.02	0	0	0	0	0	0	0	9.4	0	0
2006	MCR	623.9933333	0	0	0	0	0	0	0	0	0	0	0	0	0	17.33333333	0	0.06	0.34	0	0	2.84	590.46	0	0	0	0	3.16	0	0	0.72	0	0	0	0	0	0	0	0	9.08	0	0
2007	MCR	323.4266667	0	0	0	0	0	0	0	0	0	0	0.04	0	0	-35.83333333	0	0	0.06	0	0	1.56	352.56	0	0	0	0	1.5	0	0	0.18	0	0	0	0	0	0	0	0	3.36	0	0
2008	MCR	671.1066667	0	0	0	0	0	0	0	0	0	0	0	0	0	29.66666667	0	0.1	0.26	0	0	1	623.56	0	0.02	0	0	3.88	0	0	0.38	0	0	0	0.02	0	0	0	0	12.22	0	0
2009	MCR	494.6666667	0	0	0	0	0	0	0	0	0	0	0	0	0	23.66666667	0	0.08	0.28	0	0	1.16	453.44	0	0	0	0	1.52	0	0	0.68	0	0	0	0	0	0	0	0	13.84	0	0
