SampleYear	intertidal_site_code	total	acanthinucella.spp	alia.spp	amphissa.versicolor	aplysia.californica	bittium.eschrichtii	calliostoma.spp	ceratostoma.nuttalli	chitons	conus.californicus	crepidula.spp	epitonium.tinctum	fissurella.volcano	homalopoma.spp	katharina.tunicata	kelletia.kelletii	lepidochitona.dentiens	lepidochitona.hartwegii	lepidochitona.spp	lepidozona.spp	limpets.over.15.mm.in.size	littorina.spp	macron.lividus	mopalia.spp	norrisia.norrisi	nucella.canaliculata	nucella.emarginata	nucella.lamellosa	nucella.spp	nuttallina.spp	ocenebra.circumtexta	ocenebra.poulsoni	ocenebra.spp	onchidella.borealis	opalia.spp_	tegula.aureotincta	tegula.brunnea	tegula.eiseni	tegula.funebralis	tegula.gallina	tonicella.spp
1999	PSN	12.53333333	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	6.67E-02	0	0	0	0	0	0	0	11.93333333	0	0
2000	PSN	18.76666667	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.6	0	0	1.233333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.43333333	0	0
2001	PSN	82.675	0.025	0	0	0	0	0	0	0.825	0	0	0	0	0	0	0	0	0.325	0	0	1.675	51.25	0	0	0	0	0.675	0	0	0.75	0.05	0	0	0	0	0	0	0	27.1	0	0
2002	PSN	252.2	6.67E-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	1.377777778	223.4888889	0	8.89E-02	0	2.22E-02	1.222222222	0	0	1.6	4.44E-02	0	0	0	0	0	0	0	23.88888889	0	0
2003	PSN	287.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.775	0	0	1.775	269.475	0	0.25	0	0.175	2	0	0	1.9	0.025	0	0	0	0	0	0	0	10.625	0	0
2004	PSN	213.075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55	0	0	1.475	195.175	0	0.025	0	0	2.725	0	0	1.175	0	0	0	0	0	0	0	0	11.95	0	0
2005	PSN	185.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.25	0	0	1.275	169.8	0	0.025	0	0	2.3	0	0	0.375	0.075	0	0	0	0	0	0	0	11.2	0	0
2006	PSN	118.575	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0.6	0	0	1.45	102.45	0	0	0	0.05	2.175	0	0	0.375	0	0	0	0	0	0	0	0	11.45	0	0
2007	PSN	227.15	0	0	0	0	0	0.025	0	0	0	0	0	0	0	0	0	0.05	0.575	0.025	0	1.7	205.7	0	0.05	0	0	2.975	0	0	0.575	0	0	0	0	0	0	0	0	15.475	0	0
2008	PSN	283.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.85	0	0	1.3	264.875	0	0.025	0	0	1.55	0	0	0.65	0	0	0	0	0	0	0	0	14.125	0	0
2009	PSN	298.9166667	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0.666666667	0	0	0.95	0	0	1.55	283.5	0	0.1	0	0	1.45	0	0	1.05	0.05	0	0	0	0	0	0	0	9.55	0	0
