SampleYear	ExactName	total	Aglais.urticae	Anthocaris.cardamines	Aphantopus.hyperantus	Celastrina.argiolus	Coenonympha.pamphilus	Gonepteryx.rhamni	Inachis.io	Lasiommata.megera	Lycaena.phlaeas	Maniola.jurtina	Melanargia.galathea	Ochlodes.venata	Pararge.aegeria	Pieris.brassicae	Pieris.napi	Pieris.rapae	Polygonia.c-album	Polyommatus.icarus	Pyronia.tithonus	Quercusia.quercus	Thymelicus.sylvestris	Vanessa.atalanta	Vanessa.cardui
1976	Brockwells.Farm	748	38	20	0	1	118	0	2	0	26	286	0	0	45	23	13	48	7	74	44	0	0	3	0
1977	Brockwells.Farm	519	20	24	0	36	155	3	4	0	0	121	0	1	6	2	38	69	1	15	21	0	2	0	1
1978	Brockwells.Farm	567	15	4	0	6	59	0	1	4	0	176	1	0	38	74	89	33	0	27	36	0	4	0	0
1979	Brockwells.Farm	579	35	4	0	3	23	6	5	4	0	143	0	0	19	114	43	33	6	83	57	0	0	1	0
1980	Brockwells.Farm	400	43	5	0	1	11	2	2	6	2	102	0	0	28	68	51	20	6	27	23	0	0	1	2
1981	Brockwells.Farm	544	6	9	0	0	11	0	0	0	2	301	3	2	49	55	17	29	1	28	29	0	2	0	0
1982	Brockwells.Farm	1169	52	8	0	1	20	0	10	3	19	641	0	2	30	55	45	59	9	59	128	0	9	8	11
1983	Brockwells.Farm	1355	4	12	0	23	37	0	4	1	6	916	5	2	34	46	37	6	2	74	138	0	5	0	3
1984	Brockwells.Farm	1034	18	9	0	18	44	0	2	1	12	666	6	1	30	29	3	15	0	58	116	0	2	4	0
1985	Brockwells.Farm	367	19	6	0	15	16	0	15	0	2	161	5	4	11	25	14	3	1	18	48	0	0	0	4
1976	Ham.Street.Wood.National.Nature.Reserve	230	15	0	0	0	0	8	33	0	0	32	0	0	97	0	18	0	0	0	20	3	0	4	0
1977	Ham.Street.Wood.National.Nature.Reserve	12	0	0	0	0	0	2	0	0	0	4	0	0	0	0	2	0	0	0	0	3	0	1	0
1978	Ham.Street.Wood.National.Nature.Reserve	44	7	0	0	0	0	3	4	0	0	5	0	0	3	0	5	0	0	0	17	0	0	0	0
1979	Ham.Street.Wood.National.Nature.Reserve	59	7	0	0	0	0	2	3	0	0	12	0	0	5	0	16	0	0	0	11	3	0	0	0
1980	Ham.Street.Wood.National.Nature.Reserve	123	20	0	0	0	0	7	8	0	0	4	0	0	43	0	31	0	0	0	3	1	0	6	0
1981	Ham.Street.Wood.National.Nature.Reserve	71	0	0	0	0	0	0	1	0	0	8	0	0	29	0	7	0	0	0	3	22	0	1	0
1983	Ham.Street.Wood.National.Nature.Reserve	120	18	0	0	0	0	3	13	0	0	0	0	0	54	0	4	0	0	0	0	11	0	17	0
1984	Ham.Street.Wood.National.Nature.Reserve	437	18	0	0	0	0	0	22	0	0	62	0	0	0	0	0	0	0	0	334	1	0	0	0
1985	Ham.Street.Wood.National.Nature.Reserve	364	11	0	0	0	0	9	73	0	0	161	0	0	25	0	11	0	0	0	70	2	0	2	0
1976	Woodhurst	693	23	14	4	0	0	5	4	3	0	65	0	3	0	35	92	144	0	0	292	0	0	9	0
1977	Woodhurst	580	22	18	0	0	6	4	7	1	0	27	0	0	0	1	167	60	0	0	221	0	45	1	0
1978	Woodhurst	888	42	12	3	0	0	3	6	0	0	9	0	7	0	39	513	209	0	0	42	0	2	1	0
1979	Woodhurst	924	16	10	0	0	2	0	13	0	0	30	0	4	0	54	401	159	0	0	223	0	6	6	0
1980	Woodhurst	430	61	16	2	0	3	2	19	0	0	13	0	0	0	21	157	96	0	0	37	0	3	0	0
1981	Woodhurst	274	13	11	0	0	3	8	7	3	0	5	0	0	0	23	67	83	0	0	45	0	4	2	0
1982	Woodhurst	630	56	11	9	0	1	2	32	30	0	68	0	0	0	30	177	95	0	0	80	0	16	23	0
1983	Woodhurst	597	49	8	6	0	4	4	24	17	0	109	0	2	0	18	60	93	0	0	190	0	12	1	0
1984	Woodhurst	547	58	19	0	0	9	3	17	2	0	75	0	3	0	12	81	121	0	0	138	0	6	3	0
1985	Woodhurst	410	20	27	1	0	2	7	15	0	0	72	0	0	0	6	132	59	0	0	65	0	2	2	0
1976	Woodwalton.Fen.National.Nature.Reserve	788	15	0	21	0	93	10	21	7	0	150	0	16	0	4	22	42	0	10	323	0	23	31	0
1977	Woodwalton.Fen.National.Nature.Reserve	509	8	8	1	0	28	3	7	2	0	28	0	0	0	0	59	17	0	0	189	0	159	0	0
