SampleYear	ExactName	total	Aglais.urticae	Anthocaris.cardamines	Aphantopus.hyperantus	Argynnis.paphia	Aricia.agestis	Callophrys.rubi	Celastrina.argiolus	Coenonympha.pamphilus	Erynnis.tages	Gonepteryx.rhamni	Hipparchia.semele	Inachis.io	Lasiommata.megera	Lycaena.phlaeas	Maniola.jurtina	Melanargia.galathea	Mesoacidalia.aglaja	Ochlodes.venata	Pararge.aegeria	Pieris.brassicae	Pieris.napi	Pieris.rapae	Polygonia.c-album	Polyommatus.icarus	Pyronia.tithonus	Thymelicus.sylvestris	Vanessa.atalanta	Vanessa.cardui
1976	Dyfi.National.Nature.Reserve	1795	19	0	0	0	0	0	0	229	0	0	69	55	51	0	322	0	48	0	0	41	0	28	0	683	197	0	53	0
1977	Dyfi.National.Nature.Reserve	904	13	0	0	0	0	0	0	180	0	0	19	9	31	0	195	0	76	0	0	0	0	9	0	125	240	0	6	1
1978	Dyfi.National.Nature.Reserve	425	19	0	0	0	0	0	0	0	0	0	0	15	37	0	0	0	20	0	0	13	0	8	0	231	75	0	7	0
1979	Dyfi.National.Nature.Reserve	671	43	0	0	0	0	0	0	100	0	0	22	19	50	0	116	0	39	0	0	70	0	34	0	120	45	0	13	0
1980	Dyfi.National.Nature.Reserve	968	33	0	0	0	0	0	0	167	0	0	35	12	36	0	143	0	31	0	0	47	0	30	0	235	82	0	13	104
1981	Dyfi.National.Nature.Reserve	1272	69	0	0	0	0	0	0	173	0	0	42	25	40	0	359	0	38	0	0	47	0	33	0	365	60	0	21	0
1982	Dyfi.National.Nature.Reserve	2046	52	0	0	0	0	0	0	450	0	0	31	8	65	0	738	0	18	0	0	23	0	36	0	317	292	0	15	1
1983	Dyfi.National.Nature.Reserve	2373	21	0	0	0	0	0	0	329	0	0	57	23	41	0	739	0	19	0	0	16	0	14	0	660	433	0	15	6
1984	Dyfi.National.Nature.Reserve	1569	23	0	0	0	0	0	0	276	0	0	35	13	32	0	374	0	42	0	0	26	0	17	0	507	218	0	5	1
1985	Dyfi.National.Nature.Reserve	1122	4	0	0	0	0	0	0	211	0	0	2	3	26	0	374	0	14	0	0	0	0	0	0	275	206	0	0	7
1977	Gibraltar.Point.National.Nature.Reserve	361	10	0	0	0	0	0	0	57	0	0	0	7	0	0	83	0	0	0	0	31	11	60	0	0	97	0	5	0
1978	Gibraltar.Point.National.Nature.Reserve	456	0	0	5	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	28	23	249	0	2	51	0	1	1
1979	Gibraltar.Point.National.Nature.Reserve	1599	15	0	25	0	0	0	0	195	0	0	0	4	0	0	499	0	0	0	0	51	178	311	0	2	305	9	4	1
1980	Gibraltar.Point.National.Nature.Reserve	1727	33	0	35	0	0	0	0	282	0	0	0	25	0	0	629	0	0	0	0	16	61	222	0	11	310	84	5	14
1981	Gibraltar.Point.National.Nature.Reserve	1704	25	0	25	0	0	0	0	552	0	0	0	8	0	0	516	0	0	0	0	4	154	45	0	6	273	75	21	0
1982	Gibraltar.Point.National.Nature.Reserve	3033	114	0	132	0	0	0	0	549	0	0	0	21	0	0	947	0	0	0	0	70	171	362	0	54	451	88	57	17
1983	Gibraltar.Point.National.Nature.Reserve	3003	8	0	87	0	0	0	0	491	0	0	0	12	0	0	1632	0	0	0	0	11	87	22	0	56	405	180	12	0
1984	Gibraltar.Point.National.Nature.Reserve	3162	105	0	151	0	0	0	0	348	0	0	0	22	0	0	1388	0	0	0	0	29	31	60	0	67	614	343	3	1
1985	Gibraltar.Point.National.Nature.Reserve	1599	55	0	102	0	0	0	0	269	0	0	0	43	0	0	614	0	0	0	0	42	26	92	0	38	115	197	5	1
1976	Leigh.Marshes.National.Nature.Reserve	1870	41	14	0	0	0	0	0	169	0	0	0	7	1	9	223	8	0	21	0	18	492	13	0	38	654	151	11	0
1977	Leigh.Marshes.National.Nature.Reserve	1626	28	2	0	0	0	0	0	131	0	0	0	11	1	9	220	6	0	12	0	13	496	5	5	33	472	174	5	3
1978	Leigh.Marshes.National.Nature.Reserve	3355	89	10	0	0	0	0	0	192	0	0	0	26	7	1	252	3	0	4	0	112	1735	5	3	93	587	235	1	0
1979	Leigh.Marshes.National.Nature.Reserve	4378	135	20	0	0	0	0	0	230	0	0	0	30	20	5	329	4	0	5	0	156	1759	19	8	178	687	788	5	0
1980	Leigh.Marshes.National.Nature.Reserve	2464	94	27	0	0	0	0	0	173	0	0	0	19	40	2	192	11	0	18	0	23	1038	6	9	134	305	348	3	22
1981	Leigh.Marshes.National.Nature.Reserve	3004	59	22	0	0	0	0	0	45	0	0	0	18	56	1	161	6	0	10	0	47	1429	39	16	34	650	402	8	1
1982	Leigh.Marshes.National.Nature.Reserve	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1983	Leigh.Marshes.National.Nature.Reserve	1289	27	58	0	0	0	0	0	39	0	0	0	4	62	1	105	3	0	39	0	9	94	100	1	12	373	355	5	2
1984	Leigh.Marshes.National.Nature.Reserve	1635	116	59	0	0	0	0	0	77	0	0	0	14	12	1	107	2	0	9	0	157	104	182	6	27	623	138	1	0
1985	Leigh.Marshes.National.Nature.Reserve	1636	134	76	0	0	0	0	0	37	0	0	0	14	5	0	118	9	0	8	0	130	270	209	0	22	411	188	2	3
1977	Lindisfarne.National.Nature.Reserve	164	0	0	0	0	0	0	0	0	0	0	50	0	0	0	56	0	24	0	0	0	0	0	0	34	0	0	0	0
1978	Lindisfarne.National.Nature.Reserve	265	23	0	0	0	0	0	0	0	0	0	73	0	0	0	35	0	81	0	0	3	35	0	0	15	0	0	0	0
1979	Lindisfarne.National.Nature.Reserve	264	11	0	0	0	0	0	0	0	0	0	40	0	0	0	53	0	17	0	0	39	82	0	0	22	0	0	0	0
1980	Lindisfarne.National.Nature.Reserve	86	3	0	0	0	0	0	0	0	0	0	23	0	0	0	44	0	3	0	0	2	4	0	0	7	0	0	0	0
1981	Lindisfarne.National.Nature.Reserve	152	7	0	0	0	0	0	0	0	0	0	41	0	0	0	61	0	5	0	0	0	11	0	0	27	0	0	0	0
1982	Lindisfarne.National.Nature.Reserve	865	31	0	0	0	0	0	0	0	0	0	284	0	0	0	358	0	11	0	0	15	33	0	0	133	0	0	0	0
1983	Lindisfarne.National.Nature.Reserve	873	20	0	0	0	0	0	0	0	0	0	356	0	0	0	306	0	37	0	0	1	9	0	0	144	0	0	0	0
1984	Lindisfarne.National.Nature.Reserve	644	33	0	0	0	0	0	0	0	0	0	213	0	0	0	153	0	125	0	0	2	10	0	0	108	0	0	0	0
1985	Lindisfarne.National.Nature.Reserve	171	16	0	0	0	0	0	0	0	0	0	90	0	0	0	14	0	11	0	0	6	17	0	0	17	0	0	0	0
1976	Oxwich.National.Nature.Reserve	2216	19	25	2	14	57	0	23	43	11	22	88	58	28	47	405	0	2	0	153	49	67	57	0	763	211	36	33	3
1977	Oxwich.National.Nature.Reserve	2115	3	17	1	4	51	0	35	44	2	69	59	75	14	12	850	0	8	0	57	22	43	143	0	181	356	59	6	4
1978	Oxwich.National.Nature.Reserve	1169	5	10	0	11	29	0	8	31	8	35	21	74	10	15	242	0	0	0	78	112	28	155	0	160	133	0	2	2
1979	Oxwich.National.Nature.Reserve	1596	16	27	2	14	20	0	1	48	13	33	39	66	17	16	312	0	11	0	43	205	29	68	0	419	153	19	24	1
1980	Oxwich.National.Nature.Reserve	1704	26	22	14	3	21	0	1	41	15	18	123	27	22	23	679	0	34	0	68	32	52	75	0	118	161	107	10	12
1981	Oxwich.National.Nature.Reserve	1391	13	6	26	1	0	0	0	27	0	18	68	16	7	7	669	0	22	0	58	22	39	28	0	164	164	32	4	0
