SampleYear	ExactName	total	Aglais.urticae	Anthocaris.cardamines	Aphantopus.hyperantus	Argynnis.paphia	Aricia.agestis	Boloria.euphrosyne	Boloria.selene	Callophrys.rubi	Celastrina.argiolus	Coenonympha.pamphilus	Erynnis.tages	Gonepteryx.rhamni	Inachis.io	Ladoga.camilla	Lasiommata.megera	Lycaena.phlaeas	Maniola.jurtina	Melanargia.galathea	Mesoacidalia.aglaja	Ochlodes.venata	Pararge.aegeria	Pieris.brassicae	Pieris.napi	Pieris.rapae	Polygonia.c-album	Polyommatus.icarus	Pyrgus.malvae	Pyronia.tithonus	Quercusia.quercus	Satyrium.pruni	Thymelicus.sylvestris	Vanessa.atalanta	Vanessa.cardui
1976	"Bevills.Wood,.Monks.Wood.Nature.Reserve"	711	12	0	66	0	0	0	0	0	0	81	0	51	38	0	18	18	126	0	0	26	5	20	35	15	0	15	0	138	0	0	46	1	0
1977	"Bevills.Wood,.Monks.Wood.Nature.Reserve"	409	29	3	23	0	0	0	0	0	0	34	0	17	45	0	1	1	48	0	0	10	7	6	29	12	0	1	0	110	0	0	25	5	3
1978	"Bevills.Wood,.Monks.Wood.Nature.Reserve"	805	22	6	87	0	0	0	0	0	0	30	0	7	36	0	0	1	43	0	0	54	18	144	200	20	0	0	0	108	0	0	28	0	1
1979	"Bevills.Wood,.Monks.Wood.Nature.Reserve"	951	17	6	162	0	0	0	0	0	0	15	0	48	94	0	4	1	127	0	0	33	47	74	99	50	4	0	0	134	0	0	33	3	0
1980	"Bevills.Wood,.Monks.Wood.Nature.Reserve"	993	18	6	141	0	0	0	0	0	0	61	0	37	102	0	8	2	222	0	0	54	44	13	84	21	3	18	0	101	0	0	29	2	27
1981	"Bevills.Wood,.Monks.Wood.Nature.Reserve"	962	5	5	207	0	0	0	0	0	0	5	0	73	128	0	32	1	184	0	0	65	78	19	19	0	6	2	0	99	0	0	30	3	1
1982	"Bevills.Wood,.Monks.Wood.Nature.Reserve"	1359	48	6	201	0	0	0	0	0	0	8	0	55	240	1	58	5	289	0	0	58	84	44	103	43	20	43	0	0	0	0	0	39	14
1983	"Bevills.Wood,.Monks.Wood.Nature.Reserve"	1227	2	8	250	0	0	0	0	0	0	0	0	50	280	9	76	0	218	0	0	56	34	41	38	5	8	10	0	64	0	0	71	4	3
1984	"Bevills.Wood,.Monks.Wood.Nature.Reserve"	1864	79	16	410	0	0	0	0	0	0	9	0	72	408	3	30	2	302	0	0	115	38	38	58	13	1	9	0	94	0	0	167	0	0
1985	"Bevills.Wood,.Monks.Wood.Nature.Reserve"	1319	31	8	172	0	0	0	0	0	0	0	0	95	473	7	4	0	89	0	0	91	45	20	112	23	17	5	0	45	0	0	52	26	4
1976	Ebbor.Gorge.National.Nature.Reserve	1367	0	13	22	18	0	0	0	0	0	8	0	25	18	0	0	0	398	56	0	6	200	58	135	65	21	261	0	17	0	0	33	13	0
1977	Ebbor.Gorge.National.Nature.Reserve	687	20	36	14	0	0	0	0	0	0	25	0	56	46	0	0	0	148	61	0	2	94	34	76	0	14	31	0	21	0	0	2	7	0
1978	Ebbor.Gorge.National.Nature.Reserve	581	17	28	6	5	0	0	0	0	0	8	0	25	39	0	0	0	119	65	0	4	42	46	59	86	6	2	0	16	0	0	8	0	0
