SampleYear	ExactName	total	Aglais.urticae	Anthocaris.cardamines	Aphantopus.hyperantus	Aricia.agestis	Callophrys.rubi	Celastrina.argiolus	Coenonympha.pamphilus	Colias.crocea	Cupido.minimus	Erynnis.tages	Gonepteryx.rhamni	Hamearis.lucina	Hesperia.comma	Hipparchia.semele	Inachis.io	Lasiommata.megera	Lycaena.phlaeas	Lysandra.bellargus	Lysandra.coridon	Maniola.jurtina	Melanargia.galathea	Mesoacidalia.aglaja	Ochlodes.venata	Pararge.aegeria	Pieris.brassicae	Pieris.napi	Pieris.rapae	Polygonia.c-album	Polyommatus.icarus	Pyrgus.malvae	Pyronia.tithonus	Quercusia.quercus	Thymelicus.actaeon	Thymelicus.sylvestris	Vanessa.atalanta	Vanessa.cardui
1976	Aston.Rowant.National.Nature.Reserve.(north)	2417	30	37	26	32	1	1	623	0	0	29	84	0	9	0	26	89	40	0	52	671	42	3	1	39	132	0	47	3	242	8	29	0	0	114	7	0
1977	Aston.Rowant.National.Nature.Reserve.(north)	1744	27	11	1	43	3	11	202	0	0	5	121	0	4	0	37	0	37	0	42	544	47	3	0	11	48	13	106	0	250	7	28	0	0	140	3	0
1978	Aston.Rowant.National.Nature.Reserve.(north)	2006	78	10	20	10	4	6	175	0	0	5	63	0	2	0	68	14	47	0	46	915	52	2	5	58	73	51	113	1	69	1	37	0	0	81	0	0
1979	Aston.Rowant.National.Nature.Reserve.(north)	3266	72	34	16	21	13	3	280	0	0	4	72	0	10	0	28	6	41	0	28	1618	46	0	100	100	157	131	141	4	144	2	119	0	0	74	2	0
1980	Aston.Rowant.National.Nature.Reserve.(north)	2509	23	22	26	40	24	0	236	0	0	10	71	0	5	0	21	5	18	0	25	1026	50	0	72	74	200	119	145	8	89	25	100	0	0	71	2	2
1981	Aston.Rowant.National.Nature.Reserve.(north)	312	0	0	19	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	58	0	8	0	0	0	0	0	0	0	132	0	0	93	0	0
1982	Aston.Rowant.National.Nature.Reserve.(north)	2897	205	19	61	40	12	1	337	0	0	16	84	0	1	0	41	48	23	0	41	886	98	0	44	149	61	84	119	9	123	15	125	0	0	214	33	8
1983	Aston.Rowant.National.Nature.Reserve.(north)	1745	7	9	37	28	5	2	200	2	0	4	64	0	19	0	4	50	13	0	30	436	88	0	32	172	24	46	19	4	95	25	157	5	0	165	0	3
1984	Aston.Rowant.National.Nature.Reserve.(north)	2485	165	0	0	70	14	11	283	0	0	0	165	0	72	0	47	61	38	0	83	592	0	0	0	81	24	87	194	0	251	0	247	0	0	0	0	0
1985	Aston.Rowant.National.Nature.Reserve.(north)	1516	39	0	36	20	0	3	115	0	0	0	114	0	19	0	43	2	20	0	69	485	79	1	31	44	38	41	56	0	66	0	78	0	0	108	6	3
1976	Aston.Rowant.National.Nature.Reserve.(south)	1037	16	0	30	9	1	0	285	0	0	18	28	0	12	0	15	73	2	0	0	283	24	17	5	31	0	0	12	5	99	5	5	0	0	62	0	0
1977	Aston.Rowant.National.Nature.Reserve.(south)	1247	21	1	0	1	1	0	134	0	0	2	47	0	5	0	12	11	13	0	16	571	86	9	29	9	0	56	29	3	56	15	23	0	0	97	0	0
1978	Aston.Rowant.National.Nature.Reserve.(south)	1860	15	4	2	3	2	0	213	0	0	7	56	0	3	0	33	20	49	0	1	975	86	2	20	20	0	91	21	0	108	7	22	0	0	98	2	0
1979	Aston.Rowant.National.Nature.Reserve.(south)	2772	31	2	8	13	0	0	232	0	0	9	34	0	13	0	36	11	38	0	3	1634	59	3	25	43	43	58	77	0	218	7	101	0	0	74	0	0
1980	Aston.Rowant.National.Nature.Reserve.(south)	3514	40	3	6	12	6	0	247	0	0	21	67	0	16	0	13	17	55	0	2	2150	104	3	26	37	22	33	34	3	375	25	55	0	0	142	0	0
1981	Aston.Rowant.National.Nature.Reserve.(south)	4674	18	0	10	1	0	0	2381	0	0	0	15	0	7	0	10	9	0	0	2	1512	142	5	0	17	13	11	14	0	69	0	46	0	0	391	1	0
1982	Aston.Rowant.National.Nature.Reserve.(south)	3242	169	2	84	5	8	0	242	0	0	39	104	0	5	0	41	22	6	0	1	1384	239	5	25	61	41	37	73	6	103	12	106	0	0	406	16	0
1983	Aston.Rowant.National.Nature.Reserve.(south)	2930	23	0	40	14	4	0	235	0	0	48	114	0	12	0	13	53	7	0	12	1025	269	3	22	62	41	11	30	7	489	33	40	0	0	319	4	0
1984	Aston.Rowant.National.Nature.Reserve.(south)	3759	92	0	77	20	5	0	263	0	0	94	177	0	59	0	35	46	6	0	29	1139	334	5	58	54	23	38	89	5	482	0	108	0	0	519	2	0
1985	Aston.Rowant.National.Nature.Reserve.(south)	2724	96	0	77	0	0	0	155	0	0	0	65	0	8	0	79	1	5	0	27	1344	358	5	17	21	15	16	39	4	33	0	105	0	0	251	3	0
1976	"Ballard.Down,.Swanage"	3914	21	4	0	210	24	28	312	0	5	34	0	0	0	46	8	54	58	205	505	546	216	58	23	146	47	8	0	4	396	0	891	0	9	34	21	1
1977	"Ballard.Down,.Swanage"	3119	21	2	0	302	5	14	152	0	0	3	0	0	0	41	26	30	21	30	328	593	223	42	19	144	49	0	214	0	199	0	583	0	15	54	6	3
1978	"Ballard.Down,.Swanage"	3903	71	25	0	263	34	38	316	0	3	20	0	0	0	89	63	42	21	102	256	810	158	34	100	353	56	22	181	1	303	0	411	0	61	67	1	2
1979	"Ballard.Down,.Swanage"	5491	109	21	0	172	35	29	342	0	8	68	0	0	0	206	70	49	58	353	558	1311	170	32	62	255	120	15	180	8	718	0	449	0	61	22	10	0
1980	"Ballard.Down,.Swanage"	4541	144	10	0	127	64	2	150	0	5	62	0	0	0	53	26	23	15	730	429	1373	175	40	61	257	58	17	40	8	264	0	265	0	70	59	5	9
1981	"Ballard.Down,.Swanage"	4515	40	17	0	108	40	3	61	0	4	77	0	0	0	51	7	57	5	372	232	1799	140	10	51	211	97	7	82	2	125	0	550	0	243	104	17	3
1982	"Ballard.Down,.Swanage"	7318	213	4	0	297	80	6	216	0	8	117	0	0	0	24	45	21	26	1631	191	2440	292	17	64	208	98	18	76	3	272	0	695	0	120	110	20	6
1983	"Ballard.Down,.Swanage"	4732	31	1	0	189	31	7	75	0	0	31	0	0	0	69	15	57	26	1174	55	1315	305	5	11	209	58	6	79	4	372	0	517	0	40	43	3	4
1984	"Ballard.Down,.Swanage"	4689	0	3	0	283	49	2	167	0	1	65	0	0	0	0	8	5	11	987	0	1340	569	0	38	97	9	2	17	0	501	0	371	0	51	113	0	0
1985	"Ballard.Down,.Swanage"	2338	33	11	0	87	33	19	206	0	4	76	0	0	0	32	19	2	11	214	16	919	288	6	40	79	73	2	64	7	77	0	0	0	0	0	9	11
1976	Buttlers.Hanging	3685	0	23	11	213	0	0	509	0	0	19	4	0	0	0	11	195	18	0	1403	248	487	84	16	4	25	4	21	0	308	1	2	0	0	79	0	0
1977	Buttlers.Hanging	1225	28	13	4	20	0	0	156	0	0	28	41	0	0	0	21	8	0	0	242	181	315	29	2	0	17	62	12	0	10	17	6	0	0	13	0	0
1978	Buttlers.Hanging	602	0	18	0	7	0	0	0	0	0	18	17	0	0	0	21	32	0	0	452	0	0	0	0	0	0	0	0	0	19	18	0	0	0	0	0	0
1979	Buttlers.Hanging	3034	29	13	2	7	0	0	118	0	0	16	8	0	0	0	14	31	4	0	649	1286	519	9	24	7	39	19	24	0	143	1	22	0	0	50	0	0
1980	Buttlers.Hanging	2337	41	5	29	5	0	0	73	0	0	16	31	0	0	0	34	25	0	0	452	916	393	2	20	4	14	12	16	3	177	11	12	0	0	46	0	0
1981	Buttlers.Hanging	2253	0	0	39	4	0	0	14	0	0	0	7	0	0	0	8	24	0	0	294	1255	431	0	2	2	23	4	4	0	42	0	26	0	0	74	0	0
1982	Buttlers.Hanging	4052	189	17	56	29	0	0	53	0	0	28	17	0	0	0	59	36	4	0	792	1528	669	3	25	10	36	4	36	0	105	10	80	0	0	266	0	0
1983	Buttlers.Hanging	2633	16	8	67	2	0	0	38	0	0	10	21	0	0	0	35	75	4	0	415	788	563	0	19	7	21	2	17	1	241	6	87	0	0	190	0	0
1984	Buttlers.Hanging	3897	62	0	109	39	0	0	210	0	0	0	2	0	0	0	36	27	27	0	464	766	1290	12	33	8	7	4	23	0	317	0	269	0	0	192	0	0
1985	Buttlers.Hanging	2213	33	0	56	4	0	0	189	0	0	0	31	0	0	0	19	2	12	0	541	404	508	10	20	2	20	14	8	0	1	0	280	0	0	59	0	0
1977	Gomm.Valley	1173	18	18	97	0	0	0	202	0	0	17	56	0	0	0	31	4	1	0	0	355	30	12	29	11	7	65	89	0	22	0	10	0	0	99	0	0
1978	Gomm.Valley	1895	38	16	151	0	0	0	182	0	0	11	48	0	0	0	91	114	2	0	0	724	31	47	78	30	77	87	70	0	19	0	3	0	0	76	0	0
1979	Gomm.Valley	1783	35	7	222	0	0	0	94	0	0	12	33	0	0	0	53	46	5	0	0	509	66	27	82	56	135	63	83	0	75	0	3	0	0	177	0	0
1980	Gomm.Valley	1729	24	5	424	0	0	0	103	0	0	14	29	0	0	0	36	19	0	0	0	442	136	25	52	18	68	34	51	0	88	0	2	0	0	159	0	0
