SampleYear	ExactName	total	Aglais.urticae	Anthocaris.cardamines	Aphantopus.hyperantus	Argynnis.paphia	Aricia.agestis	Boloria.euphrosyne	Boloria.selene	Callophrys.rubi	Celastrina.argiolus	Coenonympha.pamphilus	Gonepteryx.rhamni	Hipparchia.semele	Inachis.io	Ladoga.camilla	Lasiommata.megera	Leptidea.sinapsis	Lycaena.phlaeas	Maniola.jurtina	Melanargia.galathea	Mesoacidalia.aglaja	Ochlodes.venata	Pararge.aegeria	Pieris.brassicae	Pieris.napi	Pieris.rapae	Polygonia.c-album	Polyommatus.icarus	Pyronia.tithonus	Quercusia.quercus	Thymelicus.sylvestris	Vanessa.atalanta	Vanessa.cardui
1976	Castor.Hanglands.National.Nature.Reserve	1177	3	4	84	0	0	0	0	0	0	225	32	0	32	0	14	0	0	245	0	0	1	96	3	0	0	0	9	264	0	165	0	0
1977	Castor.Hanglands.National.Nature.Reserve	734	4	18	22	0	0	0	0	0	0	133	54	0	21	0	2	0	0	95	0	0	5	52	18	0	0	0	0	261	0	49	0	0
1978	Castor.Hanglands.National.Nature.Reserve	829	7	9	40	0	0	0	0	0	0	227	7	0	21	0	0	0	0	225	0	0	23	41	35	0	0	0	0	164	0	30	0	0
1979	Castor.Hanglands.National.Nature.Reserve	1037	10	6	56	0	0	0	0	0	0	219	8	0	64	0	6	0	0	355	0	0	14	70	38	0	0	2	1	167	0	21	0	0
1980	Castor.Hanglands.National.Nature.Reserve	1169	57	5	115	0	0	0	0	0	0	330	11	0	28	0	1	0	0	365	0	0	20	63	17	0	0	2	0	142	0	13	0	0
1981	Castor.Hanglands.National.Nature.Reserve	1410	30	2	115	0	0	0	0	0	0	66	32	0	65	0	19	0	0	713	0	0	14	84	5	0	0	3	3	238	0	21	0	0
1982	Castor.Hanglands.National.Nature.Reserve	2113	163	1	462	0	0	0	0	0	0	136	36	0	156	0	19	0	0	308	0	0	31	130	16	0	0	28	4	540	0	83	0	0
1983	Castor.Hanglands.National.Nature.Reserve	2006	7	2	446	0	0	0	0	0	0	94	83	0	73	0	35	0	0	630	0	0	25	102	11	0	0	12	28	379	0	79	0	0
1984	Castor.Hanglands.National.Nature.Reserve	3533	196	7	990	0	0	0	0	0	0	117	62	0	54	0	12	0	0	730	0	0	119	70	5	0	0	16	33	808	0	314	0	0
1985	Castor.Hanglands.National.Nature.Reserve	2445	15	6	641	0	0	0	0	0	0	58	43	0	41	0	3	0	0	795	0	0	97	129	6	0	0	13	0	412	0	186	0	0
1976	Foxholes	447	0	0	0	0	0	0	0	0	0	0	2	0	17	41	21	0	0	104	8	0	0	58	37	48	7	0	69	2	0	11	22	0
1977	Foxholes	22	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
1978	Foxholes	820	0	23	0	0	0	0	0	0	0	0	27	0	48	18	9	0	0	252	32	0	0	146	44	83	67	0	3	13	0	44	11	0
1979	Foxholes	1015	0	49	0	0	0	0	0	0	0	0	24	0	105	33	7	0	0	311	9	0	0	160	100	71	60	0	16	25	0	36	9	0
1980	Foxholes	927	0	19	0	0	0	0	0	0	0	0	37	0	59	9	11	0	0	466	8	0	0	91	58	93	19	0	9	28	0	14	6	0
