SampleYear	ExactName	Total	Aglais.urticae	Anthocaris.cardamines	Aphantopus.hyperantus	Boloria.selene	Celastrina.argiolus	Coenonympha.pamphilus	Gonepteryx.rhamni	Hipparchia.semele	Inachis.io	Lasiommata.megera	Lycaena.phlaeas	Maniola.jurtina	Ochlodes.venata	Papilio.machaon	Pararge.aegeria	Pieris.brassicae	Pieris.napi	Pieris.rapae	Polygonia.c-album	Polyommatus.icarus	Pyronia.tithonus	Satyrium.w-album	Thymelicus.sylvestris	Vanessa.atalanta	Vanessa.cardui
1976	Bure.Marshes.National.Nature.Reserve	64	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0
1977	Bure.Marshes.National.Nature.Reserve	168	0	12	0	0	0	0	92	0	0	0	0	0	0	7	0	23	19	13	0	0	0	0	0	2	0
1979	Bure.Marshes.National.Nature.Reserve	594	0	11	0	0	0	0	93	0	0	0	0	0	0	18	0	81	215	149	0	0	0	0	20	7	0
1980	Bure.Marshes.National.Nature.Reserve	492	0	27	0	0	0	0	104	0	0	0	0	0	0	12	0	57	181	82	0	0	0	0	26	3	0
1981	Bure.Marshes.National.Nature.Reserve	296	0	13	0	0	0	0	74	0	0	0	0	0	0	13	0	29	127	19	0	0	0	0	20	1	0
1982	Bure.Marshes.National.Nature.Reserve	415	0	17	0	0	0	0	106	0	0	0	0	0	0	27	0	8	184	19	0	0	0	0	25	29	0
1983	Bure.Marshes.National.Nature.Reserve	305	0	10	0	0	0	0	101	0	0	0	0	0	0	13	0	16	98	29	0	0	0	0	26	12	0
1984	Bure.Marshes.National.Nature.Reserve	197	0	25	0	0	0	0	69	0	0	0	0	0	0	15	0	6	57	1	0	0	0	0	15	9	0
1985	Bure.Marshes.National.Nature.Reserve	205	0	0	0	0	0	0	38	0	0	0	0	0	0	59	0	28	23	27	0	0	0	0	29	1	0
1976	Chippenham.Fen.National.Nature.Reserve	505	0	10	0	0	0	0	81	0	5	0	0	0	0	0	0	14	46	338	0	11	0	0	0	0	0
1977	Chippenham.Fen.National.Nature.Reserve	221	0	12	0	0	0	0	99	0	14	0	0	0	0	0	0	7	22	60	0	7	0	0	0	0	0
1978	Chippenham.Fen.National.Nature.Reserve	241	0	2	0	0	0	0	42	0	22	0	0	0	0	0	0	35	40	100	0	0	0	0	0	0	0
1979	Chippenham.Fen.National.Nature.Reserve	285	0	0	0	0	0	0	46	0	31	0	0	0	0	0	0	62	42	103	0	0	0	0	0	0	1
1980	Chippenham.Fen.National.Nature.Reserve	158	0	3	0	0	0	0	82	0	6	0	0	0	0	0	0	15	33	0	0	6	0	0	0	0	13
1981	Chippenham.Fen.National.Nature.Reserve	130	0	10	0	0	0	0	65	0	11	0	0	0	0	0	0	8	28	4	0	4	0	0	0	0	0
1982	Chippenham.Fen.National.Nature.Reserve	382	0	4	0	0	0	0	123	0	59	0	0	0	0	0	0	57	67	45	0	9	0	0	0	0	18
1983	Chippenham.Fen.National.Nature.Reserve	265	0	6	0	0	0	0	110	0	67	0	0	0	0	0	0	5	39	19	0	19	0	0	0	0	0
1984	Chippenham.Fen.National.Nature.Reserve	394	0	0	0	0	0	0	193	0	102	0	0	0	0	0	0	0	76	0	0	23	0	0	0	0	0
1985	Chippenham.Fen.National.Nature.Reserve	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99
1976	Leighton.Moss.RSPB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1977	Leighton.Moss.RSPB	1301	0	82	0	0	0	0	0	0	264	0	0	239	0	0	0	32	630	0	0	0	0	0	54	0	0
1978	Leighton.Moss.RSPB	2058	0	102	0	0	1	0	0	0	471	0	0	381	0	0	0	201	828	0	0	0	0	0	74	0	0
1979	Leighton.Moss.RSPB	1707	0	71	0	0	0	0	0	0	177	0	0	466	0	0	0	310	651	0	0	0	0	0	32	0	0
1980	Leighton.Moss.RSPB	1205	0	85	0	0	6	0	0	0	389	0	0	241	0	0	0	97	369	0	0	0	0	0	18	0	0
1981	Leighton.Moss.RSPB	1818	0	82	0	0	3	0	0	0	152	0	0	306	0	0	0	63	1212	0	0	0	0	0	0	0	0
1982	Leighton.Moss.RSPB	3371	0	70	0	0	8	0	0	0	337	0	0	607	0	0	0	86	2253	0	0	0	0	0	10	0	0
1983	Leighton.Moss.RSPB	3651	0	60	0	0	7	0	0	0	313	0	0	1180	0	0	0	100	1978	0	0	0	0	0	13	0	0
1984	Leighton.Moss.RSPB	2942	0	126	0	0	11	0	0	0	417	0	0	1204	0	0	0	94	1077	0	0	0	0	0	13	0	0
1985	Leighton.Moss.RSPB	1623	0	76	0	0	3	0	0	0	173	0	0	1226	0	0	0	18	90	0	0	0	0	0	37	0	0
1977	"Loch.Garten.RSPB,.Abernethy.forest"	282	19	0	0	80	0	100	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0
1978	"Loch.Garten.RSPB,.Abernethy.forest"	328	39	0	0	160	0	104	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0
1979	"Loch.Garten.RSPB,.Abernethy.forest"	94	31	0	0	43	0	6	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
