year	web	total	Chaetodipus.penicillatus	Dipodomys.merriami	Dipodomys.ordii	Dipodomys.spectabilis	Peromyscus.leucopus	Perognathus.flavus
1995	1	6	0	0	6	0	0	0
1996	1	83	0	0	72	5	0	6
1997	1	144	0	0	118	14	0	12
1998	1	130	0	0	120	10	0	0
1999	1	49	0	0	44	5	0	0
2000	1	69	0	0	62	5	0	2
2001	1	93	0	0	83	7	0	3
2002	1	93	3	0	83	5	0	2
2003	1	75	11	0	55	9	0	0
2004	1	54	16	0	30	8	0	0
2005	1	65	26	0	30	5	0	4
2006	1	5	0	0	3	2	0	0
2007	1	63	15	0	29	8	4	7
1995	2	6	0	0	6	0	0	0
1996	2	77	0	1	65	5	0	6
1997	2	141	0	0	118	10	0	13
1998	2	118	0	0	104	13	0	1
1999	2	58	0	0	49	9	0	0
2000	2	73	0	0	66	7	0	0
2001	2	85	0	0	78	5	0	2
2002	2	99	3	1	89	5	0	1
2003	2	52	5	1	42	4	0	0
2004	2	58	15	1	32	9	0	1
2005	2	72	27	0	39	5	0	1
2006	2	5	1	0	2	2	0	0
2007	2	52	14	0	23	6	5	4
1995	3	5	0	0	5	0	0	0
1996	3	56	0	0	44	4	0	8
1997	3	106	0	1	76	17	0	12
1998	3	109	0	0	93	14	0	2
1999	3	60	1	0	48	11	0	0
2000	3	50	0	0	37	13	0	0
2001	3	83	0	0	76	6	0	1
2002	3	78	6	0	62	4	0	6
2003	3	55	5	0	43	7	0	0
2004	3	40	15	1	14	6	0	4
2005	3	66	29	2	23	3	0	9
2006	3	8	4	1	2	1	0	0
2007	3	47	13	0	12	6	5	11
