year	web	total	Chaetodipus.penicillatus	Dipodomys.merriami	Dipodomys.ordii	Dipodomys.spectabilis	Peromyscus.leucopus	Perognathus.flavus
1995	1	752.231069	0	0	752.231069	0	0	0
1996	1	8667.511327	0	0	7542.953928	941.6435449	0	182.9138538
1997	1	13998.93879	0	0	10848.28333	2837.054543	0	313.6009146
1998	1	14702.09497	0	0	12379.95861	2322.136369	0	0
1999	1	6226.916003	0	0	5047.728659	1179.187344	0	0
2000	1	8130.464818	0	0	6969.150495	1126.946124	0	34.36819947
2001	1	10929.73498	0	0	9574.602427	1281.671521	0	73.4610364
2002	1	9848.077912	129.9622191	0	8751.241742	915.3205854	0	51.55336607
2003	1	7890.354537	450.3868993	0	5594.699765	1845.267873	0	0
2004	1	5639.736608	621.409142	0	3442.050389	1576.277076	0	0
2005	1	5677.032013	1070.618662	0	3244.347346	1264.21211	0	97.85389578
2006	1	782.1945456	0	0	324.3236327	457.8709129	0	0
2007	1	4808.321469	556.4211475	0	2780.617274	1116.969407	193.8070478	160.5065926
1995	2	702.8797564	0	0	702.8797564	0	0	0
1996	2	7908.027835	0	113.3463622	6523.676551	1088.962917	0	182.042005
1997	2	13914.72382	0	0	11955.88565	1646.330412	0	312.5077606
1998	2	13283.8783	0	0	10254.02953	3008.035258	0	21.81351758
1999	2	7044.514399	0	0	5643.773228	1400.741172	0	0
2000	2	8695.734473	0	0	7317.786781	1377.947692	0	0
2001	2	9919.396324	0	0	8956.267086	916.8287084	0	46.30052971
2002	2	11117.54842	130.0712115	67.3961502	9813.34449	1084.923054	0	21.81351758
2003	2	5353.556279	201.0068812	105.3802747	4272.407699	774.7614237	0	0
2004	2	6743.77519	683.8813621	100.5033736	3838.026198	2094.297902	0	27.06635394
2005	2	6290.540477	1131.909228	0	4308.170848	831.4347394	0	19.02566168
2006	2	697.2702138	41.18208144	0	251.3857407	404.7023917	0	0
2007	2	4286.766697	538.1054531	0	2250.092022	1109.422706	296.7539694	92.39254533
1995	3	635.2606414	0	0	635.2606414	0	0	0
1996	3	5616.123122	0	0	4772.692039	649.4719172	0	193.9591651
1997	3	11800.27759	0	114.917001	7803.361494	3584.415107	0	297.5839888
1998	3	12954.39026	0	0	9835.863299	3069.647095	0	48.87987152
1999	3	7388.083887	41.18208144	0	5546.876348	1800.025457	0	0
2000	3	6495.708836	0	0	3936.426513	2559.282323	0	0
2001	3	10075.82455	0	0	9046.628684	983.6758638	0	45.52
2002	3	7469.233433	251.3515205	0	6373.824557	719.0429535	0	125.0144025
2003	3	5439.268865	203.6839153	0	3820.949325	1414.635625	0	0
2004	3	3570.092803	688.096831	130.255864	1507.268774	1131.483415	0	112.9879195
2005	3	4399.426313	1164.900923	222.9284285	2418.973895	389.1626854	0	203.4603813
2006	3	707.7336932	133.4454599	100.5033736	242.2009971	231.5838625	0	0
2007	3	4030.151701	623.5372417	0	1415.567935	1461.093067	248.2556111	281.697846
