year	web	total	Chaetodipus.penicillatus	Dipodomys.merriami	Dipodomys.ordii	Dipodomys.spectabilis	Peromyscus.boylii	Peromyscus.eremicus	Peromyscus.leucopus	Peromyscus.maniculatus	Peromyscus.spp	Perognathus.flavus	Reithrodontomys.megalotus
1995	1	43	1	31	0	0	0	0	4	0	0	0	7
1996	1	39	0	33	0	0	0	0	5	0	0	0	1
1997	1	116	1	89	0	0	0	0	12	0	0	7	7
1998	1	61	2	54	0	0	0	0	3	0	0	0	2
1999	1	60	0	58	0	0	0	0	0	0	0	0	2
2000	1	80	2	73	1	0	0	0	1	0	0	2	1
2001	1	38	0	37	0	0	0	0	0	0	0	1	0
2002	1	19	1	18	0	0	0	0	0	0	0	0	0
2003	1	53	1	49	0	0	0	0	0	0	0	3	0
2004	1	48	9	37	0	0	0	1	0	0	0	1	0
2005	1	58	10	33	1	0	0	0	7	0	0	7	0
2006	1	42	4	35	0	0	0	0	1	1	0	1	0
2007	1	83	2	44	0	0	0	0	22	0	0	15	0
1995	2	41	0	28	0	0	0	0	4	0	0	2	7
1996	2	52	3	42	0	0	0	0	6	0	0	1	0
1997	2	128	7	102	1	0	0	0	10	0	0	6	2
1998	2	76	4	67	0	0	0	0	3	0	0	0	2
1999	2	54	1	52	0	0	0	0	1	0	0	0	0
2000	2	91	3	87	0	0	0	0	0	0	0	1	0
2001	2	45	2	43	0	0	0	0	0	0	0	0	0
2002	2	34	1	29	4	0	0	0	0	0	0	0	0
2003	2	78	13	54	6	0	0	0	2	0	0	3	0
2004	2	54	15	37	0	0	0	0	1	0	0	1	0
2005	2	54	9	29	0	0	0	0	5	0	1	10	0
2006	2	43	5	32	1	0	0	1	1	1	0	2	0
2007	2	67	7	25	1	0	0	0	17	0	0	17	0
1995	3	34	0	27	0	0	0	0	1	0	0	0	6
1996	3	82	6	67	1	0	0	0	5	0	0	1	2
1997	3	148	9	116	0	1	0	0	15	0	0	4	3
1998	3	79	5	71	0	0	0	0	3	0	0	0	0
1999	3	54	3	49	0	1	0	0	1	0	0	0	0
2000	3	81	9	70	0	0	0	0	0	0	0	0	2
2001	3	40	4	33	1	0	0	0	0	0	0	2	0
2002	3	36	3	31	2	0	0	0	0	0	0	0	0
2003	3	75	6	54	4	0	0	0	4	0	0	7	0
2004	3	67	19	43	0	0	0	0	0	0	0	5	0
2005	3	62	13	37	0	0	1	0	4	0	0	7	0
2006	3	65	10	43	2	0	0	4	3	3	0	0	0
2007	3	65	7	21	3	0	0	0	10	0	0	24	0
