year	web	total	Chaetodipus.penicillatus	Dipodomys.merriami	Dipodomys.ordii	Dipodomys.spectabilis	Peromyscus.boylii	Peromyscus.eremicus	Peromyscus.leucopus	Peromyscus.maniculatus	Peromyscus.spp	Perognathus.flavus	Reithrodontomys.megalotus
1995	1	3087.605502	59.75966351	2507.896959	0	0	0	0	238.7687027	0	0	0	281.180176
1996	1	3229.507428	0	2931.004209	0	0	0	0	268.9371119	0	0	0	29.56610729
1997	1	9152.556261	45.52	8126.801243	0	0	0	0	559.3257647	0	0	176.2998746	244.6093785
1998	1	4983.197388	88.81958097	4766.314441	0	0	0	0	61.69794481	0	0	0	66.36542087
1999	1	5688.688676	0	5654.320477	0	0	0	0	0	0	0	0	34.36819947
2000	1	7374.761416	75.64140696	7047.437654	97.2079476	0	0	0	53.81269755	0	0	48.87987152	51.78183865
2001	1	3571.337336	0	3549.523818	0	0	0	0	0	0	0	21.81351758	0
2002	1	1761.055119	29.56610729	1731.489012	0	0	0	0	0	0	0	0	0
2003	1	4753.693272	31.9972214	4635.497482	0	0	0	0	0	0	0	86.19856851	0
2004	1	3813.722291	359.1307983	3376.291783	0	0	0	53.81269755	0	0	0	24.48701213	0
2005	1	4174.218134	406.9766256	3124.058326	113.3463622	0	0	0	369.3302273	0	0	160.5065926	0
2006	1	3472.002918	146.1163343	3204.334221	0	0	0	0	57.80019146	36.68581747	0	27.06635394	0
2007	1	5495.383181	84.5512115	3988.746401	0	0	0	0	1125.350882	0	0	296.7346872	0
1995	2	3289.636835	0	2713.788414	0	0	0	0	252.8477833	0	0	61.56332869	261.4373091
1996	2	4475.45432	123.506801	4010.678587	0	0	0	0	322.2432702	0	0	19.02566168	0
1997	2	10272.63478	290.1882079	9179.174215	81.87725981	0	0	0	508.609525	0	0	148.8512653	63.93430675
1998	2	6306.83822	155.474659	5938.044546	0	0	0	0	144.5826157	0	0	0	68.73639893
1999	2	5160.890294	49.72406726	5111.166227	0	0	0	0	0	0	0	0	0
2000	2	8479.586449	127.8841629	8310.520205	0	0	0	0	0	0	0	41.18208144	0
2001	2	4093.348976	41.18208144	4052.166894	0	0	0	0	0	0	0	0	0
2002	2	3303.766931	43.36913005	2770.408047	489.9897541	0	0	0	0	0	0	0	0
2003	2	6497.98375	578.3882514	5071.704055	671.1790002	0	0	0	92.50413443	0	0	84.20830931	0
2004	2	4289.92013	792.1107339	3429.953254	0	0	0	0	43.36913005	0	0	24.48701213	0
2005	2	3441.035473	378.6606448	2551.773743	0	0	0	0	209.0672485	0	49.72406726	251.8097698	0
2006	2	3471.947207	154.7921714	2952.181113	137.7005885	0	0	65.51523111	53.81269755	53.81269755	0	54.13270787	0
2007	2	4116.646901	301.1906531	2374.172748	118.0370666	0	0	0	910.2908702	0	0	412.9555624	0
1995	3	2692.693071	0	2403.981651	0	0	0	0	72.93789199	0	0	0	215.7735282
1996	3	6658.079222	342.5352201	5850.645892	97.2079476	0	0	0	276.5607257	0	0	29.56610729	61.56332869
1997	3	11094.82561	369.1429057	9548.839094	0	206.2995121	0	0	770.7514135	0	0	89.92756487	109.8651203
1998	3	6770.159793	190.0027913	6462.775356	0	0	0	0	117.3816456	0	0	0	0
1999	3	5298.069251	123.506801	4963.693817	0	155.050316	0	0	55.81831696	0	0	0	0
2000	3	7103.399461	317.8730948	6716.789967	0	0	0	0	0	0	0	0	68.73639893
2001	3	3519.667912	164.606159	3167.356759	105.3802747	0	0	0	0	0	0	82.32471954	0
2002	3	3277.664715	134.3757596	2887.300706	255.9882501	0	0	0	0	0	0	0	0
2003	3	6244.19773	261.6322572	5099.557998	488.622851	0	0	0	200.6933529	0	0	193.6912712	0
2004	3	5101.332893	845.0842658	4128.749036	0	0	0	0	0	0	0	127.4995915	0
2005	3	4431.018162	513.0033816	3531.268419	0	0	43.36913005	0	168.9394798	0	0	174.437752	0
2006	3	5060.133634	393.2928064	3907.464954	192.7541891	0	0	261.2096167	141.9683551	163.4437121	0	0	0
2007	3	3666.646429	257.915931	1973.321503	358.7003872	0	0	0	549.6209266	0	0	527.0876812	0
