Year	Watershed	Total	Peromyscus.maniculatus	Reithrodontomys.megalotis	Peromyscus.leucopus	Microtus.ochrogaster	Reithrodontomys.montanus	Perognathus.hispidus	Zapus.hudsonius
81	000B	13.5	0.5	12.5	0	0	0.5	0	0
82	000B	6.166666667	1.5	4.166666667	0.166666667	0.333333333	0	0	0
83	000B	1.333333333	1	0.166666667	0	0.166666667	0	0	0
84	000B	2.333333333	2	0	0.166666667	0.166666667	0	0	0
85	000b	1.333333333	0.833333333	0	0.5	0	0	0	0
86	000b	4	1.833333333	0.333333333	1.333333333	0.5	0	0	0
87	000b	8	1.666666667	6.166666667	0.166666667	0	0	0	0
88	000b	4.5	0.25	3.75	0.5	0	0	0	0
89	000b	12.5	2.75	6.75	2.25	0.75	0	0	0
90	000b	13.75	3	5	3	2.75	0	0	0
91	000b	10.25	5	0.25	3.5	1.5	0	0	0
92	000b	14	4.75	0	9	0.25	0	0	0
93	000B	18.75	2.75	1.5	11.5	3	0	0	0
94	000B	19	0	9.833333333	7	2.166666667	0	0	0
95	000B	8.25	0.75	4.25	3.25	0	0	0	0
96	000B	5.5	0.5	2.5	2.5	0	0	0	0
97	000B	13.5	0.25	1.25	11.75	0.25	0	0	0
81	001D	10	6.5	3	0	0.5	0	0	0
82	001D	13.66666667	8.166666667	2	0.833333333	2.666666667	0	0	0
83	001D	2	1.666666667	0	0.166666667	0.166666667	0	0	0
84	001D	3.166666667	3.166666667	0	0	0	0	0	0
85	001d	3.333333333	3.166666667	0.166666667	0	0	0	0	0
86	001d	9.166666667	8.5	0.333333333	0.166666667	0.166666667	0	0	0
87	001d	5.833333333	4.833333333	1	0	0	0	0	0
88	001d	1.5	1.5	0	0	0	0	0	0
89	001d	9.25	8.75	0.5	0	0	0	0	0
90	001d	11	8.75	1.5	0.25	0.5	0	0	0
91	001d	1.75	1.5	0	0	0	0	0.25	0
92	001d	2.5	2.25	0.25	0	0	0	0	0
93	001D	8	4.25	0.25	0.5	3	0	0	0
94	001D	2.666666667	1.333333333	1.166666667	0	0.166666667	0	0	0
95	001D	2	2	0	0	0	0	0	0
96	001D	2	1.75	0.25	0	0	0	0	0
97	001D	8.75	8.5	0	0.25	0	0	0	0
81	004D	12.5	2	5	5	0	0	0	0.5
82	004D	17.66666667	13.16666667	1.5	2.333333333	0.666666667	0	0	0
83	004D	2.666666667	1.5	0.666666667	0	0.5	0	0	0
84	004D	5.333333333	4.166666667	0	1.166666667	0	0	0	0
85	004d	3.5	0.833333333	0.166666667	2.166666667	0.333333333	0	0	0
86	004d	13.33333333	9.833333333	0.333333333	2.833333333	0.166666667	0	0	0.166666667
87	004d	9.5	4.333333333	4	1.166666667	0	0	0	0
88	004d	2	0.5	0.75	0.5	0.25	0	0	0
89	004d	-99	-99	-99	-99	-99	-99	-99	-99
90	004d	-99	-99	-99	-99	-99	-99	-99	-99
91	004d	-99	-99	-99	-99	-99	-99	-99	-99
92	004d	-99	-99	-99	-99	-99	-99	-99	-99
93	004d	-99	-99	-99	-99	-99	-99	-99	-99
94	004d	-99	-99	-99	-99	-99	-99	-99	-99
95	004d	-99	-99	-99	-99	-99	-99	-99	-99
96	004d	-99	-99	-99	-99	-99	-99	-99	-99
97	004d	-99	-99	-99	-99	-99	-99	-99	-99
