year	area	total	BlueWildebeest	Eland	Giraffe	Impala	Kudu	Roan	Sable	Tsessebe	Warthog	Waterbuck	Zebra
1978	central	55480	5141	0	2764	33304	3362	0	285	37	1245	1026	8316
1979	central	57225	4768	2	2834	35340	3488	0	300	39	1012	1008	8434
1980	central	61513	5816	3	2641	38288	3060	0	286	38	1465	1039	8877
1981	central	77906	6512	2	3146	49655	3956	0	317	41	1937	1506	10834
1982	central	84942	8127	0	3288	54425	4113	1	339	45	1515	1486	11603
1983	central	60519	7584	7	2869	35508	2468	0	277	45	910	1044	9807
1984	central	77883	8026	6	3250	47757	3201	1	316	46	1228	1222	12830
1985	central	97117	8634	9	3544	64319	4493	5	327	43	1840	2081	11822
1986	central	89148	9406	16	3798	55364	4301	20	326	49	1719	1629	12520
1987	central	90478	9951	14	3235	56898	3940	12	405	76	1346	1504	13097
1988	central	80900	9650	8	3248	48330	3681	12	427	51	1372	1690	12431
1989	central	81251	9547	7	3035	50216	2593	11	233	64	1043	1494	13008
1990	central	81109	9807	34	2866	50710	2320	7	420	31	1103	1635	12176
1991	central	76171	9788	7	2749	45826	2194	9	302	29	976	1051	13240
1992	central	61492	10574	4	2761	32845	1589	3	277	12	644	723	12060
1993	central	71180	10524	12	3058	41192	1482	0	293	7	268	755	13589
1980	south	40376	1106	5	793	32035	2304	4	351	0	1018	444	2316
1981	south	51750	1129	3	1008	43045	2122	4	378	0	1234	382	2445
1982	south	48127	1191	0	1023	39609	1981	12	365	0	1018	365	2563
1983	south	44746	1063	2	1128	37371	1551	0	402	8	357	312	2552
1984	south	62944	1179	0	1263	54307	2370	14	323	9	432	470	2577
1985	south	41117	862	13	926	33489	2141	10	418	2	686	503	2067
1986	south	48660	899	18	1050	40269	2559	1	343	14	807	423	2277
1987	south	38426	1054	10	852	30727	1892	0	434	12	551	496	2398
1988	south	42881	1239	13	922	35482	1757	1	311	14	574	449	2119
1989	south	47700	822	6	926	40270	2100	3	249	19	497	454	2354
1990	south	38648	1022	18	906	31480	1491	0	362	52	562	354	2401
1991	south	35745	954	10	814	29842	1419	1	300	19	354	307	1725
1992	south	47848	1305	9	854	40307	1488	0	272	2	408	256	2947
1993	south	36968	809	7	920	31214	993	0	250	11	184	175	2405
1977	farnorth	8843	440	131	88	4096	1073	143	339	199	141	124	2069
1978	farnorth	11110	436	151	98	5971	941	134	316	213	217	242	2391
1979	farnorth	9104	448	220	88	3748	861	131	402	292	129	206	2579
1980	farnorth	11829	652	283	108	5473	1076	156	419	293	147	251	2971
1981	farnorth	15210	861	254	138	7581	1285	158	468	288	308	397	3472
1982	farnorth	15991	1054	270	144	7336	1401	161	535	368	282	425	4015
1983	farnorth	17386	988	345	150	8516	1265	155	644	390	231	426	4276
1984	farnorth	20494	939	432	180	11971	1345	136	518	278	393	301	4001
1985	farnorth	17494	1039	490	125	7817	1336	151	646	319	313	599	4659
1986	farnorth	21202	1117	456	171	10447	1457	217	556	383	426	616	5356
1987	farnorth	23933	1673	533	256	12235	1252	140	679	209	401	648	5907
1988	farnorth	21470	1689	370	214	10403	1074	106	549	278	303	494	5990
1989	farnorth	24382	1917	427	207	12559	973	94	568	248	464	385	6540
1990	farnorth	21121	2025	393	254	8879	1014	105	522	220	328	463	6918
1991	farnorth	22157	1885	239	216	11187	273	68	444	205	199	456	6985
1992	farnorth	19665	939	345	357	11267	186	40	288	166	215	242	5620
1993	farnorth	14588	481	312	247	7578	140	25	168	111	88	147	5291
1977	north	21985	656	140	457	12358	1499	151	455	376	306	703	4884
1978	north	21565	834	165	452	10555	1602	138	511	404	537	774	5593
1979	north	24713	996	171	591	11532	2125	156	591	451	539	941	6620
1980	north	30102	994	199	580	16088	2053	155	574	496	681	992	7290
1981	north	38310	1193	300	667	21130	2924	177	698	530	875	1592	8224
1982	north	42191	1218	296	720	22914	2892	139	773	488	989	1823	9939
1983	north	30837	1576	299	576	14020	1721	179	802	552	541	1233	9338
1984	north	41925	1781	305	648	23020	1745	193	760	597	744	1265	10867
1985	north	52034	1692	353	723	30989	2462	162	849	799	981	1859	11165
1986	north	47917	2004	367	740	25026	2443	214	882	717	1096	1417	13011
1987	north	39427	1923	439	620	20492	1702	127	678	595	683	1369	10799
1988	north	43268	1708	380	646	25968	1702	57	703	495	712	1163	9734
1989	north	33195	1419	199	693	17523	1269	88	576	373	540	819	9696
1990	north	41651	1439	299	693	25154	1142	55	573	408	722	751	10415
1991	north	41370	1207	193	757	25343	820	77	397	429	630	764	10753
1992	north	32025	1142	213	628	16997	704	25	395	291	408	812	10410
1993	north	27949	540	165	669	17295	512	18	168	245	181	342	7814
