year	area	total	BlueWildebeest	Eland	Giraffe	Impala	Kudu	Roan	Sable	Tsessebe	Warthog	Waterbuck	Zebra
1978	central	9702079.5	1105315	0	2805460	1848372	655590	0	58140	4810	77812.5	235980	2910600
1979	central	9857720	1025120	1300	2876510	1961370	680160	0	61200	5070	63250	231840	2951900
1980	central	10155455.5	1250440	1950	2680615	2124984	596700	0	58344	4940	91562.5	238970	3106950
1981	central	12451183	1400080	1300	3193190	2755852.5	771420	0	64668	5330	121062.5	346380	3791900
1982	central	13480021	1747305	0	3337320	3020587.5	802035	250	69156	5850	94687.5	341780	4061050
1983	central	10790902	1630560	4550	2912035	1970694	481260	0	56508	5850	56875	240120	3432450
1984	central	13221952.5	1725590	3900	3298750	2650513.5	624195	250	64464	5980	76750	281060	4490500
1985	central	14710037.5	1856310	5850	3597160	3569704.5	876135	1250	66708	5590	115000	478630	4137700
1986	central	14741038.5	2022290	10400	3854970	3072702	838695	5000	66504	6370	107437.5	374670	4382000
1987	central	14467724	2139465	9100	3283525	3157839	768300	3000	82620	9880	84125	345920	4583950
1988	central	13698818	2074750	5200	3296720	2682315	717795	3000	87108	6630	85750	388700	4350850
1989	central	13450512.5	2052605	4550	3080525	2786988	505635	2750	47532	8320	65187.5	343620	4552800
1990	central	13104447.5	2108505	22100	2908990	2814405	452400	1750	85680	4030	68937.5	376050	4261600
1991	central	12874736	2104420	4550	2790235	2543343	427830	2250	61608	3770	61000	241730	4634000
1992	central	11697535.5	2273410	2600	2802415	1822897.5	309855	750	56508	1560	40250	166290	4221000
1993	central	12956708	2262660	7800	3103870	2286156	288990	0	59772	910	16750	173650	4756150
1980	south	4322106.5	237790	3250	804895	1777942.5	449280	1000	71604	0	63625	102120	810600
1981	south	5169439.5	242735	1950	1023120	2388997.5	413790	1000	77112	0	77125	87860	855750
1982	south	5001089.5	256065	0	1038345	2198299.5	386295	3000	74460	0	63625	83950	897050
1983	south	4821621	228545	1300	1144920	2074090.5	302445	0	82008	1040	22312.5	71760	893200
1984	south	6119230.5	253485	0	1281945	3014038.5	462150	3500	65892	1170	27000	108100	901950
1985	south	4379851.5	185330	8450	939890	1858639.5	417495	2500	85272	260	42875	115690	723450
1986	south	5021389	193285	11700	1065750	2234929.5	499005	250	69972	1820	50437.5	97290	796950
1987	south	4250092	226610	6500	864780	1705348.5	368940	0	88536	1560	34437.5	114080	839300
1988	south	4468840	266385	8450	935830	1969251	342615	250	63444	1820	35875	103270	741650
1989	south	4778403.5	176730	3900	939890	2234985	409500	750	50796	2470	31062.5	104420	823900
1990	south	4226408	219730	11700	919590	1747140	290745	0	73848	6760	35125	81420	840350
1991	south	3731161	205110	6500	826210	1656231	276705	250	61200	2470	22125	70610	603750
1992	south	4852011.5	280575	5850	866810	2237038.5	290160	0	55488	260	25500	58880	1031450
1993	south	3984227	173935	4550	933800	1732377	193635	0	51000	1430	11500	40250	841750
1977	farnorth	1597891.5	94600	85150	89320	227328	209235	35750	69156	25870	8812.5	28520	724150
1978	farnorth	1837972	93740	98150	99470	331390.5	183495	33500	64464	27690	13562.5	55660	836850
1979	farnorth	1815359.5	96320	143000	89320	208014	167895	32750	82008	37960	8062.5	47380	902650
1980	farnorth	2216655	140180	183950	109620	303751.5	209820	39000	85476	38090	9187.5	57730	1039850
1981	farnorth	2659777.5	185115	165100	140070	420745.5	250575	39500	95472	37440	19250	91310	1215200
1982	farnorth	2946468	226610	175500	146160	407148	273195	40250	109140	47840	17625	97750	1405250
1983	farnorth	3138076.5	212420	224250	152250	472638	246675	38750	131376	50700	14437.5	97980	1496600
1984	farnorth	3262005	201885	280800	182700	664390.5	262275	34000	105672	36140	24562.5	69230	1400350
1985	farnorth	3362110	223385	318500	126875	433843.5	260520	37750	131784	41470	19562.5	137770	1630650
1986	farnorth	3834412.5	240155	296400	173565	579808.5	284115	54250	113424	49790	26625	141680	1874600
1987	farnorth	4331406	359695	346450	259840	679042.5	244140	35000	138516	27170	25062.5	149040	2067450
1988	farnorth	4011335	363135	240500	217210	577366.5	209430	26500	111996	36140	18937.5	113620	2096500
1989	farnorth	4364731.5	412155	277550	210105	697024.5	189735	23500	115872	32240	29000	88550	2289000
1990	farnorth	4348777.5	435375	255450	257810	492784.5	197730	26250	106488	28600	20500	106490	2421300
1991	farnorth	4150272	405275	155350	219240	620878.5	53235	17000	90576	26650	12437.5	104880	2444750
1992	farnorth	3576508	201885	224250	362355	625318.5	36270	10000	58752	21580	13437.5	55660	1967000
1993	farnorth	2950911	103415	202800	250705	420579	27300	6250	34272	14430	5500	33810	1851850
1977	north	3743734	141040	91000	463855	685869	292305	37750	92820	48880	19125	161690	1709400
1978	north	4003929	179310	107250	458780	585802.5	312390	34500	104244	52520	33562.5	178020	1957550
1979	north	4764867.5	214140	111150	599865	640026	414375	39000	120564	58630	33687.5	216430	2317000
1980	north	5267527.5	213710	129350	588700	892884	400335	38750	117096	64480	42562.5	228160	2551500
1981	north	6426184.5	256495	195000	677005	1172715	570180	44250	142392	68900	54687.5	366160	2878400
1982	north	7236371.5	261870	192400	730800	1271727	563940	34750	157692	63440	61812.5	419290	3478650
1983	north	6097355.5	338840	194350	584640	778110	335595	44750	163608	71760	33812.5	283590	3268300
1984	north	7278570	382915	198250	657720	1277610	340275	48250	155040	77610	46500	290950	3803450
1985	north	8241253	363780	229450	733845	1719889.5	480090	40500	173196	103870	61312.5	427570	3907750
1986	north	8560736	430860	238550	751100	1388943	476385	53500	179928	93210	68500	325910	4553850
1987	north	7181910.5	413445	285350	629300	1137306	331890	31750	138312	77350	42687.5	314870	3779650
1988	north	6983926	367220	247000	655690	1441224	331890	14250	143412	64350	44500	267490	3406900
1989	north	6161525.5	305085	129350	703395	972526.5	247455	22000	117504	48490	33750	188370	3393600
1990	north	6872654	309385	194350	703395	1396047	222690	13750	116892	53040	45125	172730	3645250
1991	north	6854399.5	259505	125450	768355	1406536.5	159900	19250	80988	55770	39375	175720	3763550
1992	north	6082433.5	245530	138450	637420	943333.5	137280	6250	80580	37830	25500	186760	3643500
1993	north	4857592	116100	107250	679035	959872.5	99840	4500	34272	31850	11312.5	78660	2734900
