Year	Location	total	Peromyscus.maniculatus	Clethrionomys.gapperi	Tamias.striatus	Sorex.cinereus	Tamiasciurus.hudsonicus	Napaeozapus.insignis	Blarina.brevicauda	Glaucomys.sabrinus
1952	Ontario	165.6565657	124.2424242	17.17171717	1.01010101	3.03030303	1.01010101	18.18181818	1.01010101	0
1953	Ontario	278.1818182	247.2727273	10.90909091	8.181818182	5.454545455	1.818181818	2.727272727	0.909090909	0.909090909
1954	Ontario	446.969697	376.5151515	29.54545455	25	1.515151515	3.03030303	6.818181818	3.03030303	1.515151515
1955	Ontario	181.8181818	110.6060606	46.96969697	3.787878788	15.15151515	3.787878788	1.515151515	0	0
1956	Ontario	135.6060606	78.03030303	31.06060606	12.12121212	0.757575758	7.575757576	6.060606061	0	0
1957	Ontario	231.8181818	165.9090909	22.72727273	21.21212121	7.575757576	9.090909091	2.272727273	1.515151515	1.515151515
1958	Ontario	106.8181818	55.3030303	14.39393939	22.72727273	5.303030303	6.818181818	1.515151515	0	0.757575758
1959	Ontario	256.0606061	155.3030303	52.27272727	30.3030303	1.515151515	12.87878788	3.787878788	0	0
1960	Ontario	199.5584989	143.0463576	18.98454746	29.58057395	1.324503311	4.415011038	0	1.766004415	0.441501104
1961	Ontario	354.3650794	279.3650794	20.23809524	48.41269841	1.984126984	1.19047619	0	2.380952381	0.793650794
1962	Ontario	126.0364842	73.30016584	9.618573798	21.55887231	5.306799337	2.32172471	10.61359867	2.32172471	0.995024876
1963	Ontario	154.9206349	115.8730159	1.587301587	23.17460317	3.492063492	2.857142857	5.714285714	1.904761905	0.317460317
1964	Ontario	69.52380952	55.55555556	8.571428571	3.174603175	0	0	0.317460317	0.952380952	0.952380952
1965	Ontario	184.4444444	146.3492063	24.12698413	6.984126984	1.26984127	1.26984127	0.634920635	1.904761905	1.904761905
1966	Ontario	118.4126984	82.85714286	6.984126984	16.50793651	0.634920635	2.222222222	0.317460317	8.888888889	0
1967	Ontario	146.984127	125.3968254	6.031746032	8.253968254	0.317460317	2.222222222	4.126984127	0.634920635	0
1968	Ontario	244.4444444	203.8095238	21.26984127	11.11111111	1.587301587	1.904761905	0.317460317	2.53968254	1.904761905
1969	Ontario	191.4285714	141.9047619	10.79365079	30.15873016	2.53968254	1.587301587	0.317460317	3.492063492	0.634920635
1970	Ontario	247.9365079	193.3333333	11.74603175	26.66666667	4.444444444	1.587301587	2.857142857	6.984126984	0.317460317
1971	Ontario	333.3333333	264.379085	38.23529412	19.28104575	1.960784314	1.307189542	2.941176471	3.921568627	1.307189542
1972	Ontario	384.3333333	320	9.666666667	38	0	6.666666667	6.333333333	3.333333333	0.333333333
1973	Ontario	197.6666667	161.6666667	4.666666667	7	8	3	3.666666667	7.666666667	2
1974	Ontario	146.3333333	115.6666667	1.666666667	12.33333333	2.666666667	1.666666667	6	5.666666667	0.666666667
1975	Ontario	184	143.3333333	5.666666667	20.33333333	0	3.666666667	1	8.666666667	1.333333333
1976	Ontario	114.5833333	73.75	5.833333333	12.91666667	1.666666667	3.333333333	15.41666667	0.833333333	0.833333333
1977	Ontario	271.25	174.5833333	23.33333333	42.08333333	0.416666667	7.916666667	11.66666667	8.333333333	2.916666667
1978	Ontario	167.5	126.25	2.916666667	9.166666667	0	2.916666667	11.66666667	14.58333333	0
1979	Ontario	383.446712	226.3038549	18.36734694	93.19727891	1.133786848	4.988662132	6.575963719	32.42630385	0.453514739
1980	Ontario	215.308642	155.5555556	11.35802469	32.34567901	8.395061728	1.728395062	4.444444444	0.740740741	0.740740741
1981	Ontario	220.2222222	143.3333333	34.66666667	30.88888889	1.777777778	2.222222222	4.444444444	1.111111111	1.777777778
1982	Ontario	162.8888889	96.88888889	40.44444444	19.11111111	2.222222222	0.888888889	0.888888889	2.222222222	0.222222222
1983	Ontario	296.8888889	144.2222222	44	96.22222222	2	2.444444444	0.222222222	6.666666667	1.111111111
1984	Ontario	209.5555556	138	14.44444444	50.22222222	1.555555556	1.333333333	2.444444444	1.333333333	0.222222222
1985	Ontario	492.4444444	308.2222222	26.44444444	123.7777778	2.888888889	4.888888889	0.666666667	23.77777778	1.777777778
1986	Ontario	154.6666667	67.55555556	16.22222222	47.77777778	9.111111111	0.888888889	7.333333333	5.777777778	0
1987	Ontario	161.1111111	92.66666667	22.22222222	15.77777778	10	1.333333333	3.111111111	15.33333333	0.666666667
1988	Ontario	-99	-99	-99	-99	-99	-99	-99	-99	-99
1989	Ontario	153.3333333	86	2.666666667	46	1.333333333	1.111111111	0.888888889	15.33333333	0
1990	Ontario	439.1666667	257.5	16.94444444	69.44444444	0.277777778	1.388888889	1.944444444	90.83333333	0.833333333
1991	Ontario	210	104.1666667	28.33333333	41.11111111	3.611111111	0.833333333	28.33333333	2.5	1.111111111
1992	Ontario	336.8253968	156.1904762	65.3968254	54.6031746	4.761904762	1.26984127	45.07936508	9.523809524	0
1993	Ontario	403.6111111	153.3333333	105.2777778	88.61111111	0	1.111111111	29.44444444	25	0.833333333
1994	Ontario	250.2222222	78.44444444	68.88888889	45.11111111	2.444444444	2.444444444	49.33333333	3.555555556	0
1995	Ontario	313.8888889	109.1666667	48.05555556	97.5	4.444444444	10.27777778	38.88888889	5	0.555555556
