Year	Location	total	Peromyscus.maniculatus	Clethrionomys.gapperi	Tamias.striatus	Tamiasciurus.hudsonicus	Napaeozapus.insignis	Glaucomys.sabrinus
1952	Ontario	161.6161616	124.2424242	17.17171717	1.01010101	1.01010101	18.18181818	0
1953	Ontario	271.8181818	247.2727273	10.90909091	8.181818182	1.818181818	2.727272727	0.909090909
1954	Ontario	442.4242424	376.5151515	29.54545455	25	3.03030303	6.818181818	1.515151515
1955	Ontario	166.6666667	110.6060606	46.96969697	3.787878788	3.787878788	1.515151515	0
1956	Ontario	134.8484848	78.03030303	31.06060606	12.12121212	7.575757576	6.060606061	0
1957	Ontario	222.7272727	165.9090909	22.72727273	21.21212121	9.090909091	2.272727273	1.515151515
1958	Ontario	101.5151515	55.3030303	14.39393939	22.72727273	6.818181818	1.515151515	0.757575758
1959	Ontario	254.5454545	155.3030303	52.27272727	30.3030303	12.87878788	3.787878788	0
1960	Ontario	196.4679912	143.0463576	18.98454746	29.58057395	4.415011038	0	0.441501104
1961	Ontario	350	279.3650794	20.23809524	48.41269841	1.19047619	0	0.793650794
1962	Ontario	118.4079602	73.30016584	9.618573798	21.55887231	2.32172471	10.61359867	0.995024876
1963	Ontario	149.5238095	115.8730159	1.587301587	23.17460317	2.857142857	5.714285714	0.317460317
1964	Ontario	68.57142857	55.55555556	8.571428571	3.174603175	0	0.317460317	0.952380952
1965	Ontario	181.2698413	146.3492063	24.12698413	6.984126984	1.26984127	0.634920635	1.904761905
1966	Ontario	108.8888889	82.85714286	6.984126984	16.50793651	2.222222222	0.317460317	0
1967	Ontario	146.031746	125.3968254	6.031746032	8.253968254	2.222222222	4.126984127	0
1968	Ontario	240.3174603	203.8095238	21.26984127	11.11111111	1.904761905	0.317460317	1.904761905
1969	Ontario	185.3968254	141.9047619	10.79365079	30.15873016	1.587301587	0.317460317	0.634920635
1970	Ontario	236.5079365	193.3333333	11.74603175	26.66666667	1.587301587	2.857142857	0.317460317
1971	Ontario	327.4509804	264.379085	38.23529412	19.28104575	1.307189542	2.941176471	1.307189542
1972	Ontario	381	320	9.666666667	38	6.666666667	6.333333333	0.333333333
1973	Ontario	182	161.6666667	4.666666667	7	3	3.666666667	2
1974	Ontario	138	115.6666667	1.666666667	12.33333333	1.666666667	6	0.666666667
1975	Ontario	175.3333333	143.3333333	5.666666667	20.33333333	3.666666667	1	1.333333333
1976	Ontario	112.0833333	73.75	5.833333333	12.91666667	3.333333333	15.41666667	0.833333333
1977	Ontario	262.5	174.5833333	23.33333333	42.08333333	7.916666667	11.66666667	2.916666667
1978	Ontario	152.9166667	126.25	2.916666667	9.166666667	2.916666667	11.66666667	0
1979	Ontario	349.8866213	226.3038549	18.36734694	93.19727891	4.988662132	6.575963719	0.453514739
1980	Ontario	206.1728395	155.5555556	11.35802469	32.34567901	1.728395062	4.444444444	0.740740741
1981	Ontario	217.3333333	143.3333333	34.66666667	30.88888889	2.222222222	4.444444444	1.777777778
1982	Ontario	158.4444444	96.88888889	40.44444444	19.11111111	0.888888889	0.888888889	0.222222222
1983	Ontario	288.2222222	144.2222222	44	96.22222222	2.444444444	0.222222222	1.111111111
1984	Ontario	206.6666667	138	14.44444444	50.22222222	1.333333333	2.444444444	0.222222222
1985	Ontario	465.7777778	308.2222222	26.44444444	123.7777778	4.888888889	0.666666667	1.777777778
1986	Ontario	139.7777778	67.55555556	16.22222222	47.77777778	0.888888889	7.333333333	0
1987	Ontario	135.7777778	92.66666667	22.22222222	15.77777778	1.333333333	3.111111111	0.666666667
1988	Ontario	-99	-99	-99	-99	-99	-99	-99
1989	Ontario	136.6666667	86	2.666666667	46	1.111111111	0.888888889	0
1990	Ontario	348.0555556	257.5	16.94444444	69.44444444	1.388888889	1.944444444	0.833333333
1991	Ontario	203.8888889	104.1666667	28.33333333	41.11111111	0.833333333	28.33333333	1.111111111
1992	Ontario	322.5396825	156.1904762	65.3968254	54.6031746	1.26984127	45.07936508	0
1993	Ontario	378.6111111	153.3333333	105.2777778	88.61111111	1.111111111	29.44444444	0.833333333
1994	Ontario	244.2222222	78.44444444	68.88888889	45.11111111	2.444444444	49.33333333	0
1995	Ontario	304.4444444	109.1666667	48.05555556	97.5	10.27777778	38.88888889	0.555555556
