Year	Location	total	Tamias.striatus	Tamiasciurus.hudsonicus	Glaucomys.sabrinus
1952	Ontario	2.02020202	1.01010101	1.01010101	0
1953	Ontario	10.90909091	8.181818182	1.818181818	0.909090909
1954	Ontario	29.54545455	25	3.03030303	1.515151515
1955	Ontario	7.575757576	3.787878788	3.787878788	0
1956	Ontario	19.6969697	12.12121212	7.575757576	0
1957	Ontario	31.81818182	21.21212121	9.090909091	1.515151515
1958	Ontario	30.3030303	22.72727273	6.818181818	0.757575758
1959	Ontario	43.18181818	30.3030303	12.87878788	0
1960	Ontario	34.43708609	29.58057395	4.415011038	0.441501104
1961	Ontario	50.3968254	48.41269841	1.19047619	0.793650794
1962	Ontario	24.87562189	21.55887231	2.32172471	0.995024876
1963	Ontario	26.34920635	23.17460317	2.857142857	0.317460317
1964	Ontario	4.126984127	3.174603175	0	0.952380952
1965	Ontario	10.15873016	6.984126984	1.26984127	1.904761905
1966	Ontario	18.73015873	16.50793651	2.222222222	0
1967	Ontario	10.47619048	8.253968254	2.222222222	0
1968	Ontario	14.92063492	11.11111111	1.904761905	1.904761905
1969	Ontario	32.38095238	30.15873016	1.587301587	0.634920635
1970	Ontario	28.57142857	26.66666667	1.587301587	0.317460317
1971	Ontario	21.89542484	19.28104575	1.307189542	1.307189542
1972	Ontario	45	38	6.666666667	0.333333333
1973	Ontario	12	7	3	2
1974	Ontario	14.66666667	12.33333333	1.666666667	0.666666667
1975	Ontario	25.33333333	20.33333333	3.666666667	1.333333333
1976	Ontario	17.08333333	12.91666667	3.333333333	0.833333333
1977	Ontario	52.91666667	42.08333333	7.916666667	2.916666667
1978	Ontario	12.08333333	9.166666667	2.916666667	0
1979	Ontario	98.63945578	93.19727891	4.988662132	0.453514739
1980	Ontario	34.81481481	32.34567901	1.728395062	0.740740741
1981	Ontario	34.88888889	30.88888889	2.222222222	1.777777778
1982	Ontario	20.22222222	19.11111111	0.888888889	0.222222222
1983	Ontario	99.77777778	96.22222222	2.444444444	1.111111111
1984	Ontario	51.77777778	50.22222222	1.333333333	0.222222222
1985	Ontario	130.4444444	123.7777778	4.888888889	1.777777778
1986	Ontario	48.66666667	47.77777778	0.888888889	0
1987	Ontario	17.77777778	15.77777778	1.333333333	0.666666667
1988	Ontario	-99	-99	-99	-99
1989	Ontario	47.11111111	46	1.111111111	0
1990	Ontario	71.66666667	69.44444444	1.388888889	0.833333333
1991	Ontario	43.05555556	41.11111111	0.833333333	1.111111111
1992	Ontario	55.87301587	54.6031746	1.26984127	0
1993	Ontario	90.55555556	88.61111111	1.111111111	0.833333333
1994	Ontario	47.55555556	45.11111111	2.444444444	0
1995	Ontario	108.3333333	97.5	10.27777778	0.555555556
