yr	plot	total	DM	DO	DS	PB	PE	PF	PM	PP	RM
1989	1	5304.468349	1801.054981	2929.140203	0	0	171.1403927	0	65.51523111	97.36156678	240.255974
1990	1	6277.464955	2988.120713	3187.340009	0	0	0	0	0	77.5172214	0
1991	1	7205.264207	2048.86335	4786.110486	0	0	59.75966351	0	0	280.9646003	29.56610729
1992	1	4789.354093	1461.238085	3018.136274	0	0	0	0	0	282.9133792	27.06635394
1993	1	1901.633874	1344.542671	435.9297966	0	0	0	0	0	45.52	75.64140696
1994	1	2505.406201	2435.399189	0	0	0	0	24.48701213	0	45.52	0
1995	1	5635.620376	2494.102675	1477.936395	0	488.7305204	47.63749952	24.48701213	0	855.8674286	0
1996	1	6545.631473	1203.523399	3810.086073	0	674.4385198	0	247.2611576	0	569.1402425	41.18208144
1997	1	10428.31098	1480.61608	6786.16872	0	696.0184528	43.36913005	83.69881516	177.3195185	996.8903265	164.2299377
1998	1	4911.730212	1431.427209	2426.667117	0	367.9890541	0	0	0	685.6468324	0
1999	1	4584.147123	1860.329423	1827.860491	0	302.5210141	0	0	113.5723611	479.8638338	0
2000	1	7542.292399	1616.159822	2151.33844	0	1818.676609	61.69794481	0	0	1894.419583	0
2001	1	5860.964362	877.792407	1765.870766	0	2071.96755	0	0	0	1145.333638	0
2002	1	8053.38046	1070.697153	3114.830492	0	1951.870195	0	0	0	1888.916266	0
2003	1	8118.433225	143.3852433	3759.193967	0	1337.973097	149.1434054	83.55058747	0	2557.007986	66.36542087
2004	1	5186.207532	189.4210868	1743.247805	0	1566.607253	72.93789199	0	0	1613.993495	0
2005	1	6519.641779	170.676801	1579.29113	0	2568.573242	0	0	0	2201.100607	0
2006	1	5489.263604	197.3895575	1654.450767	0	1544.600393	61.69794481	0	0	2031.124941	0
2007	1	14707.72962	565.5978619	4253.97292	0	7442.510448	296.0309684	0	117.4288315	1802.611487	77.5172214
2008	1	13098.03358	1518.990479	7395.473994	0	2756.381567	117.5162618	0	256.1912859	888.8654276	135.0484597
2009	1	4177.796626	339.7109769	2584.771846	0	368.1015686	0	0	0	814.2594232	70.95281089
2010	1	1769.883138	771.6911006	574.1810874	0	0	0	0	0	424.0109501	0
