yr	plot	total	AO	DM	DO	DS	PB	PF	PP
1989	1	59	11	19	27	0	0	0	2
1990	1	64	1	32	29	0	0	0	2
1991	1	76	3	20	47	0	0	0	6
1992	1	52	2	14	30	0	0	0	6
1993	1	25	2	15	6	0	0	0	2
1994	1	28	0	26	0	0	0	1	1
1995	1	70	4	25	15	0	6	1	19
1996	1	84	1	14	38	0	9	10	12
1997	1	120	8	16	64	0	9	3	20
1998	1	66	0	18	26	1	6	0	15
1999	1	51	2	19	16	0	4	0	10
2000	1	104	1	17	20	0	26	0	40
2001	1	75	0	9	17	0	27	0	22
2002	1	108	1	11	32	0	25	0	39
2003	1	128	7	2	41	0	17	3	58
2004	1	80	3	2	18	0	24	0	33
2005	1	95	6	2	15	0	32	0	40
2006	1	83	3	2	17	0	19	0	42
2007	1	197	15	5	42	0	98	0	37
1989	2	48	19	2	25	0	0	0	2
1990	2	44	4	7	32	0	0	0	1
1991	2	51	14	7	25	0	0	0	5
1992	2	56	19	3	29	0	0	0	5
1993	2	20	5	7	7	0	0	1	0
1994	2	29	1	14	9	0	0	0	5
1995	2	67	2	30	10	0	0	0	25
1996	2	106	26	46	4	0	14	1	15
1997	2	126	25	23	21	6	31	0	20
1998	2	79	1	32	9	8	12	0	17
1999	2	53	9	9	9	7	7	0	12
2000	2	88	3	4	7	0	48	0	26
2001	2	65	6	21	3	0	16	0	19
2002	2	106	10	16	11	0	43	0	26
2003	2	125	23	12	1	0	62	0	27
2004	2	81	11	7	2	0	37	0	24
2005	2	125	14	14	6	0	55	0	36
2006	2	133	18	20	11	0	48	0	36
2007	2	210	37	26	10	0	109	1	27
1989	4	78	6	63	0	6	0	2	1
1990	4	120	0	110	0	10	0	0	0
1991	4	90	2	79	1	0	0	6	2
1992	4	53	0	43	2	0	0	3	5
1993	4	28	1	22	0	0	0	2	3
1994	4	36	0	32	0	0	0	4	0
1995	4	73	1	54	0	0	0	7	11
1996	4	88	0	52	0	0	0	30	6
1997	4	110	4	74	3	0	2	22	5
1998	4	73	1	60	2	0	1	0	9
1999	4	59	1	45	0	0	3	0	10
2000	4	88	0	26	0	0	41	0	21
2001	4	78	0	29	7	0	19	11	12
2002	4	106	2	17	25	0	31	8	23
2003	4	131	7	1	57	1	33	5	27
2004	4	74	1	4	28	0	2	0	39
2005	4	106	5	0	49	0	3	4	45
2006	4	124	2	5	23	0	16	7	71
2007	4	160	5	1	46	0	36	3	69
