yr	plot	total	AO	DM	DO	DS	PB	PF	PP
1989	1	5304.468349	476.9116	1801.054981	2929.140203	0	0	0	97.36156678
1990	1	6277.464955	24.4870	2988.120713	3187.340009	0	0	0	77.5172214
1991	1	7205.264207	89.3258	2048.86335	4786.110486	0	0	0	280.9646003
1992	1	4789.354093	27.0664	1461.238085	3018.136274	0	0	0	282.9133792
1993	1	1901.633874	75.6414	1344.542671	435.9297966	0	0	0	45.52
1994	1	2505.406201	0.0000	2435.399189	0	0	0	24.48701213	45.52
1995	1	5635.620376	294.4963	2494.102675	1477.936395	0	488.7305204	24.48701213	855.8674286
1996	1	6545.631473	41.1821	1203.523399	3810.086073	0	674.4385198	247.2611576	569.1402425
1997	1	10428.31098	384.9186	1480.61608	6786.16872	0	696.0184528	83.69881516	996.8903265
1998	1	4911.730212	0.0000	1431.427209	2426.667117	0	367.9890541	0	685.6468324
1999	1	4584.147123	113.5724	1860.329423	1827.860491	0	302.5210141	0	479.8638338
2000	1	7542.292399	61.6979	1616.159822	2151.33844	0	1818.676609	0	1894.419583
2001	1	5860.964362	0.0000	877.792407	1765.870766	0	2071.96755	0	1145.333638
2002	1	8053.38046	27.0664	1070.697153	3114.830492	0	1951.870195	0	1888.916266
2003	1	8118.433225	284.9598	143.3852433	3759.193967	0	1337.973097	83.55058747	2509.370487
2004	1	5186.207532	184.5745	189.4210868	1743.247805	0	1566.607253	0	1502.356861
2005	1	6519.641779	277.0873	170.676801	1579.29113	0	2568.573242	0	1924.01331
2006	1	5489.263604	61.6979	197.3895575	1654.450767	0	1544.600393	0	2031.124941
2007	1	14707.72962	643.0369	468.3899143	4351.180868	0	7442.510448	0	1802.611487
1989	2	3991.185856	896.5302	209.09339	2794.555631	0	0	0	91.00662958
1990	2	4027.813704	165.7456	688.3308864	3124.013153	0	0	0	49.72406726
1991	2	3962.156729	504.7143	717.7243561	2522.908612	0	0	0	216.8094716
1992	2	4035.208549	766.5958	301.3927226	2764.323642	0	0	0	202.8963748
1993	2	1476.520886	158.1223	677.1053367	641.2932436	0	0	0	0
1994	2	2494.402236	29.5661	1366.648937	920.5427827	0	0	0	177.6444088
1995	2	5016.911785	89.3258	2772.662758	1045.924757	0	0	0	1108.9985
1996	2	8254.116085	1351.8051	4588.147938	468.5196479	0	1070.732265	27.06635394	747.8447318
1997	2	10282.62236	1273.1397	2366.123313	2196.564699	1167.303276	2266.859713	0	1012.631653
1998	2	6574.573111	55.8183	2836.99768	850.496252	1407.554629	676.86561	0	746.8406234
1999	2	4771.693745	449.3880	855.2161001	925.068766	1445.267345	499.2044569	0	597.5490522
2000	2	6303.484682	135.4011	387.1606687	747.4434512	0	3801.903092	0	1231.5764
2001	2	4908.212636	334.3534	2032.144191	309.5466576	0	1369.353707	0	862.814638
2002	2	7797.919989	534.9607	1596.684568	1065.693032	0	3477.443428	0	1123.138304
2003	2	8224.055577	1178.5084	1139.261253	97.2079476	0	4593.967811	0	1215.110212
2004	2	5441.486897	577.4367	615.3528631	207.5178773	0	2982.725667	0	1058.453806
2005	2	8774.836038	759.8285	1188.543608	595.8848274	0	4555.18175	0	1675.397312
2006	2	9640.714209	974.2830	1996.520153	1142.162738	0	3758.937141	0	1768.811191
2007	2	15279.03043	1886.4636	2595.254885	1089.766263	0	8446.433625	24.48701213	1236.62505
1989	4	7413.00754	208.1575	5786.230027	0	1318.618375	0	56.63246122	43.36913005
1990	4	11797.463	0.0000	9855.358761	0	1942.104239	0	0	0
