yr	plot	total	AO	DM	DO	DS	PB	PF	PP
1989	1	5304.468349	476.9116	1801.054981	2929.140203	0	0	0	97.36156678
1990	1	6277.464955	24.4870	2988.120713	3187.340009	0	0	0	77.5172214
1991	1	7205.264207	89.3258	2048.86335	4786.110486	0	0	0	280.9646003
1992	1	4789.354093	27.0664	1461.238085	3018.136274	0	0	0	282.9133792
1993	1	1901.633874	75.6414	1344.542671	435.9297966	0	0	0	45.52
1994	1	2505.406201	0.0000	2435.399189	0	0	0	24.48701213	45.52
1989	2	3991.185856	896.5302	209.09339	2794.555631	0	0	0	91.00662958
1990	2	4027.813704	165.7456	688.3308864	3124.013153	0	0	0	49.72406726
1991	2	3962.156729	504.7143	717.7243561	2522.908612	0	0	0	216.8094716
1992	2	4035.208549	766.5958	301.3927226	2764.323642	0	0	0	202.8963748
1993	2	1476.520886	158.1223	677.1053367	641.2932436	0	0	0	0
1994	2	2494.402236	29.5661	1366.648937	920.5427827	0	0	0	177.6444088
1989	4	7413.00754	208.1575	5786.230027	0	1318.618375	0	56.63246122	43.36913005
1990	4	11797.463	0.0000	9855.358761	0	1942.104239	0	0	0
1991	4	7661.022022	61.5633	7259.063564	103.7631612	0	0	152.0807564	84.5512115
1992	4	4486.57028	0.0000	4146.233537	92.19346948	0	0	70.6933891	177.4498847
1993	4	2416.818674	108.5900	2104.570291	0	0	0	56.63246122	147.0259059
1994	4	2945.848148	0.0000	2899.547618	0	0	0	46.30052971	0
1989	8	8596.894488	170.9568	6387.43084	515.2683042	1440.913853	0	0	82.32471954
1990	8	7999.997439	34.3682	6785.542176	1180.087063	0	0	0	0
1991	8	7873.271349	120.7781	7337.409504	324.0437616	0	0	0	91.04
1992	8	4156.975368	0.0000	2831.571386	1303.590465	0	0	21.81351758	0
1993	8	3104.247776	0.0000	1998.876946	1105.37083	0	0	0	0
1994	8	3438.866982	0.0000	2102.69451	1245.132471	0	0	0	91.04
1989	9	6583.700007	494.3126	4691.69202	1397.695431	0	0	0	0
1990	9	7712.192899	0.0000	6329.284498	1341.72632	0	0	0	41.18208144
1991	9	6258.393399	352.1447	5802.485553	103.7631612	0	0	0	0
1992	9	4530.936207	68.6830	4462.253168	0	0	0	0	0
1993	9	3114.427638	0.0000	3114.427638	0	0	0	0	0
1994	9	1883.340259	0.0000	1779.577098	103.7631612	0	0	0	0
1989	11	4382.158755	772.2876	3070.873579	493.4775815	0	0	0	45.52
1990	11	8364.935904	87.8155	5656.917591	2620.202774	0	0	0	0
1991	11	4986.471919	305.3577	3658.381991	877.7929229	0	0	0	144.9393382
1992	11	3960.62054	609.4062	2912.280998	90.50180893	0	0	0	348.4315376
1993	11	3551.12926	61.4346	3183.274266	95.54624154	0	0	0	210.8741997
1994	11	3578.205232	31.9972	3546.208011	0	0	0	0	0
1989	12	4062.762983	1309.5681	1111.576339	1554.88033	0	0	0	86.73826011
1990	12	3640.878271	377.1119	1227.998388	2035.768031	0	0	0	0
1991	12	3429.586276	297.8948	2543.296713	536.6129522	0	0	0	51.78183865
1992	12	3116.142375	263.0058	2249.976659	226.6927244	0	0	0	376.4671913
1993	12	2908.95274	73.3238	2738.327113	0	0	0	0	97.30183865
1994	12	3387.657294	0.0000	3178.530534	209.1267606	0	0	0	0
1989	14	4879.359472	473.4937	3882.347199	523.5185945	0	0	0	0
1990	14	6184.557173	86.1986	4969.708804	1128.6498	0	0	0	0
1991	14	5455.770999	149.7442	4734.612208	571.4145651	0	0	0	0
1992	14	6109.892852	31.9972	4604.098558	93.87484527	1220.194983	0	54.13270787	105.5945362
1993	14	4624.757367	0.0000	3807.768035	0	638.0862163	0	31.9972214	146.9058949
1994	14	3437.630948	0.0000	3437.630948	0	0	0	0	0
1989	17	3849.675629	1143.4172	554.0342664	2152.224181	0	0	0	0
1990	17	4217.901271	275.0111	1344.339796	2598.550356	0	0	0	0
1991	17	4006.720902	259.3337	1415.090156	2092.342109	0	0	51.55336607	188.4015668
1992	17	5499.263293	68.6830	4362.974421	640.9748027	0	0	110.6169414	316.0140896
1993	17	4003.768994	89.3258	3413.033241	0	0	0	240.8586667	260.5513158
1994	17	4110.351569	0.0000	4012.497673	0	0	0	97.85389578	0
1989	22	6157.210526	604.1604	2269.226517	0	3283.823631	0	0	0
1990	22	3734.367026	523.3136	1830.575795	0	1380.477633	0	0	0
1991	22	2831.391314	80.3053	647.9507781	0	1971.368051	0	29.56610729	102.2010486
1992	22	2990.47055	65.5152	739.6812997	0	2111.06294	0	24.48701213	49.72406726
1993	22	2514.11866	29.5661	222.8443528	0	2178.157613	0	83.55058747	0
1994	22	2543.414489	0.0000	913.5712847	0	1508.523452	0	0	121.3197524
