yr	plot	total	AO	PB	PF	PP
1989	3	2330.369493	1829.8642	0	0	500.5053371
1990	3	2073.617816	1354.6354	0	377.6225492	341.359827
1991	3	2518.832385	1565.9512	0	132.6728394	820.2083475
1992	3	1727.969942	630.7964	0	56.63246122	1040.541105
1993	3	1162.141013	692.9789	0	0	469.16214
1994	3	991.8567497	319.5049	0	0	672.3518019
1995	3	3729.224316	841.1002	0	29.56610729	2858.557982
1996	3	6731.027468	3634.1590	305.5952175	343.5035551	2447.769726
1997	3	7868.511491	4702.2832	1939.785489	164.7387001	1061.704126
1998	3	5136.110737	255.0009	4182.613323	0	698.4964697
1999	3	4462.852943	284.1445	3923.137884	0	255.570537
2000	3	5507.314869	113.5724	5112.572654	0	281.1698538
2001	3	5222.486159	758.2508	3983.902236	48.97402426	431.3590808
2002	3	10888.64704	3407.9965	6273.599543	83.69881516	1123.352226
2003	3	9151.458776	1411.7156	6003.901854	54.05311942	1681.788154
2004	3	4756.92292	451.9080	2966.064953	186.4835784	1152.466399
2005	3	7988.078116	379.8713	6527.566423	24.48701213	1056.15343
2006	3	11727.12441	188.5127	10459.2909	56.63246122	1022.688378
2007	3	12748.05222	994.3008	11307.2161	46.30052971	400.2348197
1989	6	2055.497398	1387.6121	0	97.94804853	569.9372739
1990	6	1351.936978	549.5066	0	353.0559486	449.3744346
1991	6	1553.370593	798.1337	0	130.0934976	625.1433853
1992	6	1246.888685	478.8278	0	150.1930113	617.8678815
1993	6	1136.415571	739.0929	0	51.37962486	345.9430897
1994	6	497.4403617	68.5217	0	206.0397231	222.8789419
1995	6	938.2761674	116.5484	71.10673945	456.6248921	293.996103
1996	6	2029.334494	1047.6672	142.2134789	486.1177179	353.3361012
1997	6	6339.154592	3646.3939	2073.677746	176.4736158	442.6093446
1998	6	1906.832617	211.0610	1395.453923	0	300.3176698
1999	6	1731.951509	585.4066	851.9793162	0	294.5655699
2000	6	3571.030452	173.0111	2139.035727	0	1258.983624
2001	6	5084.351667	67.3962	4278.734562	0	738.2209553
2002	6	10713.98981	2393.6984	7033.181097	48.87987152	1238.230486
2003	6	9797.802109	601.8489	7848.803579	110.7651691	1236.384498
2004	6	3940.429118	53.8127	2577.745989	0	1308.870432
2005	6	5369.583138	1256.3728	3297.289664	0	815.9206996
2006	6	6599.938285	63.7522	2618.31842	0	3917.867693
2007	6	12010.05305	603.2188	8674.85396	135.1725928	2596.807662
1989	13	1480.075815	1321.4428	0	24.48701213	134.1460015
1990	13	987.2302892	900.5282	0	0	86.70208144
1991	13	1721.482611	957.0810	0	241.7504162	522.6512029
1992	13	1541.434758	1068.9937	0	191.4338983	281.0072062
1993	13	328.7724608	125.8721	0	0	202.9003941
1994	13	1226.461765	1050.8005	0	24.48701213	151.1742643
1995	13	2375.541647	1297.2614	0	137.7519346	940.528285
1996	13	3688.032163	2063.7289	0	958.4951303	665.8081523
1997	13	4649.747068	950.1437	2385.506045	292.8071741	1021.290189
1998	13	3906.49303	1197.5212	2443.41687	0	265.5550054
1999	13	3566.613398	1335.0236	2153.721871	0	77.86789892
2000	13	3299.8632	49.7241	2556.643274	0	693.4958591
2001	13	3443.662242	53.8127	2948.556621	41.18208144	400.1108418
2002	13	6007.232492	1073.2610	4580.292227	48.97402426	304.7052733
2003	13	7797.02233	2157.0388	4189.978676	311.5899351	1138.41489
2004	13	2748.218569	85.3844	1980.878113	27.06635394	654.8896775
2005	13	3972.344362	0.0000	3542.14906	0	430.1953018
2006	13	7864.999342	31.9972	5618.717286	21.81351758	2192.471317
2007	13	9454.60873	956.0134	6600.980385	178.8937807	1718.721154
1989	15	1321.906153	1321.9062	0	0	0
1990	15	610.242692	512.2946	0	97.94804853	0
1991	15	911.4767495	793.8965	0	24.48701213	93.09319731
1992	15	283.5196098	83.3768	0	63.61613396	136.5266296
1993	15	436.0934592	123.0665	0	159.7391934	153.2877446
1994	15	232.3733261	27.0664	0	54.13270787	151.1742643
1995	15	886.3654269	358.1736	0	344.0920404	184.0998269
1996	15	3161.963938	1464.9291	0	997.6084604	699.4264174
1997	15	3539.191491	1103.4448	519.2956108	634.1422041	1282.308904
1998	15	1385.974096	494.0682	304.3090933	43.16010428	544.4367411
1999	15	1327.709509	165.1913	152.6015561	0	1009.916696
2000	15	1762.607816	0.0000	0	0	1762.607816
2001	15	2216.296477	0.0000	990.238172	56.63246122	1169.425844
2002	15	5608.130629	673.0342	3828.972857	0	1106.123537
2003	15	8851.943934	1446.3313	7056.651089	65.32619139	283.6353468
2004	15	3731.897658	1320.3256	2229.525456	0	182.0466296
2005	15	4219.057295	57.8002	2914.287593	0	1246.969511
2006	15	6644.358167	755.8062	4048.812992	0	1839.738988
2007	15	9421.635978	1313.7858	5467.478211	121.9247863	2518.447132
1989	18	1355.385653	1244.1604	0	24.48701213	86.73826011
1990	18	1186.71549	765.6708	0	122.4350607	298.6096016
1991	18	1143.321207	592.5408	0	286.6204697	264.1599569
1992	18	1315.187081	122.7895	0	665.6208076	526.7767547
1993	18	1318.100034	367.7055	0	354.5272337	595.8673228
1994	18	436.1730477	91.0007	0	191.8846425	153.2877446
1995	18	1365.193692	182.3414	0	1067.251896	115.6003829
1996	18	1924.943265	254.2963	0	858.3991511	812.2478275
1997	18	3197.016575	1351.4656	486.6154084	339.3500843	1019.58549
1998	18	2661.97552	431.2051	1578.110858	0	652.6596085
1999	18	2398.522528	269.4282	2012.197089	0	116.8972288
2000	18	3922.430167	0.0000	3696.981037	0	225.4491301
2001	18	3163.818556	232.9721	2821.774393	61.4345534	47.63749952
2002	18	6838.456582	178.5783	6659.878306	0	0
2003	18	9273.770309	140.6849	8921.300733	0	211.7847138
2004	18	3274.621118	0.0000	3008.267283	0	266.3538346
2005	18	4547.499563	298.1714	3252.201587	0	997.1266016
2006	18	6845.787357	455.6544	4608.284272	0	1781.848722
2007	18	13225.66003	915.2625	9590.655888	70.78754184	2648.954072
1989	19	1907.246485	1779.9728	0	73.4610364	53.81269755
1990	19	1715.797575	1451.8816	0	263.9159916	0
1991	19	1091.903053	918.0481	0	173.8549209	0
1992	19	885.8009092	536.6661	0	88.62968263	260.5051684
1993	19	1017.029401	235.6207	0	285.2029211	496.2057423
1994	19	861.0563948	63.9944	0	592.0192812	205.0426707
1995	19	1260.123208	36.6858	0	236.3915798	987.0458107
1996	19	2444.648923	369.2054	260.049855	398.6991658	1416.694541
1997	19	5375.075181	1340.7046	2381.415035	550.5996846	1102.355854
1998	19	4070.455428	229.1503	3281.538955	29.56610729	530.2000234
1999	19	4530.282442	302.1541	4085.311098	0	142.8172646
2000	19	3324.785315	0.0000	2591.815118	0	732.9701971
2001	19	3684.800827	136.4261	2963.116591	54.05311942	531.2049685
2002	19	6505.596452	441.7770	4564.875335	0	1498.944114
2003	19	6921.028228	311.9187	5528.953226	0	1080.156313
2004	19	2188.044772	0.0000	1510.536762	0	677.5080106
