yr	plot	total	AO	PB	PF	PP
2001	3	5222.486159	758.2508	3983.902236	48.97402426	431.3590808
2002	3	10888.64704	3407.9965	6273.599543	83.69881516	1123.352226
2003	3	9151.458776	1411.7156	6003.901854	54.05311942	1681.788154
2004	3	4756.92292	451.9080	2966.064953	186.4835784	1152.466399
2005	3	7988.078116	379.8713	6527.566423	24.48701213	1056.15343
2006	3	11727.12441	188.5127	10459.2909	56.63246122	1022.688378
2007	3	12748.05222	994.3008	11307.2161	46.30052971	400.2348197
2001	6	5084.351667	67.3962	4278.734562	0	738.2209553
2002	6	10713.98981	2393.6984	7033.181097	48.87987152	1238.230486
2003	6	9797.802109	601.8489	7848.803579	110.7651691	1236.384498
2004	6	3940.429118	53.8127	2577.745989	0	1308.870432
2005	6	5369.583138	1256.3728	3297.289664	0	815.9206996
2006	6	6599.938285	63.7522	2618.31842	0	3917.867693
2007	6	12010.05305	603.2188	8674.85396	135.1725928	2596.807662
2001	13	3443.662242	53.8127	2948.556621	41.18208144	400.1108418
2002	13	6007.232492	1073.2610	4580.292227	48.97402426	304.7052733
2003	13	7797.02233	2157.0388	4189.978676	311.5899351	1138.41489
2004	13	2748.218569	85.3844	1980.878113	27.06635394	654.8896775
2005	13	3972.344362	0.0000	3542.14906	0	430.1953018
2006	13	7864.999342	31.9972	5618.717286	21.81351758	2192.471317
2007	13	9454.60873	956.0134	6600.980385	178.8937807	1718.721154
2001	15	2216.296477	0.0000	990.238172	56.63246122	1169.425844
2002	15	5608.130629	673.0342	3828.972857	0	1106.123537
2003	15	8851.943934	1446.3313	7056.651089	65.32619139	283.6353468
2004	15	3731.897658	1320.3256	2229.525456	0	182.0466296
2005	15	4219.057295	57.8002	2914.287593	0	1246.969511
2006	15	6644.358167	755.8062	4048.812992	0	1839.738988
2007	15	9421.635978	1313.7858	5467.478211	121.9247863	2518.447132
2001	18	3163.818556	232.9721	2821.774393	61.4345534	47.63749952
2002	18	6838.456582	178.5783	6659.878306	0	0
2003	18	9273.770309	140.6849	8921.300733	0	211.7847138
2004	18	3274.621118	0.0000	3008.267283	0	266.3538346
2005	18	4547.499563	298.1714	3252.201587	0	997.1266016
2006	18	6845.787357	455.6544	4608.284272	0	1781.848722
2007	18	13225.66003	915.2625	9590.655888	70.78754184	2648.954072
2001	19	3684.800827	136.4261	2963.116591	54.05311942	531.2049685
2002	19	6505.596452	441.7770	4564.875335	0	1498.944114
2003	19	6921.028228	311.9187	5528.953226	0	1080.156313
2004	19	2188.044772	0.0000	1510.536762	0	677.5080106
2005	19	2921.750907	404.6275	729.5552987	0	1787.568076
2006	19	4568.65013	69.2597	1499.098489	82.36416289	2917.927748
2007	19	12916.52054	1533.0980	8765.003789	137.2132078	2481.205564
2001	20	3964.382392	355.6891	3076.666069	27.06635394	504.9608604
2002	20	5201.16006	252.6871	4822.779113	0	125.6938496
2003	20	7573.439601	673.6737	6400.816523	0	498.9494195
2004	20	3578.605522	893.0027	1422.099084	0	1263.503689
2005	20	5874.340776	371.8492	4716.462456	0	786.0291245
2006	20	7619.996903	187.2356	6163.250784	0	1269.510539
2007	20	11592.36789	1604.5414	9232.86389	51.55336607	703.4092288
2001	21	5911.79339	0.0000	5911.79339	0	0
2002	21	7669.632751	0.0000	7669.632751	0	0
2003	21	8820.525427	489.5437	7995.624812	205.5778793	129.7790148
2004	21	3457.492473	0.0000	3062.559703	24.48701213	370.4457577
2005	21	5666.912715	24.4870	4591.904426	27.06635394	1023.454923
2006	21	6605.118448	149.5994	5165.455071	0	1290.064016
2007	21	10995.00994	361.4255	9174.757099	21.81351758	1437.013802
