yr	plot	total	AO	PB	PF	PP
1989	3	60	49	0	0	11
1990	3	58	36	0	15	7
1991	3	58	35	0	5	18
1992	3	42	16	0	2	24
1993	3	25	14	0	0	11
1994	3	24	9	0	0	15
1995	3	76	13	0	1	62
1996	3	108	43	4	13	48
1997	3	105	52	25	6	22
1998	3	80	5	60	0	15
1999	3	64	4	54	0	6
2000	3	77	2	69	0	6
2001	3	73	9	49	3	12
2002	3	138	34	76	3	25
2003	3	139	19	80	2	38
2004	3	80	8	40	7	25
2005	3	119	8	85	1	25
2006	3	156	4	127	2	23
2007	3	178	21	146	2	9
1989	6	46	30	0	4	12
1990	6	38	15	0	14	9
1991	6	41	22	0	5	14
1992	6	31	12	0	5	14
1993	6	25	13	0	2	10
1994	6	16	2	0	8	6
1995	6	27	4	1	16	6
1996	6	41	12	2	19	8
1997	6	85	43	26	7	9
1998	6	31	4	20	0	7
1999	6	28	9	12	0	7
2000	6	62	3	30	0	29
2001	6	75	1	59	0	15
2002	6	147	25	94	2	26
2003	6	157	10	113	4	30
2004	6	65	1	35	0	29
2005	6	78	15	45	0	18
2006	6	117	2	34	0	81
2007	6	185	14	115	5	51
1989	13	37	33	0	1	3
1990	13	23	21	0	0	2
1991	13	44	24	0	10	10
1992	13	31	18	0	7	6
1993	13	7	2	0	0	5
1994	13	15	11	0	1	3
1995	13	40	15	0	5	20
1996	13	73	26	0	34	13
1997	13	84	19	34	11	20
1998	13	57	14	37	0	6
1999	13	42	13	27	0	2
2000	13	53	3	36	0	14
2001	13	49	1	37	1	10
2002	13	77	10	58	2	7
2003	13	123	28	55	13	27
2004	13	42	2	25	1	14
2005	13	52	0	43	0	9
2006	13	119	1	72	1	45
2007	13	152	21	89	7	35
1989	15	30	30	0	0	0
1990	15	16	12	0	4	0
1991	15	22	19	0	1	2
1992	15	7	3	0	1	3
1993	15	14	4	0	6	4
1994	15	6	1	0	2	3
1995	15	24	8	0	12	4
1996	15	67	20	0	33	14
1997	15	82	24	8	23	27
1998	15	29	10	5	2	12
1999	15	27	4	2	0	21
2000	15	40	0	0	0	40
2001	15	41	0	13	2	26
2002	15	90	11	56	0	23
2003	15	126	19	97	3	7
2004	15	51	16	31	0	4
2005	15	71	1	42	0	28
2006	15	104	8	58	0	38
2007	15	157	29	71	5	52
1989	18	33	30	0	1	2
1990	18	32	19	0	5	8
1991	18	34	16	0	13	5
1992	18	37	4	0	23	10
1993	18	38	11	0	12	15
1994	18	13	3	0	7	3
1995	18	44	5	0	36	3
1996	18	53	7	0	30	16
1997	18	67	28	7	12	20
1998	18	46	10	22	0	14
1999	18	39	7	30	0	2
2000	18	57	0	52	0	5
2001	18	46	5	38	2	1
2002	18	99	4	95	0	0
2003	18	136	3	128	0	5
2004	18	46	0	41	0	5
2005	18	67	6	40	0	21
2006	18	107	9	61	0	37
2007	18	204	24	126	3	51
1989	19	43	39	0	3	1
1990	19	46	35	0	11	0
1991	19	36	29	0	7	0
1992	19	26	18	0	3	5
1993	19	28	7	0	10	11
1994	19	28	2	0	21	5
1995	19	30	1	0	8	21
1996	19	56	8	4	15	29
1997	19	99	28	31	18	22
1998	19	70	5	52	1	12
1999	19	60	5	52	0	3
2000	19	49	0	33	0	16
2001	19	55	3	38	2	12
2002	19	97	8	59	0	30
2003	19	100	6	71	0	23
2004	19	37	0	22	0	15
2005	19	59	8	11	0	40
2006	19	81	1	19	2	59
2007	19	206	33	117	5	51
1989	20	41	41	0	0	0
1990	20	18	16	0	2	0
1991	20	34	22	0	9	3
1992	20	17	7	0	1	9
1993	20	15	2	0	8	5
1994	20	9	1	0	4	4
1995	20	33	7	0	13	13
1996	20	52	9	2	25	16
1997	20	77	30	3	28	16
1998	20	42	13	3	14	12
1999	20	27	10	1	0	16
2000	20	39	1	20	0	18
2001	20	60	8	41	1	10
2002	20	73	7	62	0	4
2003	20	107	12	83	0	12
2004	20	57	10	20	0	27
2005	20	86	7	63	0	16
2006	20	112	5	81	0	26
2007	20	191	38	133	2	18
1989	21	40	40	0	0	0
1990	21	20	20	0	0	0
1991	21	18	12	0	3	3
1992	21	19	9	0	4	6
1993	21	23	6	0	12	5
1994	21	28	0	0	19	9
1995	21	38	4	0	13	21
1996	21	66	7	0	26	33
1997	21	100	19	38	18	25
1998	21	68	6	52	4	6
1999	21	53	14	34	0	5
2000	21	61	0	55	0	6
2001	21	81	0	81	0	0
2002	21	103	0	103	0	0
2003	21	132	7	114	8	3
2004	21	49	0	40	1	8
2005	21	87	1	62	1	23
2006	21	96	3	65	0	28
2007	21	189	10	143	1	35
