yr	plot	total	AO	PB	PF	PP
2001	3	73	9	49	3	12
2002	3	138	34	76	3	25
2003	3	139	19	80	2	38
2004	3	80	8	40	7	25
2005	3	119	8	85	1	25
2006	3	156	4	127	2	23
2007	3	178	21	146	2	9
2001	6	75	1	59	0	15
2002	6	147	25	94	2	26
2003	6	157	10	113	4	30
2004	6	65	1	35	0	29
2005	6	78	15	45	0	18
2006	6	117	2	34	0	81
2007	6	185	14	115	5	51
2001	13	49	1	37	1	10
2002	13	77	10	58	2	7
2003	13	123	28	55	13	27
2004	13	42	2	25	1	14
2005	13	52	0	43	0	9
2006	13	119	1	72	1	45
2007	13	152	21	89	7	35
2001	15	41	0	13	2	26
2002	15	90	11	56	0	23
2003	15	126	19	97	3	7
2004	15	51	16	31	0	4
2005	15	71	1	42	0	28
2006	15	104	8	58	0	38
2007	15	157	29	71	5	52
2001	18	46	5	38	2	1
2002	18	99	4	95	0	0
2003	18	136	3	128	0	5
2004	18	46	0	41	0	5
2005	18	67	6	40	0	21
2006	18	107	9	61	0	37
2007	18	204	24	126	3	51
2001	19	55	3	38	2	12
2002	19	97	8	59	0	30
2003	19	100	6	71	0	23
2004	19	37	0	22	0	15
2005	19	59	8	11	0	40
2006	19	81	1	19	2	59
2007	19	206	33	117	5	51
2001	20	60	8	41	1	10
2002	20	73	7	62	0	4
2003	20	107	12	83	0	12
2004	20	57	10	20	0	27
2005	20	86	7	63	0	16
2006	20	112	5	81	0	26
2007	20	191	38	133	2	18
2001	21	81	0	81	0	0
2002	21	103	0	103	0	0
2003	21	132	7	114	8	3
2004	21	49	0	40	1	8
2005	21	87	1	62	1	23
2006	21	96	3	65	0	28
2007	21	189	10	143	1	35
