yr	plot	total	DM	DO	DS	PB	PE	PF	PM	PP	RM
1989	1	59	19	27	0	0	3	0	1	2	7
1990	1	64	32	29	0	0	0	0	0	2	0
1991	1	76	20	47	0	0	2	0	0	6	1
1992	1	52	14	30	0	0	0	0	0	6	1
1993	1	25	15	6	0	0	0	0	0	2	2
1994	1	28	26	0	0	0	0	1	0	1	0
1995	1	70	25	15	0	6	1	1	0	19	0
1996	1	84	14	38	0	9	0	10	0	12	1
1997	1	120	16	64	0	9	1	3	3	20	4
1998	1	66	18	26	1	6	0	0	0	15	0
1999	1	51	19	16	0	4	0	0	2	10	0
2000	1	104	17	20	0	26	1	0	0	40	0
2001	1	75	9	17	0	27	0	0	0	22	0
2002	1	108	11	32	0	25	0	0	0	39	0
2003	1	128	2	41	0	17	3	3	0	59	2
2004	1	80	2	18	0	24	1	0	0	35	0
2005	1	95	2	15	0	32	0	0	0	46	0
2006	1	83	2	17	0	19	1	0	0	42	0
2007	1	197	6	41	0	98	5	0	3	37	2
2008	1	151	17	70	0	33	2	0	4	20	4
2009	1	58	4	27	0	6	0	0	0	19	2
2010	1	23	8	5	0	0	0	0	0	10	0
1989	2	48	2	25	0	0	9	0	0	2	9
1990	2	44	7	32	0	0	2	0	0	1	2
1991	2	52	7	25	0	0	4	0	0	5	8
1992	2	56	3	29	0	0	10	0	0	5	7
1993	2	20	7	7	0	0	1	1	0	0	4
1994	2	29	14	9	0	0	0	0	0	5	1
1995	2	67	30	10	0	0	0	0	1	25	1
1996	2	106	46	4	0	14	17	1	2	15	7
1997	2	126	23	21	6	31	6	0	10	20	9
1998	2	79	32	9	8	12	0	0	1	17	0
1999	2	53	9	9	7	7	1	0	5	12	3
2000	2	88	4	7	0	48	1	0	0	26	2
2001	2	65	21	3	0	16	5	0	0	19	1
2002	2	106	16	11	0	43	8	0	0	26	1
2003	2	125	12	1	0	62	20	0	0	27	3
2004	2	78	7	0	0	37	7	0	0	27	0
2005	2	126	14	6	0	56	10	0	2	37	1
2006	2	133	20	11	0	48	13	0	3	36	2
2007	2	210	26	10	0	109	17	1	11	27	5
2008	2	161	24	12	0	78	8	0	14	21	3
2009	2	57	3	9	0	18	5	0	0	21	1
2010	2	17	4	0	0	2	0	0	0	11	0
1989	4	78	63	0	6	0	0	2	0	1	6
1990	4	120	110	0	10	0	0	0	0	0	0
1991	4	90	79	1	0	0	0	6	0	2	2
1992	4	53	44	1	0	0	0	3	0	5	0
1993	4	28	23	0	0	0	0	2	0	3	0
1994	4	36	32	0	0	0	0	4	0	0	0
1995	4	73	54	0	0	0	0	7	0	11	0
1996	4	88	52	0	0	0	0	30	0	6	0
1997	4	110	74	3	0	2	0	22	3	5	1
1998	4	73	60	2	0	1	0	0	0	9	0
1999	4	59	45	0	0	3	0	0	1	10	0
