Year	site	total	Clethrionomys.gapperi	Glaucomys.volans	Neozapus.insignis	Peromyscus.leucopus	Peromyscus.maniculatus	Tamias.striatus
1979	pdm	65085.67508	9383.20128	1293.510782	1149.431816	15434.39249	20277.94962	17547.18909
1980	pdm	312811.0747	43086.86403	8317.330392	2148.689848	46485.69568	77307.76501	135464.7298
1981	pdm	326319.5372	72693.73052	15312.94259	3057.964745	5786.201165	92110.18844	137358.5098
1982	pdm	281954.4107	44877.42436	15823.51272	4459.512726	5691.498165	64298.95099	146803.5118
1983	pdm	190900.4583	12842.18416	7648.151917	4188.538485	8901.416346	37046.44939	120273.718
1984	pdm	133086.7123	9923.172063	4907.827843	2277.202339	10592.46458	40348.31292	65037.73258
1985	pdm	122873.7238	12815.04803	4175.749296	845.228425	22752.47481	23007.53416	59277.68906
1986	pdm	87156.27101	13614.1995	5194.255864	435.2451353	7682.301465	16421.25236	43809.01668
1987	pdm	132723.3537	28101.14999	6174.926841	772.70127	18402.2426	23651.35287	55620.98017
1988	pdm	89281.75809	12218.20937	6092.948765	603.099981	13355.50038	18416.8723	38595.12729
1989	pdm	71631.62527	8284.311377	1871.097438	686.0744062	14294.29334	12596.49246	33899.35625
1990	pdm	105115.8729	19020.58791	8683.65751	852.4385354	28153.42423	13985.6794	34420.08532
1991	pdm	40238.92199	9034.899956	3875.738823	1414.215878	6925.683904	8850.572628	10137.8108
1992	pdm	91049.7594	14513.82389	3860.392891	2401.502133	26771.50667	13603.22809	29899.30572
1993	pdm	144037.6595	25051.45586	5481.216652	4461.229878	39619.25989	23366.69239	46057.80482
1994	pdm	138469.0198	37121.33557	7248.261776	5099.525967	17763.51716	25745.48179	45490.89755
1995	pdm	91770.9168	13482.19633	11761.1183	4176.359699	10936.34538	11611.97881	39802.91828
1996	pdm	119044.274	16894.1881	8154.256468	2108.797421	14262.69008	23306.44232	54317.89965
1997	pdm	220424.2502	32947.77782	37692.55312	4646.497849	16695.87593	29365.64446	99075.901
1998	pdm	87107.52628	11721.4646	18226.91473	4115.377074	5803.316185	16906.55584	30333.89786
1999	pdm	140952.268	7736.293654	13271.63465	2623.291117	4136.746277	39361.71267	73822.5896
