Year	site	total	Clethrionomys.gapperi	Glaucomys.volans	Neozapus.insignis	Peromyscus.leucopus	Peromyscus.maniculatus	Tamias.striatus
1979	pdm	1048	153	10	21	352	401	111
1980	pdm	4203	682	62	38	973	1591	857
1981	pdm	4132	1125	117	55	101	1882	852
1982	pdm	3386	732	116	87	109	1413	929
1983	pdm	2085	191	60	78	187	831	738
1984	pdm	1734	147	41	47	219	852	428
1985	pdm	1520	189	31	16	430	483	371
1986	pdm	1040	218	40	8	148	348	278
1987	pdm	1726	450	47	15	357	497	360
1988	pdm	1140	199	45	12	250	388	246
1989	pdm	916	138	14	12	271	258	223
1990	pdm	1372	284	65	14	511	276	222
1991	pdm	574	140	30	26	133	179	66
1992	pdm	1356	244	32	48	541	290	201
1993	pdm	2012	378	42	80	757	473	282
1994	pdm	1886	576	60	98	341	515	296
1995	pdm	1093	211	90	81	213	251	247
1996	pdm	1552	295	63	42	295	514	343
1997	pdm	2541	559	289	92	338	632	631
1998	pdm	1079	192	136	79	126	350	196
1999	pdm	1650	114	94	49	88	847	458
